coordinates:	16.4,75.3	80.4,75.3	144.4,75.3
timeat295nm	I_1at295nm	I_2at295nm	I_3at295nm
1.000000e-01	161	115	141
3.000000e-01	168	114	137
5.000000e-01	200	116	124
7.000000e-01	201	119	125
9.000000e-01	202	119	129
1.100000e+00	114	115	115
1.300000e+00	123	114	151
1.500000e+00	117	114	158
1.700000e+00	118	113	166
1.900000e+00	114	113	116
2.100000e+00	115	114	120
2.300000e+00	115	115	115
2.500000e+00	114	115	115
2.700000e+00	115	113	115
2.900000e+00	113	114	115
3.100000e+00	116	114	116
3.300000e+00	115	114	123
3.500000e+00	114	113	117
3.700000e+00	113	114	116
3.900000e+00	113	114	120
4.100000e+00	114	114	115
4.300000e+00	115	113	114
4.500000e+00	114	113	115
4.700000e+00	113	115	115
4.900000e+00	113	114	116
5.100000e+00	113	113	114
5.300000e+00	113	115	116
5.500000e+00	113	114	116
5.700000e+00	114	114	113
5.900000e+00	114	114	117
6.100000e+00	114	115	113
6.300000e+00	114	114	114
6.500000e+00	113	113	117
6.700000e+00	113	113	116
6.900000e+00	114	114	115
7.100000e+00	114	113	113
7.300000e+00	114	114	116
7.500000e+00	117	113	119
7.700000e+00	115	113	115
7.900000e+00	114	113	114
8.100000e+00	114	113	119
8.300000e+00	118	114	115
8.500000e+00	113	114	114
8.700000e+00	114	114	117
8.900000e+00	114	113	116
9.100000e+00	115	113	114
9.300000e+00	113	113	118
9.500000e+00	115	115	116
9.700000e+00	113	113	115
9.900000e+00	115	113	116
1.010000e+01	115	114	114
1.030000e+01	114	113	113
1.050000e+01	115	113	118
1.070000e+01	113	114	115
1.090000e+01	115	113	116
1.110000e+01	113	113	114
1.130000e+01	113	113	116
1.150000e+01	114	113	116
1.170000e+01	115	113	119
1.190000e+01	114	113	116
1.210000e+01	113	114	115
1.230000e+01	115	115	115
1.250000e+01	113	113	117
1.270000e+01	114	113	115
1.290000e+01	115	115	116
1.310000e+01	113	113	115
1.330000e+01	113	113	113
1.350000e+01	114	113	117
1.370000e+01	114	113	116
1.390000e+01	113	114	114
1.410000e+01	113	114	115
1.430000e+01	115	113	118
1.450000e+01	114	113	115
1.470000e+01	113	113	115
1.490000e+01	113	113	115
1.510000e+01	115	113	117
1.530000e+01	114	113	116
1.550000e+01	113	113	114
1.570000e+01	113	113	117
1.590000e+01	114	113	118
1.610000e+01	113	113	115
1.630000e+01	115	113	114
1.650000e+01	113	113	117
1.670000e+01	116	113	118
1.690000e+01	115	113	116
1.710000e+01	113	113	115
1.730000e+01	114	113	114
1.750000e+01	113	114	115
1.770000e+01	114	113	116
1.790000e+01	114	114	115
1.810000e+01	116	114	116
1.830000e+01	114	113	116
1.850000e+01	113	113	115
1.870000e+01	114	114	117
1.890000e+01	115	113	116
1.910000e+01	115	113	116
1.930000e+01	113	113	113
1.950000e+01	114	113	113
1.970000e+01	113	113	115
1.990000e+01	113	113	115
