timeat60nm	I_1at60nm	I_2at60nm	I_3at60nm
4.530000e+01	128	113	149
4.550000e+01	130	113	141
4.570000e+01	134	113	141
4.590000e+01	140	113	142
4.610000e+01	139	113	150
4.630000e+01	143	114	138
4.650000e+01	139	113	141
4.670000e+01	143	113	135
4.690000e+01	129	113	147
4.710000e+01	129	113	140
4.730000e+01	134	113	136
4.750000e+01	137	115	142
4.770000e+01	140	113	148
4.790000e+01	139	113	152
4.810000e+01	136	113	136
4.830000e+01	138	113	141
4.850000e+01	144	113	154
4.870000e+01	135	113	136
4.890000e+01	136	113	144
4.910000e+01	132	113	147
4.930000e+01	129	113	134
4.950000e+01	130	113	145
4.970000e+01	131	113	146
4.990000e+01	137	114	149
5.010000e+01	133	113	150
5.030000e+01	132	113	138
5.050000e+01	131	113	146
5.070000e+01	135	113	149
5.090000e+01	130	113	143
5.110000e+01	132	113	137
5.130000e+01	140	113	138
5.150000e+01	144	113	147
5.170000e+01	137	113	136
5.190000e+01	136	113	140
5.210000e+01	139	113	150
5.230000e+01	141	113	138
5.250000e+01	141	113	135
5.270000e+01	140	113	139
5.290000e+01	140	113	149
5.310000e+01	136	113	143
5.330000e+01	133	113	136
5.350000e+01	141	113	134
5.370000e+01	142	113	142
5.390000e+01	138	113	138
5.410000e+01	132	113	148
5.430000e+01	142	113	132
5.450000e+01	153	113	139
5.470000e+01	139	113	131
5.490000e+01	133	113	140
5.510000e+01	141	113	143
5.530000e+01	135	113	152
5.550000e+01	129	113	143
5.570000e+01	146	114	149
5.590000e+01	145	113	147
5.610000e+01	145	113	143
5.630000e+01	142	113	136
5.650000e+01	139	113	142
5.670000e+01	142	113	138
5.690000e+01	141	113	138
5.710000e+01	146	114	138
5.730000e+01	141	113	151
5.750000e+01	134	114	140
5.770000e+01	128	114	140
5.790000e+01	139	113	145
5.810000e+01	131	118	131
5.830000e+01	129	118	140
5.850000e+01	139	119	131
5.870000e+01	137	119	132
5.890000e+01	136	118	138
5.910000e+01	133	122	144
5.930000e+01	143	115	137
5.950000e+01	127	119	141
5.970000e+01	142	113	136
5.990000e+01	142	113	138
6.010000e+01	139	114	142
6.030000e+01	148	113	145
6.050000e+01	138	113	142
6.070000e+01	146	114	149
6.090000e+01	132	113	137
6.110000e+01	146	114	133
6.130000e+01	133	113	141
6.150000e+01	140	114	146
6.170000e+01	133	114	131
6.190000e+01	136	113	142
6.210000e+01	134	113	134
6.230000e+01	144	113	146
6.250000e+01	145	113	145
6.270000e+01	141	113	140
6.290000e+01	142	115	140
6.310000e+01	143	114	152
6.330000e+01	141	113	133
6.350000e+01	136	113	144
6.370000e+01	144	113	138
6.390000e+01	139	113	141
6.410000e+01	141	113	136
6.430000e+01	141	113	137
6.450000e+01	144	113	135
6.470000e+01	142	113	143
6.490000e+01	146	113	133
6.510000e+01	133	114	144
6.530000e+01	141	114	146
6.550000e+01	146	114	141
6.570000e+01	136	113	137
6.590000e+01	135	113	136
6.610000e+01	139	113	140
6.630000e+01	155	113	147
6.650000e+01	134	113	139
6.670000e+01	150	113	136
6.690000e+01	144	113	143
6.710000e+01	139	113	143
6.730000e+01	144	113	142
6.750000e+01	139	113	132
6.770000e+01	134	113	146
6.790000e+01	145	113	139
6.810000e+01	139	113	142
6.830000e+01	141	113	140
6.850000e+01	136	113	135
6.870000e+01	145	113	140
6.890000e+01	136	113	142
6.910000e+01	141	113	138
6.930000e+01	138	113	141
6.950000e+01	144	113	138
6.970000e+01	134	113	145
6.990000e+01	145	113	134
7.010000e+01	150	114	140
7.030000e+01	132	113	132
7.050000e+01	135	113	132
7.070000e+01	144	113	137
7.090000e+01	136	114	136
7.110000e+01	141	113	133
7.130000e+01	133	113	144
7.150000e+01	141	113	144
7.170000e+01	154	113	134
7.190000e+01	143	113	139
7.210000e+01	140	113	139
7.230000e+01	132	113	140
7.250000e+01	136	113	136
7.270000e+01	139	113	139
7.290000e+01	138	113	138
7.310000e+01	135	113	147
7.330000e+01	145	113	134
7.350000e+01	140	113	133
7.370000e+01	139	114	142
7.390000e+01	142	113	137
7.410000e+01	137	113	136
7.430000e+01	141	113	135
7.450000e+01	138	114	134
7.470000e+01	132	114	133
7.490000e+01	134	113	132
7.510000e+01	135	115	140
7.530000e+01	136	113	138
7.550000e+01	141	113	141
7.570000e+01	136	113	145
7.590000e+01	133	114	141
7.610000e+01	139	114	142
7.630000e+01	144	113	147
7.650000e+01	137	115	134
7.670000e+01	134	114	144
7.690000e+01	138	113	138
7.710000e+01	141	113	146
7.730000e+01	142	113	141
7.750000e+01	149	113	139
7.770000e+01	140	113	150
7.790000e+01	134	114	138
7.810000e+01	141	113	143
7.830000e+01	139	113	146
7.850000e+01	140	114	135
7.870000e+01	148	113	140
7.890000e+01	134	113	146
7.910000e+01	136	114	133
7.930000e+01	142	114	146
7.950000e+01	139	114	149
7.970000e+01	150	113	136
7.990000e+01	140	113	130
8.010000e+01	142	113	139
