timeat60nm	I_1at60nm	I_2at60nm	I_3at60nm
1.000000e-01	129	122	134
3.000000e-01	131	126	129
5.000000e-01	134	129	145
7.000000e-01	141	127	130
9.000000e-01	129	125	141
1.100000e+00	137	125	129
1.300000e+00	132	123	138
1.500000e+00	137	128	126
1.700000e+00	137	123	127
1.900000e+00	136	126	136
2.100000e+00	134	127	128
2.300000e+00	128	125	137
2.500000e+00	138	120	133
2.700000e+00	142	120	134
2.900000e+00	133	125	128
3.100000e+00	130	125	143
3.300000e+00	134	127	132
3.500000e+00	132	131	135
3.700000e+00	128	122	131
3.900000e+00	129	124	135
4.100000e+00	140	128	136
4.300000e+00	129	126	135
4.500000e+00	130	122	133
4.700000e+00	136	123	125
4.900000e+00	127	123	123
5.100000e+00	132	124	144
5.300000e+00	132	123	134
5.500000e+00	136	117	138
5.700000e+00	127	124	136
5.900000e+00	134	122	127
6.100000e+00	136	126	139
6.300000e+00	129	124	131
6.500000e+00	131	124	131
6.700000e+00	125	129	129
6.900000e+00	129	123	138
7.100000e+00	128	125	132
7.300000e+00	136	127	132
7.500000e+00	127	120	138
7.700000e+00	132	121	137
7.900000e+00	143	122	133
8.100000e+00	130	124	136
8.300000e+00	132	124	129
8.500000e+00	131	122	140
8.700000e+00	136	120	140
8.900000e+00	136	120	134
9.100000e+00	134	126	138
9.300000e+00	128	126	131
9.500000e+00	127	122	139
9.700000e+00	132	121	133
9.900000e+00	144	130	134
1.010000e+01	130	125	131
1.030000e+01	125	122	132
1.050000e+01	129	120	127
1.070000e+01	131	122	127
1.090000e+01	135	123	128
1.110000e+01	128	121	134
1.130000e+01	139	123	135
1.150000e+01	131	124	134
1.170000e+01	133	126	135
1.190000e+01	142	124	128
1.210000e+01	133	118	132
1.230000e+01	132	118	132
1.250000e+01	134	126	131
1.270000e+01	132	125	126
1.290000e+01	128	126	144
1.310000e+01	129	127	126
1.330000e+01	125	118	134
1.350000e+01	133	122	136
1.370000e+01	128	118	133
1.390000e+01	123	121	134
1.410000e+01	139	124	140
1.430000e+01	130	121	133
1.450000e+01	129	125	133
1.470000e+01	124	125	144
1.490000e+01	128	122	131
1.510000e+01	135	119	131
1.530000e+01	138	119	133
1.550000e+01	127	131	139
1.570000e+01	134	124	133
1.590000e+01	132	122	133
1.610000e+01	129	127	130
1.630000e+01	135	124	135
1.650000e+01	132	127	141
1.670000e+01	126	126	135
1.690000e+01	134	117	129
1.710000e+01	138	125	140
1.730000e+01	133	126	126
1.750000e+01	136	127	127
1.770000e+01	134	123	138
1.790000e+01	131	120	128
1.810000e+01	136	127	128
1.830000e+01	133	124	134
1.850000e+01	133	123	138
1.870000e+01	133	125	141
1.890000e+01	129	122	135
1.910000e+01	124	130	124
1.930000e+01	132	120	129
1.950000e+01	130	127	131
1.970000e+01	127	118	136
1.990000e+01	138	117	139
2.010000e+01	128	121	143
2.030000e+01	130	118	134
2.050000e+01	139	121	142
2.070000e+01	134	117	136
2.090000e+01	124	116	135
2.110000e+01	127	114	145
2.130000e+01	121	117	139
2.150000e+01	131	118	143
2.170000e+01	123	117	140
2.190000e+01	127	115	133
2.210000e+01	131	118	140
2.230000e+01	130	117	132
2.250000e+01	131	118	143
2.270000e+01	143	114	142
2.290000e+01	128	123	143
2.310000e+01	126	125	140
2.330000e+01	131	116	144
2.350000e+01	134	119	140
2.370000e+01	132	117	146
2.390000e+01	128	121	133
2.410000e+01	130	120	145
2.430000e+01	132	122	135
2.450000e+01	130	118	136
2.470000e+01	125	122	150
2.490000e+01	135	122	144
2.510000e+01	133	116	137
2.530000e+01	128	114	139
2.550000e+01	128	117	144
2.570000e+01	137	115	137
2.590000e+01	132	116	145
2.610000e+01	139	121	141
2.630000e+01	149	116	138
2.650000e+01	134	116	141
2.670000e+01	124	117	138
2.690000e+01	127	120	141
2.710000e+01	127	116	138
2.730000e+01	136	117	149
2.750000e+01	128	116	131
2.770000e+01	139	115	141
2.790000e+01	130	118	140
2.810000e+01	131	116	138
2.830000e+01	127	117	154
2.850000e+01	129	115	143
2.870000e+01	130	118	137
2.890000e+01	132	121	146
2.910000e+01	132	117	137
2.930000e+01	129	117	144
2.950000e+01	126	117	145
2.970000e+01	130	115	141
2.990000e+01	146	121	148
3.010000e+01	129	118	138
3.030000e+01	131	120	142
3.050000e+01	131	117	152
3.070000e+01	131	118	138
3.090000e+01	132	116	140
3.110000e+01	125	120	142
3.130000e+01	127	118	135
3.150000e+01	129	116	142
3.170000e+01	136	119	144
3.190000e+01	129	118	148
3.210000e+01	138	120	142
3.230000e+01	131	116	141
3.250000e+01	134	115	146
3.270000e+01	128	115	153
3.290000e+01	130	121	139
3.310000e+01	131	120	140
3.330000e+01	133	116	153
3.350000e+01	123	121	142
3.370000e+01	124	119	142
3.390000e+01	129	121	153
3.410000e+01	131	118	145
3.430000e+01	134	117	143
3.450000e+01	129	121	142
3.470000e+01	130	117	136
3.490000e+01	134	119	148
3.510000e+01	133	122	141
3.530000e+01	128	116	138
3.550000e+01	129	115	146
3.570000e+01	129	115	142
3.590000e+01	125	120	145
3.610000e+01	127	118	142
3.630000e+01	134	114	135
3.650000e+01	137	119	136
3.670000e+01	131	118	148
3.690000e+01	123	122	139
3.710000e+01	128	116	136
3.730000e+01	131	118	151
3.750000e+01	134	121	130
3.770000e+01	131	118	138
3.790000e+01	126	115	144
3.810000e+01	138	117	140
3.830000e+01	131	114	135
3.850000e+01	131	116	141
3.870000e+01	123	120	144
3.890000e+01	127	119	138
3.910000e+01	123	120	140
3.930000e+01	129	116	140
3.950000e+01	125	120	153
3.970000e+01	129	119	143
3.990000e+01	123	119	139
4.010000e+01	125	116	143
4.030000e+01	133	118	143
4.050000e+01	124	116	130
4.070000e+01	127	116	146
4.090000e+01	133	117	147
4.110000e+01	138	120	139
4.130000e+01	125	119	139
4.150000e+01	130	115	136
4.170000e+01	131	121	139
4.190000e+01	139	119	148
4.210000e+01	130	116	137
4.230000e+01	132	119	143
4.250000e+01	132	119	140
4.270000e+01	133	116	147
4.290000e+01	133	120	143
4.310000e+01	131	124	145
4.330000e+01	126	117	144
4.350000e+01	127	120	144
4.370000e+01	138	118	154
4.390000e+01	130	124	141
4.410000e+01	128	116	141
4.430000e+01	129	122	140
4.450000e+01	126	122	151
4.470000e+01	134	118	142
4.490000e+01	140	122	154
4.510000e+01	133	117	141
4.530000e+01	134	120	143
4.550000e+01	135	118	140
4.570000e+01	129	118	137
4.590000e+01	127	117	142
4.610000e+01	136	117	152
4.630000e+01	141	117	136
4.650000e+01	128	114	142
4.670000e+01	133	117	143
4.690000e+01	133	117	156
4.710000e+01	136	117	147
4.730000e+01	127	117	145
4.750000e+01	125	114	159
4.770000e+01	131	118	134
4.790000e+01	132	118	148
4.810000e+01	127	115	155
4.830000e+01	131	116	142
4.850000e+01	126	118	144
4.870000e+01	139	118	141
4.890000e+01	142	117	141
4.910000e+01	132	116	139
4.930000e+01	133	123	148
4.950000e+01	130	119	142
4.970000e+01	128	118	153
4.990000e+01	129	117	139
5.010000e+01	133	117	155
5.030000e+01	131	115	142
5.050000e+01	141	119	140
5.070000e+01	128	117	132
5.090000e+01	132	118	141
5.110000e+01	133	120	135
5.130000e+01	122	117	141
5.150000e+01	134	116	142
5.170000e+01	130	120	147
5.190000e+01	137	114	135
5.210000e+01	131	116	140
5.230000e+01	125	115	144
5.250000e+01	134	119	148
5.270000e+01	130	125	141
5.290000e+01	132	120	144
5.310000e+01	134	122	136
5.330000e+01	131	118	144
5.350000e+01	137	115	147
5.370000e+01	126	118	146
5.390000e+01	130	122	148
5.410000e+01	128	121	140
5.430000e+01	125	117	144
5.450000e+01	133	118	137
5.470000e+01	125	115	147
5.490000e+01	137	118	144
5.510000e+01	124	115	149
5.530000e+01	127	118	141
5.550000e+01	127	118	140
5.570000e+01	129	114	137
5.590000e+01	132	118	144
5.610000e+01	137	121	148
5.630000e+01	129	113	142
5.650000e+01	130	117	149
5.670000e+01	122	116	150
5.690000e+01	129	118	142
5.710000e+01	129	115	145
5.730000e+01	132	121	144
5.750000e+01	130	118	145
5.770000e+01	135	116	144
5.790000e+01	137	118	153
5.810000e+01	137	115	138
5.830000e+01	125	116	143
5.850000e+01	128	120	148
5.870000e+01	122	119	143
5.890000e+01	130	118	140
5.910000e+01	128	121	140
5.930000e+01	135	118	141
5.950000e+01	129	116	137
5.970000e+01	135	120	143
5.990000e+01	130	116	141
6.010000e+01	137	116	142
6.030000e+01	131	114	138
6.050000e+01	130	117	155
6.070000e+01	129	117	148
6.090000e+01	133	115	136
6.110000e+01	130	120	138
6.130000e+01	132	117	149
6.150000e+01	130	116	140
6.170000e+01	137	116	138
6.190000e+01	131	119	140
6.210000e+01	120	120	142
6.230000e+01	133	124	142
6.250000e+01	134	115	146
6.270000e+01	130	118	142
6.290000e+01	132	117	142
6.310000e+01	133	116	149
6.330000e+01	136	123	152
6.350000e+01	129	117	138
6.370000e+01	137	118	144
6.390000e+01	128	118	136
6.410000e+01	131	125	152
6.430000e+01	132	115	131
6.450000e+01	130	115	138
6.470000e+01	125	120	137
6.490000e+01	127	120	137
6.510000e+01	132	119	128
6.530000e+01	129	116	149
6.550000e+01	130	117	151
6.570000e+01	132	119	146
6.590000e+01	134	116	143
6.610000e+01	126	115	133
6.630000e+01	136	121	141
6.650000e+01	131	115	132
6.670000e+01	125	120	137
6.690000e+01	132	118	148
6.710000e+01	124	118	142
6.730000e+01	125	117	141
6.750000e+01	126	117	138
6.770000e+01	128	122	142
6.790000e+01	126	116	148
6.810000e+01	131	118	137
6.830000e+01	134	121	138
6.850000e+01	130	117	143
6.870000e+01	138	118	143
6.890000e+01	128	116	133
6.910000e+01	132	117	141
