coordinates:	53.9,153.6	117.9,153.6	181.9,153.6
timeat295nm	I_1at295nm	I_2at295nm	I_3at295nm
1.000000e-01	158	113	129
3.000000e-01	155	119	149
5.000000e-01	133	126	145
7.000000e-01	137	120	145
9.000000e-01	159	116	143
1.100000e+00	166	114	156
1.300000e+00	142	115	118
1.500000e+00	113	114	116
1.700000e+00	149	114	147
1.900000e+00	151	115	148
2.100000e+00	157	114	138
2.300000e+00	160	116	139
2.500000e+00	152	117	144
2.700000e+00	160	114	137
2.900000e+00	158	116	126
3.100000e+00	161	114	141
3.300000e+00	170	117	145
3.500000e+00	156	114	149
3.700000e+00	114	113	117
3.900000e+00	113	113	116
4.100000e+00	114	113	114
4.300000e+00	115	114	117
4.500000e+00	118	114	115
4.700000e+00	115	115	115
4.900000e+00	114	113	116
5.100000e+00	114	114	118
5.300000e+00	116	113	115
5.500000e+00	116	113	115
5.700000e+00	113	114	116
5.900000e+00	114	114	114
6.100000e+00	116	113	117
6.300000e+00	114	113	117
6.500000e+00	113	113	114
6.700000e+00	114	113	119
6.900000e+00	114	113	114
7.100000e+00	115	113	116
7.300000e+00	113	113	113
7.500000e+00	115	113	115
7.700000e+00	113	113	118
7.900000e+00	113	113	115
8.100000e+00	114	113	114
8.300000e+00	115	113	115
8.500000e+00	114	113	116
8.700000e+00	114	113	116
8.900000e+00	114	114	117
9.100000e+00	114	113	116
9.300000e+00	114	113	115
9.500000e+00	114	113	115
9.700000e+00	115	113	118
9.900000e+00	114	114	120
1.010000e+01	114	113	116
1.030000e+01	114	114	114
1.050000e+01	113	113	115
1.070000e+01	114	114	115
1.090000e+01	115	114	115
1.110000e+01	113	113	116
1.130000e+01	113	114	115
1.150000e+01	115	113	116
1.170000e+01	114	114	115
1.190000e+01	113	113	119
1.210000e+01	113	113	115
1.230000e+01	115	114	115
1.250000e+01	114	116	119
1.270000e+01	113	114	116
1.290000e+01	114	113	117
1.310000e+01	113	113	115
1.330000e+01	113	115	117
1.350000e+01	116	114	117
1.370000e+01	114	114	115
1.390000e+01	114	115	115
1.410000e+01	113	113	115
1.430000e+01	115	113	113
1.450000e+01	113	113	117
1.470000e+01	114	114	114
1.490000e+01	114	114	115
1.510000e+01	113	114	116
1.530000e+01	116	114	115
1.550000e+01	114	113	118
1.570000e+01	113	114	117
1.590000e+01	114	114	115
1.610000e+01	115	113	116
1.630000e+01	114	113	115
1.650000e+01	113	113	115
1.670000e+01	114	113	116
1.690000e+01	113	113	114
1.710000e+01	115	114	113
1.730000e+01	113	113	118
1.750000e+01	113	113	117
1.770000e+01	115	114	115
1.790000e+01	114	114	116
1.810000e+01	115	113	118
1.830000e+01	113	113	120
1.850000e+01	114	113	118
1.870000e+01	113	114	115
1.890000e+01	114	113	114
1.910000e+01	114	113	115
1.930000e+01	117	114	116
1.950000e+01	116	113	115
1.970000e+01	114	113	120
1.990000e+01	113	113	115
