coordinates:	60.2,86.5	145.2,86.5	230.2,86.5
timeat332nm	I_1at332nm	I_2at332nm	I_3at332nm
1.000000e-01	128	135	126
3.000000e-01	136	135	123
5.000000e-01	131	126	123
7.000000e-01	134	126	123
9.000000e-01	137	132	127
1.100000e+00	129	137	119
1.300000e+00	128	136	119
1.500000e+00	142	123	125
1.700000e+00	129	133	129
1.900000e+00	130	129	124
2.100000e+00	129	135	125
2.300000e+00	127	122	128
2.500000e+00	138	122	135
2.700000e+00	128	123	134
2.900000e+00	131	122	137
3.100000e+00	136	122	142
3.300000e+00	129	119	143
3.500000e+00	137	118	151
3.700000e+00	130	121	146
3.900000e+00	125	121	138
4.100000e+00	135	122	140
4.300000e+00	133	118	138
4.500000e+00	126	124	142
4.700000e+00	124	117	138
4.900000e+00	133	119	145
5.100000e+00	131	124	138
5.300000e+00	127	116	152
5.500000e+00	133	124	132
5.700000e+00	125	117	142
5.900000e+00	129	126	142
6.100000e+00	132	119	150
6.300000e+00	127	122	147
6.500000e+00	134	121	136
6.700000e+00	123	120	141
6.900000e+00	127	122	141
7.100000e+00	127	118	139
7.300000e+00	128	121	150
7.500000e+00	125	120	129
7.700000e+00	129	121	154
7.900000e+00	129	116	138
8.100000e+00	129	120	138
8.300000e+00	129	120	138
8.500000e+00	138	119	138
8.700000e+00	129	117	140
8.900000e+00	133	119	142
9.100000e+00	128	117	155
9.300000e+00	126	120	134
9.500000e+00	130	124	139
9.700000e+00	121	120	135
9.900000e+00	135	124	147
1.010000e+01	123	120	133
1.030000e+01	124	122	149
1.050000e+01	125	124	145
1.070000e+01	121	121	148
1.090000e+01	126	121	139
1.110000e+01	125	118	134
1.130000e+01	124	124	134
1.150000e+01	121	122	150
1.170000e+01	122	119	144
1.190000e+01	133	119	143
1.210000e+01	136	119	132
1.230000e+01	128	118	142
1.250000e+01	130	116	140
1.270000e+01	128	121	142
1.290000e+01	131	119	137
1.310000e+01	137	121	146
1.330000e+01	122	119	149
1.350000e+01	132	120	134
1.370000e+01	131	123	151
1.390000e+01	121	118	139
1.410000e+01	127	123	143
1.430000e+01	131	119	133
1.450000e+01	130	115	149
1.470000e+01	132	119	145
1.490000e+01	123	124	136
1.510000e+01	130	125	136
1.530000e+01	124	124	149
1.550000e+01	133	122	139
1.570000e+01	127	118	149
1.590000e+01	131	121	143
1.610000e+01	131	120	141
1.630000e+01	132	120	141
1.650000e+01	128	123	141
1.670000e+01	130	124	133
1.690000e+01	128	115	144
1.710000e+01	137	116	135
1.730000e+01	135	122	138
1.750000e+01	126	125	137
1.770000e+01	128	116	148
1.790000e+01	128	120	143
1.810000e+01	128	120	135
1.830000e+01	122	117	143
1.850000e+01	126	119	141
1.870000e+01	123	126	145
1.890000e+01	127	122	134
1.910000e+01	128	117	145
1.930000e+01	123	120	141
1.950000e+01	126	127	143
1.970000e+01	124	118	155
1.990000e+01	121	122	149
2.010000e+01	130	118	136
2.030000e+01	130	120	145
2.050000e+01	125	121	140
2.070000e+01	130	122	159
2.090000e+01	123	119	134
2.110000e+01	126	117	139
2.130000e+01	126	120	146
2.150000e+01	132	123	145
2.170000e+01	135	118	138
2.190000e+01	130	118	147
2.210000e+01	128	118	139
2.230000e+01	131	124	136
2.250000e+01	132	121	148
2.270000e+01	124	115	137
2.290000e+01	134	121	153
2.310000e+01	132	122	147
2.330000e+01	123	125	140
2.350000e+01	129	117	135
2.370000e+01	129	117	148
2.390000e+01	124	119	143
2.410000e+01	120	123	145
2.430000e+01	129	118	143
2.450000e+01	129	118	143
2.470000e+01	128	121	139
2.490000e+01	131	123	141
2.510000e+01	132	126	143
2.530000e+01	128	126	147
2.550000e+01	131	122	136
2.570000e+01	128	123	137
2.590000e+01	137	116	134
2.610000e+01	127	121	149
2.630000e+01	133	121	142
2.650000e+01	130	121	146
2.670000e+01	133	126	138
2.690000e+01	126	120	139
2.710000e+01	122	120	134
2.730000e+01	124	124	146
2.750000e+01	128	120	139
2.770000e+01	126	120	141
2.790000e+01	131	120	149
2.810000e+01	124	117	138
2.830000e+01	124	129	136
2.850000e+01	124	128	132
2.870000e+01	126	123	131
2.890000e+01	124	133	129
2.910000e+01	130	129	140
2.930000e+01	128	126	133
2.950000e+01	127	132	137
2.970000e+01	134	131	133
2.990000e+01	129	128	131
3.010000e+01	127	126	125
3.030000e+01	127	128	130
3.050000e+01	135	133	139
3.070000e+01	128	124	128
3.090000e+01	131	125	130
3.110000e+01	122	129	134
3.130000e+01	124	130	136
3.150000e+01	126	126	137
3.170000e+01	128	127	138
3.190000e+01	124	128	131
3.210000e+01	126	127	135
3.230000e+01	132	135	133
3.250000e+01	120	133	129
3.270000e+01	132	126	135
3.290000e+01	129	125	137
3.310000e+01	129	129	132
3.330000e+01	132	128	135
3.350000e+01	131	130	132
3.370000e+01	125	132	132
3.390000e+01	134	125	132
3.410000e+01	131	128	125
3.430000e+01	129	130	134
3.450000e+01	130	133	134
3.470000e+01	128	127	136
3.490000e+01	123	132	135
3.510000e+01	132	139	130
3.530000e+01	129	125	135
3.550000e+01	136	123	134
3.570000e+01	132	122	129
3.590000e+01	133	128	132
3.610000e+01	124	132	141
3.630000e+01	131	126	139
3.650000e+01	130	126	135
3.670000e+01	123	126	129
3.690000e+01	130	131	132
3.710000e+01	127	123	128
3.730000e+01	129	127	137
3.750000e+01	131	121	134
3.770000e+01	127	131	127
3.790000e+01	131	123	127
3.810000e+01	135	128	137
3.830000e+01	133	125	133
3.850000e+01	129	122	134
3.870000e+01	134	121	131
3.890000e+01	133	122	131
3.910000e+01	123	123	137
3.930000e+01	125	124	135
3.950000e+01	136	121	133
3.970000e+01	126	124	139
3.990000e+01	136	125	140
4.010000e+01	137	126	130
4.030000e+01	125	124	131
4.050000e+01	129	123	132
4.070000e+01	134	122	128
4.090000e+01	135	129	135
4.110000e+01	137	124	140
4.130000e+01	136	119	135
4.150000e+01	131	122	132
4.170000e+01	136	130	137
4.190000e+01	131	122	148
4.210000e+01	133	123	146
4.230000e+01	132	121	132
4.250000e+01	122	128	134
4.270000e+01	129	123	133
4.290000e+01	129	124	122
4.310000e+01	124	126	127
4.330000e+01	131	122	139
4.350000e+01	123	124	132
4.370000e+01	128	133	130
4.390000e+01	131	124	132
4.410000e+01	129	129	129
