coordinates:	41.1,241.3	126.1,241.3	211.1,241.3
timeat332nm	I_1at332nm	I_2at332nm	I_3at332nm
1.000000e-01	131	136	121
3.000000e-01	131	137	124
5.000000e-01	133	133	130
7.000000e-01	129	140	125
9.000000e-01	140	129	126
1.100000e+00	130	125	120
1.300000e+00	138	129	131
1.500000e+00	136	128	128
1.700000e+00	133	124	128
1.900000e+00	131	131	120
2.100000e+00	134	134	120
2.300000e+00	139	124	125
2.500000e+00	132	130	124
2.700000e+00	134	128	128
2.900000e+00	132	134	117
3.100000e+00	126	132	128
3.300000e+00	132	129	125
3.500000e+00	129	137	132
3.700000e+00	129	129	117
3.900000e+00	135	126	126
4.100000e+00	134	129	124
4.300000e+00	134	136	124
4.500000e+00	135	127	125
4.700000e+00	130	128	125
4.900000e+00	133	135	125
5.100000e+00	131	131	125
5.300000e+00	132	131	125
5.500000e+00	130	134	126
5.700000e+00	138	139	119
5.900000e+00	128	132	129
6.100000e+00	131	130	125
6.300000e+00	133	135	126
6.500000e+00	145	134	128
6.700000e+00	136	127	122
6.900000e+00	137	130	125
7.100000e+00	125	123	122
7.300000e+00	137	127	122
7.500000e+00	136	132	124
7.700000e+00	132	127	124
7.900000e+00	131	136	125
8.100000e+00	134	128	133
8.300000e+00	135	132	123
8.500000e+00	132	126	123
8.700000e+00	137	123	123
8.900000e+00	131	134	123
9.100000e+00	131	134	124
9.300000e+00	131	128	135
9.500000e+00	128	136	133
9.700000e+00	137	126	124
9.900000e+00	131	136	123
1.010000e+01	138	128	125
1.030000e+01	135	136	126
1.050000e+01	137	140	130
1.070000e+01	131	129	124
1.090000e+01	135	128	127
1.110000e+01	134	138	122
1.130000e+01	129	135	128
1.150000e+01	138	131	130
1.170000e+01	132	129	118
1.190000e+01	131	131	125
1.210000e+01	129	122	122
1.230000e+01	136	130	130
1.250000e+01	139	133	122
1.270000e+01	129	133	127
1.290000e+01	125	139	123
1.310000e+01	135	127	123
1.330000e+01	136	126	128
1.350000e+01	134	128	121
1.370000e+01	125	130	126
1.390000e+01	130	123	130
1.410000e+01	134	132	131
1.430000e+01	126	135	124
1.450000e+01	140	128	128
1.470000e+01	136	124	129
1.490000e+01	145	127	128
1.510000e+01	126	127	131
1.530000e+01	134	132	124
1.550000e+01	138	127	124
1.570000e+01	134	129	123
1.590000e+01	135	128	135
1.610000e+01	141	120	122
1.630000e+01	136	118	132
1.650000e+01	133	122	125
1.670000e+01	138	131	126
1.690000e+01	132	124	120
1.710000e+01	133	134	136
1.730000e+01	137	126	124
1.750000e+01	132	127	132
1.770000e+01	135	120	127
1.790000e+01	137	129	120
1.810000e+01	141	122	129
1.830000e+01	136	124	123
1.850000e+01	131	124	128
1.870000e+01	126	128	129
1.890000e+01	148	126	129
1.910000e+01	141	126	129
1.930000e+01	133	120	126
1.950000e+01	141	122	132
