coordinates:	28.4,57.3	28.4,57.3	28.4,57.3
timeat421nm	I_1at421nm	I_2at421nm	I_3at421nm
1.000000e-01	198	118	118
3.000000e-01	209	123	116
5.000000e-01	204	120	115
7.000000e-01	220	120	117
9.000000e-01	215	119	118
1.100000e+00	218	121	119
1.300000e+00	208	119	116
1.500000e+00	206	117	117
1.700000e+00	213	123	117
1.900000e+00	211	122	120
2.100000e+00	189	118	117
2.300000e+00	217	118	115
2.500000e+00	202	120	117
2.700000e+00	211	118	122
2.900000e+00	202	123	116
3.100000e+00	203	123	119
3.300000e+00	163	137	119
3.500000e+00	180	122	121
3.700000e+00	164	134	120
3.900000e+00	154	143	118
4.100000e+00	125	115	114
4.300000e+00	164	137	117
4.500000e+00	157	133	114
4.700000e+00	141	123	118
4.900000e+00	162	143	121
5.100000e+00	163	150	118
5.300000e+00	115	115	116
5.500000e+00	160	138	123
5.700000e+00	164	135	118
5.900000e+00	140	119	117
6.100000e+00	168	147	123
6.300000e+00	174	146	119
6.500000e+00	176	150	119
6.700000e+00	159	141	117
6.900000e+00	161	137	118
7.100000e+00	152	150	118
7.300000e+00	189	123	118
7.500000e+00	160	137	120
7.700000e+00	114	113	117
7.900000e+00	116	114	116
8.100000e+00	115	113	117
8.300000e+00	113	114	114
8.500000e+00	114	113	119
8.700000e+00	116	113	116
8.900000e+00	113	114	119
9.100000e+00	115	114	119
9.300000e+00	114	114	115
9.500000e+00	115	114	115
9.700000e+00	115	113	119
9.900000e+00	113	114	121
1.010000e+01	115	114	117
1.030000e+01	115	117	118
1.050000e+01	113	115	118
1.070000e+01	115	113	115
1.090000e+01	114	113	115
1.110000e+01	113	114	118
1.130000e+01	113	114	114
1.150000e+01	115	113	115
1.170000e+01	113	113	116
1.190000e+01	114	114	123
1.210000e+01	116	114	115
1.230000e+01	118	114	115
1.250000e+01	116	113	118
1.270000e+01	113	113	116
1.290000e+01	114	116	118
1.310000e+01	116	115	118
1.330000e+01	113	115	114
1.350000e+01	115	113	114
1.370000e+01	114	113	114
1.390000e+01	114	113	117
1.410000e+01	116	113	121
1.430000e+01	114	113	120
1.450000e+01	115	113	118
1.470000e+01	113	114	117
1.490000e+01	116	113	117
1.510000e+01	114	116	117
1.530000e+01	114	117	115
1.550000e+01	115	113	114
1.570000e+01	114	114	119
1.590000e+01	114	113	118
1.610000e+01	115	113	117
1.630000e+01	113	117	117
1.650000e+01	115	114	115
1.670000e+01	114	113	117
1.690000e+01	113	113	121
1.710000e+01	115	114	114
1.730000e+01	114	113	119
1.750000e+01	116	113	121
1.770000e+01	115	114	115
1.790000e+01	114	114	115
1.810000e+01	114	114	114
1.830000e+01	115	114	116
1.850000e+01	115	114	119
1.870000e+01	113	114	117
1.890000e+01	116	115	118
1.910000e+01	114	114	115
1.930000e+01	114	113	119
1.950000e+01	116	114	120
1.970000e+01	115	113	114
1.990000e+01	115	114	117
