coordinates:	40.9,12.2	40.9,12.2	40.9,12.2
timeat421nm	I_1at421nm	I_2at421nm	I_3at421nm
1.000000e-01	163	114	136
3.000000e-01	168	130	127
5.000000e-01	147	118	157
7.000000e-01	120	116	184
9.000000e-01	118	113	171
1.100000e+00	120	115	182
1.300000e+00	115	114	177
1.500000e+00	147	116	139
1.700000e+00	120	114	163
1.900000e+00	119	114	171
2.100000e+00	115	116	153
2.300000e+00	117	113	160
2.500000e+00	122	113	171
2.700000e+00	115	113	178
2.900000e+00	148	113	121
3.100000e+00	146	116	139
3.300000e+00	122	117	177
3.500000e+00	122	114	175
3.700000e+00	120	116	155
3.900000e+00	117	113	191
4.100000e+00	129	115	174
4.300000e+00	119	113	170
4.500000e+00	123	114	176
4.700000e+00	121	116	171
4.900000e+00	121	117	179
5.100000e+00	118	114	178
5.300000e+00	115	114	164
5.500000e+00	121	114	175
5.700000e+00	117	114	165
5.900000e+00	120	113	176
6.100000e+00	120	115	153
6.300000e+00	122	113	165
6.500000e+00	212	116	118
6.700000e+00	196	114	116
6.900000e+00	214	114	120
7.100000e+00	197	114	118
7.300000e+00	207	114	122
7.500000e+00	224	115	120
7.700000e+00	198	116	116
7.900000e+00	167	115	118
8.100000e+00	203	116	116
8.300000e+00	225	114	120
8.500000e+00	224	119	116
8.700000e+00	198	115	117
8.900000e+00	242	113	114
9.100000e+00	225	115	116
9.300000e+00	208	116	117
9.500000e+00	214	113	118
9.700000e+00	171	115	115
9.900000e+00	114	114	115
1.010000e+01	114	113	116
1.030000e+01	118	113	115
1.050000e+01	113	114	119
1.070000e+01	116	115	115
1.090000e+01	114	115	113
1.110000e+01	114	114	117
1.130000e+01	116	113	114
1.150000e+01	114	116	118
1.170000e+01	117	113	115
1.190000e+01	113	113	116
1.210000e+01	115	114	115
1.230000e+01	115	114	117
1.250000e+01	115	115	121
1.270000e+01	114	113	116
1.290000e+01	113	113	119
1.310000e+01	114	113	116
1.330000e+01	115	115	115
1.350000e+01	115	114	117
1.370000e+01	113	116	119
1.390000e+01	115	114	117
1.410000e+01	113	113	120
1.430000e+01	116	114	116
1.450000e+01	117	114	119
1.470000e+01	114	113	118
1.490000e+01	114	113	114
1.510000e+01	115	113	118
1.530000e+01	114	113	116
1.550000e+01	116	115	118
1.570000e+01	116	113	121
1.590000e+01	117	114	117
1.610000e+01	114	115	116
1.630000e+01	113	113	119
1.650000e+01	114	113	118
1.670000e+01	115	113	116
1.690000e+01	114	114	115
1.710000e+01	114	114	113
1.730000e+01	115	113	120
1.750000e+01	115	114	118
1.770000e+01	116	114	120
1.790000e+01	115	113	113
1.810000e+01	114	113	118
1.830000e+01	113	113	117
1.850000e+01	115	114	114
1.870000e+01	116	114	116
1.890000e+01	114	113	119
1.910000e+01	119	114	115
1.930000e+01	114	116	118
1.950000e+01	113	114	117
1.970000e+01	114	114	117
1.990000e+01	113	115	120
