coordinates:	49.2,5.3	49.2,5.3	49.2,5.3
timeat421nm	I_1at421nm	I_2at421nm	I_3at421nm
1.000000e-01	198	118	115
3.000000e-01	166	116	155
5.000000e-01	158	118	141
7.000000e-01	130	118	157
9.000000e-01	118	114	171
1.100000e+00	173	140	117
1.300000e+00	216	119	119
1.500000e+00	210	117	118
1.700000e+00	219	113	118
1.900000e+00	221	113	118
2.100000e+00	208	115	118
2.300000e+00	204	115	116
2.500000e+00	218	113	118
2.700000e+00	214	114	120
2.900000e+00	218	117	117
3.100000e+00	214	116	117
3.300000e+00	217	114	118
3.500000e+00	206	118	118
3.700000e+00	115	113	121
3.900000e+00	115	114	119
4.100000e+00	114	114	118
4.300000e+00	116	114	122
4.500000e+00	116	113	116
4.700000e+00	117	114	115
4.900000e+00	113	114	115
5.100000e+00	115	114	116
5.300000e+00	114	113	116
5.500000e+00	116	113	120
5.700000e+00	113	114	119
5.900000e+00	116	114	116
6.100000e+00	113	114	119
6.300000e+00	114	114	115
6.500000e+00	113	115	116
6.700000e+00	113	116	117
6.900000e+00	116	113	116
7.100000e+00	114	114	121
7.300000e+00	113	114	119
7.500000e+00	116	114	118
7.700000e+00	113	114	122
7.900000e+00	115	113	117
8.100000e+00	114	113	116
8.300000e+00	113	116	114
8.500000e+00	113	113	115
8.700000e+00	113	113	114
8.900000e+00	114	114	118
9.100000e+00	113	114	113
9.300000e+00	114	116	118
9.500000e+00	114	113	117
9.700000e+00	116	114	117
9.900000e+00	113	113	113
1.010000e+01	113	114	117
1.030000e+01	115	113	116
1.050000e+01	114	114	118
1.070000e+01	113	113	119
1.090000e+01	114	116	115
1.110000e+01	114	113	121
1.130000e+01	113	113	113
1.150000e+01	113	116	113
1.170000e+01	115	115	115
1.190000e+01	115	114	117
1.210000e+01	114	114	116
1.230000e+01	115	114	118
1.250000e+01	115	114	116
1.270000e+01	113	113	121
1.290000e+01	114	114	119
1.310000e+01	115	113	117
1.330000e+01	114	113	117
1.350000e+01	115	113	117
1.370000e+01	113	114	116
1.390000e+01	114	114	118
1.410000e+01	115	115	115
1.430000e+01	116	116	115
1.450000e+01	114	115	120
1.470000e+01	115	114	116
1.490000e+01	113	116	118
1.510000e+01	116	114	119
1.530000e+01	114	114	120
1.550000e+01	113	113	119
1.570000e+01	114	114	121
1.590000e+01	115	114	118
1.610000e+01	113	115	115
1.630000e+01	114	113	116
1.650000e+01	117	113	121
1.670000e+01	115	113	114
1.690000e+01	114	114	117
1.710000e+01	114	113	121
1.730000e+01	113	113	119
1.750000e+01	115	114	117
1.770000e+01	115	115	117
1.790000e+01	115	113	118
1.810000e+01	115	114	118
1.830000e+01	115	113	118
1.850000e+01	114	115	114
1.870000e+01	118	113	116
1.890000e+01	115	114	119
1.910000e+01	113	113	120
1.930000e+01	116	117	118
1.950000e+01	114	115	115
1.970000e+01	113	114	117
1.990000e+01	116	113	119
