coordinates:	7.9,27.0	7.9,27.0	7.9,27.0
timeat157nm	I_1at157nm	I_2at157nm	I_3at157nm	timeat967nm	I_1at967nm	I_2at967nm	I_3at967nm
1.000000e-01	197	123	115	2.000000e-01	121	127	191
3.000000e-01	125	125	193	4.000000e-01	125	129	197
5.000000e-01	122	120	178	6.000000e-01	122	124	224
7.000000e-01	124	122	176	8.000000e-01	123	122	193
9.000000e-01	126	118	172	1	119	120	194
1.100000e+00	131	121	175	1.200000e+00	124	123	196
1.300000e+00	128	113	115	1.400000e+00	122	126	211
1.500000e+00	125	125	174	1.600000e+00	121	124	184
1.700000e+00	144	118	163	1.800000e+00	123	129	199
1.900000e+00	152	127	152	2	130	130	200
2.100000e+00	168	118	139	2.200000e+00	122	126	206
2.300000e+00	165	122	152	2.400000e+00	122	119	187
2.500000e+00	172	122	152	2.600000e+00	124	245	132
2.700000e+00	150	182	126	2.800000e+00	124	147	174
2.900000e+00	165	120	147	3	122	127	201
3.100000e+00	157	122	145	3.200000e+00	124	129	205
3.300000e+00	125	114	116	3.400000e+00	121	122	203
3.500000e+00	160	124	142	3.600000e+00	125	124	206
3.700000e+00	171	119	151	3.800000e+00	120	129	183
3.900000e+00	156	117	155	4	117	126	207
4.100000e+00	170	119	164	4.200000e+00	118	120	205
4.300000e+00	167	120	147	4.400000e+00	119	123	196
4.500000e+00	165	122	145	4.600000e+00	123	121	196
4.700000e+00	180	127	161	4.800000e+00	117	123	206
4.900000e+00	167	116	149	5	121	126	201
5.100000e+00	169	118	135	5.200000e+00	122	170	169
5.300000e+00	169	192	119	5.400000e+00	121	153	181
5.500000e+00	165	196	117	5.600000e+00	122	264	136
5.700000e+00	176	188	123	5.800000e+00	118	271	135
5.900000e+00	144	211	121	6	121	285	130
6.100000e+00	118	235	135	6.200000e+00	123	272	134
6.300000e+00	121	230	123	6.400000e+00	123	278	131
6.500000e+00	121	227	126	6.600000e+00	123	281	133
6.700000e+00	117	117	113	6.800000e+00	116	274	134
6.900000e+00	142	155	119	7	119	271	131
7.100000e+00	123	251	125	7.200000e+00	124	288	145
7.300000e+00	123	249	124	7.400000e+00	122	273	134
7.500000e+00	122	222	124	7.600000e+00	123	289	129
7.700000e+00	124	238	124	7.800000e+00	129	148	119
7.900000e+00	159	147	116	8	120	286	137
8.100000e+00	199	131	122	8.200000e+00	122	113	117
8.300000e+00	126	116	113	8.400000e+00	117	290	141
8.500000e+00	128	250	129	8.600000e+00	119	260	143
8.700000e+00	122	229	125	8.800000e+00	123	292	133
8.900000e+00	120	243	129	9	124	269	132
9.100000e+00	122	238	126	9.200000e+00	122	293	137
9.300000e+00	124	253	127	9.400000e+00	123	274	132
9.500000e+00	124	243	125	9.600000e+00	120	295	147
9.700000e+00	126	225	121	9.800000e+00	120	181	127
9.900000e+00	130	256	128	10	125	267	131
1.010000e+01	122	225	123	1.020000e+01	122	295	130
1.030000e+01	118	252	126	1.040000e+01	122	284	130
1.050000e+01	145	191	123	1.060000e+01	122	257	132
1.070000e+01	126	119	114	1.080000e+01	124	176	129
1.090000e+01	125	118	115	11	123	282	129
1.110000e+01	120	117	115	1.120000e+01	122	260	143
1.130000e+01	122	117	113	1.140000e+01	125	268	130
1.150000e+01	124	119	115	1.160000e+01	121	266	134
1.170000e+01	126	115	116	1.180000e+01	127	274	136
1.190000e+01	122	115	113	12	127	261	140
1.210000e+01	126	115	113	1.220000e+01	120	281	124
1.230000e+01	119	121	114	1.240000e+01	129	274	139
1.250000e+01	121	117	114	1.260000e+01	116	270	131
1.270000e+01	117	117	113	1.280000e+01	124	272	129
1.290000e+01	122	118	113	13	118	277	131
1.310000e+01	124	117	113	1.320000e+01	118	277	130
1.330000e+01	128	120	116	1.340000e+01	122	266	134
1.350000e+01	123	117	113	1.360000e+01	121	261	136
1.370000e+01	125	118	113	1.380000e+01	123	280	135
1.390000e+01	122	119	114	14	123	261	134
1.410000e+01	121	122	113	1.420000e+01	123	261	132
1.430000e+01	120	119	113	1.440000e+01	128	258	141
1.450000e+01	121	116	113	1.460000e+01	124	252	133
1.470000e+01	120	121	115	1.480000e+01	131	276	128
1.490000e+01	121	117	116	15	123	267	136
1.510000e+01	119	119	113	1.520000e+01	120	274	132
1.530000e+01	124	119	113	1.540000e+01	116	249	133
1.550000e+01	122	119	114	1.560000e+01	126	255	136
1.570000e+01	124	118	113	1.580000e+01	124	287	132
1.590000e+01	122	115	113	16	120	235	135
1.610000e+01	124	113	113	1.620000e+01	119	290	143
1.630000e+01	122	114	114	1.640000e+01	125	262	141
1.650000e+01	119	122	114	1.660000e+01	119	282	131
1.670000e+01	127	116	115	1.680000e+01	118	247	134
1.690000e+01	125	117	113	17	123	271	139
1.710000e+01	130	119	114	1.720000e+01	123	257	132
1.730000e+01	123	116	113	1.740000e+01	118	273	134
1.750000e+01	124	113	113	1.760000e+01	123	295	137
1.770000e+01	127	117	114	1.780000e+01	125	293	134
1.790000e+01	120	113	113	18	119	268	138
1.810000e+01	124	117	113	1.820000e+01	124	296	138
1.830000e+01	125	113	115	1.840000e+01	129	275	134
1.850000e+01	132	114	114	1.860000e+01	121	259	134
1.870000e+01	118	118	114	1.880000e+01	125	295	128
1.890000e+01	123	117	113	19	123	255	144
1.910000e+01	124	119	114	1.920000e+01	123	300	138
1.930000e+01	119	117	114	1.940000e+01	120	259	141
1.950000e+01	125	118	113	1.960000e+01	124	265	130
1.970000e+01	119	118	115	1.980000e+01	128	260	141
1.990000e+01	118	117	114	20	126	285	136
