coordinates:	1.2,56.2	1.2,56.2	1.2,56.2
timeat157nm	I_1at157nm	I_2at157nm	I_3at157nm	timeat967nm	I_1at967nm	I_2at967nm	I_3at967nm
1.000000e-01	125	249	126	2.000000e-01	123	286	135
3.000000e-01	123	237	124	4.000000e-01	123	201	174
5.000000e-01	124	184	134	6.000000e-01	120	201	168
7.000000e-01	130	182	150	8.000000e-01	123	201	172
9.000000e-01	123	173	153	1	121	209	162
1.100000e+00	128	180	143	1.200000e+00	130	195	167
1.300000e+00	125	170	154	1.400000e+00	123	132	199
1.500000e+00	124	125	170	1.600000e+00	124	129	189
1.700000e+00	221	117	116	1.800000e+00	119	113	121
1.900000e+00	211	117	117	2	116	205	122
2.100000e+00	126	256	122	2.200000e+00	125	255	135
2.300000e+00	120	242	121	2.400000e+00	120	289	136
2.500000e+00	118	233	133	2.600000e+00	119	269	135
2.700000e+00	125	234	124	2.800000e+00	118	231	133
2.900000e+00	120	238	128	3	123	256	133
3.100000e+00	215	118	117	3.200000e+00	124	113	121
3.300000e+00	123	113	113	3.400000e+00	123	113	122
3.500000e+00	123	113	113	3.600000e+00	123	113	119
3.700000e+00	122	113	114	3.800000e+00	122	113	119
3.900000e+00	121	113	114	4	125	113	127
4.100000e+00	122	113	113	4.200000e+00	124	113	116
4.300000e+00	123	113	113	4.400000e+00	124	113	116
4.500000e+00	127	113	113	4.600000e+00	118	113	121
4.700000e+00	118	113	113	4.800000e+00	125	113	124
4.900000e+00	127	113	113	5	120	113	118
5.100000e+00	121	113	113	5.200000e+00	125	113	119
5.300000e+00	119	113	113	5.400000e+00	124	113	124
5.500000e+00	124	113	113	5.600000e+00	122	113	123
5.700000e+00	124	113	113	5.800000e+00	128	113	117
5.900000e+00	124	113	113	6	123	113	118
6.100000e+00	125	113	113	6.200000e+00	123	113	116
6.300000e+00	126	113	113	6.400000e+00	130	113	117
6.500000e+00	120	113	114	6.600000e+00	123	113	118
6.700000e+00	125	113	115	6.800000e+00	127	113	117
6.900000e+00	119	113	114	7	120	113	118
7.100000e+00	123	113	113	7.200000e+00	126	113	119
7.300000e+00	117	113	113	7.400000e+00	124	113	120
7.500000e+00	119	113	113	7.600000e+00	124	113	119
7.700000e+00	123	113	114	7.800000e+00	122	113	122
7.900000e+00	120	113	113	8	123	113	115
8.100000e+00	120	113	114	8.200000e+00	123	113	122
8.300000e+00	126	113	113	8.400000e+00	123	113	116
8.500000e+00	125	113	113	8.600000e+00	126	113	123
8.700000e+00	129	113	113	8.800000e+00	120	113	119
8.900000e+00	121	113	114	9	121	113	120
9.100000e+00	120	113	114	9.200000e+00	122	113	118
9.300000e+00	122	113	113	9.400000e+00	134	113	121
9.500000e+00	125	113	113	9.600000e+00	124	113	120
9.700000e+00	121	113	114	9.800000e+00	121	113	117
9.900000e+00	123	113	114	10	122	113	121
1.010000e+01	121	113	114	1.020000e+01	127	113	120
1.030000e+01	124	113	113	1.040000e+01	121	113	122
1.050000e+01	122	113	113	1.060000e+01	126	113	121
1.070000e+01	126	113	113	1.080000e+01	120	113	121
1.090000e+01	122	113	113	11	128	113	123
1.110000e+01	118	113	113	1.120000e+01	124	113	119
1.130000e+01	122	113	113	1.140000e+01	119	113	119
1.150000e+01	123	113	113	1.160000e+01	126	113	116
1.170000e+01	121	113	113	1.180000e+01	119	113	124
1.190000e+01	120	113	114	12	120	113	117
1.210000e+01	132	114	114	1.220000e+01	125	113	122
1.230000e+01	124	113	113	1.240000e+01	122	114	123
1.250000e+01	123	113	114	1.260000e+01	124	113	117
1.270000e+01	123	113	114	1.280000e+01	122	113	120
1.290000e+01	123	113	113	13	126	113	123
1.310000e+01	121	113	114	1.320000e+01	122	113	116
1.330000e+01	123	114	113	1.340000e+01	122	113	119
1.350000e+01	123	113	114	1.360000e+01	119	113	119
1.370000e+01	125	113	113	1.380000e+01	127	113	125
1.390000e+01	118	113	113	14	121	113	121
1.410000e+01	119	113	113	1.420000e+01	119	113	118
1.430000e+01	121	113	113	1.440000e+01	121	113	120
1.450000e+01	122	113	113	1.460000e+01	122	113	116
1.470000e+01	124	113	113	1.480000e+01	121	113	123
1.490000e+01	131	113	113	15	120	113	123
1.510000e+01	121	113	113	1.520000e+01	122	113	124
1.530000e+01	118	114	114	1.540000e+01	123	113	120
1.550000e+01	121	113	114	1.560000e+01	124	113	121
1.570000e+01	120	113	113	1.580000e+01	125	113	120
1.590000e+01	125	113	113	16	123	113	119
1.610000e+01	123	113	114	1.620000e+01	119	113	128
1.630000e+01	125	113	113	1.640000e+01	129	113	121
1.650000e+01	126	113	113	1.660000e+01	121	113	121
1.670000e+01	125	113	113	1.680000e+01	124	114	121
1.690000e+01	119	113	113	17	119	113	118
1.710000e+01	124	113	113	1.720000e+01	121	113	120
1.730000e+01	123	113	113	1.740000e+01	125	113	120
1.750000e+01	125	113	113	1.760000e+01	119	113	118
1.770000e+01	128	113	115	1.780000e+01	121	113	118
1.790000e+01	121	113	114	18	124	113	124
1.810000e+01	118	113	113	1.820000e+01	121	113	118
1.830000e+01	123	113	113	1.840000e+01	120	113	119
1.850000e+01	123	113	113	1.860000e+01	122	113	123
1.870000e+01	125	113	113	1.880000e+01	119	113	123
1.890000e+01	127	113	113	19	125	113	121
1.910000e+01	121	113	113	1.920000e+01	130	113	117
1.930000e+01	119	113	113	1.940000e+01	122	113	120
1.950000e+01	123	113	117	1.960000e+01	121	113	120
1.970000e+01	127	113	114	1.980000e+01	120	113	114
1.990000e+01	125	113	113	20	125	113	120
