coordinates:	7.6,44.1	7.6,44.1	7.6,44.1
timeat157nm	I_1at157nm	I_2at157nm	I_3at157nm	timeat967nm	I_1at967nm	I_2at967nm	I_3at967nm
1.000000e-01	125	113	113	2.000000e-01	118	262	136
3.000000e-01	128	212	136	4.000000e-01	124	279	138
5.000000e-01	122	229	127	6.000000e-01	127	262	133
7.000000e-01	143	127	120	8.000000e-01	122	266	138
9.000000e-01	118	231	122	1	123	262	146
1.100000e+00	125	223	132	1.200000e+00	117	256	148
1.300000e+00	158	124	166	1.400000e+00	122	244	138
1.500000e+00	127	118	168	1.600000e+00	122	267	142
1.700000e+00	125	118	178	1.800000e+00	119	268	137
1.900000e+00	144	117	123	2	122	255	137
2.100000e+00	126	116	183	2.200000e+00	122	265	134
2.300000e+00	165	131	138	2.400000e+00	125	313	136
2.500000e+00	224	136	122	2.600000e+00	125	210	126
2.700000e+00	223	135	119	2.800000e+00	123	226	144
2.900000e+00	130	113	176	3	130	113	123
3.100000e+00	130	113	178	3.200000e+00	123	113	117
3.300000e+00	126	114	186	3.400000e+00	123	174	182
3.500000e+00	130	114	185	3.600000e+00	124	131	200
3.700000e+00	126	113	198	3.800000e+00	122	125	192
3.900000e+00	124	113	170	4	126	120	207
4.100000e+00	119	115	180	4.200000e+00	122	125	187
4.300000e+00	125	114	175	4.400000e+00	127	128	215
4.500000e+00	127	115	177	4.600000e+00	122	122	207
4.700000e+00	186	115	159	4.800000e+00	126	187	161
4.900000e+00	202	141	119	5	122	262	137
5.100000e+00	208	147	121	5.200000e+00	123	145	186
5.300000e+00	165	119	151	5.400000e+00	119	135	121
5.500000e+00	167	117	146	5.600000e+00	123	191	128
5.700000e+00	156	125	155	5.800000e+00	125	290	129
5.900000e+00	170	130	139	6	119	257	146
6.100000e+00	162	132	147	6.200000e+00	120	268	136
6.300000e+00	168	132	143	6.400000e+00	122	265	145
6.500000e+00	168	133	143	6.600000e+00	125	216	132
6.700000e+00	168	131	141	6.800000e+00	115	249	131
6.900000e+00	175	132	162	7	122	260	134
7.100000e+00	178	129	131	7.200000e+00	122	266	140
7.300000e+00	120	120	116	7.400000e+00	120	252	134
7.500000e+00	158	127	137	7.600000e+00	119	262	139
7.700000e+00	175	130	145	7.800000e+00	122	251	146
7.900000e+00	168	134	147	8	117	223	133
8.100000e+00	164	127	140	8.200000e+00	119	271	134
8.300000e+00	173	122	144	8.400000e+00	127	246	138
8.500000e+00	183	131	147	8.600000e+00	130	241	141
8.700000e+00	137	203	128	8.800000e+00	123	227	129
8.900000e+00	139	150	135	9	119	257	142
9.100000e+00	123	222	127	9.200000e+00	117	259	141
9.300000e+00	120	247	127	9.400000e+00	114	271	135
9.500000e+00	126	185	144	9.600000e+00	124	254	145
9.700000e+00	120	194	137	9.800000e+00	122	246	139
9.900000e+00	127	192	153	10	123	250	142
1.010000e+01	132	199	146	1.020000e+01	117	279	147
1.030000e+01	118	185	154	1.040000e+01	130	271	137
1.050000e+01	125	193	143	1.060000e+01	124	257	139
1.070000e+01	124	188	146	1.080000e+01	124	277	144
1.090000e+01	125	181	156	11	122	269	145
1.110000e+01	121	201	156	1.120000e+01	119	259	137
1.130000e+01	121	131	174	1.140000e+01	124	294	142
1.150000e+01	127	181	139	1.160000e+01	121	256	143
1.170000e+01	125	179	152	1.180000e+01	121	271	146
1.190000e+01	124	190	148	12	124	260	129
1.210000e+01	123	184	142	1.220000e+01	128	266	130
1.230000e+01	123	196	148	1.240000e+01	123	273	133
1.250000e+01	123	256	124	1.260000e+01	125	255	144
1.270000e+01	121	190	151	1.280000e+01	126	247	137
1.290000e+01	125	202	159	13	123	274	136
1.310000e+01	127	259	130	1.320000e+01	130	276	141
1.330000e+01	129	197	144	1.340000e+01	117	283	133
1.350000e+01	124	191	155	1.360000e+01	118	255	142
1.370000e+01	123	195	147	1.380000e+01	124	285	134
1.390000e+01	124	123	199	14	125	259	146
1.410000e+01	124	122	176	1.420000e+01	126	256	136
1.430000e+01	126	119	173	1.440000e+01	118	266	131
1.450000e+01	124	118	175	1.460000e+01	121	283	143
1.470000e+01	125	116	171	1.480000e+01	124	208	174
1.490000e+01	139	134	150	15	123	113	120
1.510000e+01	130	113	191	1.520000e+01	124	113	120
1.530000e+01	125	113	184	1.540000e+01	125	113	122
1.550000e+01	120	113	178	1.560000e+01	125	113	118
1.570000e+01	128	113	177	1.580000e+01	125	113	120
1.590000e+01	127	113	182	16	125	113	120
1.610000e+01	120	113	186	1.620000e+01	118	113	121
1.630000e+01	127	113	168	1.640000e+01	120	113	122
1.650000e+01	123	113	175	1.660000e+01	120	113	116
1.670000e+01	117	113	172	1.680000e+01	124	113	120
1.690000e+01	122	114	191	17	124	114	120
1.710000e+01	142	115	142	1.720000e+01	131	113	120
1.730000e+01	125	113	194	1.740000e+01	118	113	121
1.750000e+01	127	113	190	1.760000e+01	122	113	121
1.770000e+01	123	113	179	1.780000e+01	121	113	122
1.790000e+01	128	113	176	18	124	113	116
1.810000e+01	123	113	181	1.820000e+01	118	113	120
1.830000e+01	126	113	176	1.840000e+01	120	113	122
1.850000e+01	119	113	162	1.860000e+01	125	113	119
1.870000e+01	119	113	180	1.880000e+01	118	113	122
1.890000e+01	123	113	184	19	122	113	121
1.910000e+01	124	113	165	1.920000e+01	124	113	114
1.930000e+01	122	113	186	1.940000e+01	122	113	119
1.950000e+01	127	113	114	1.960000e+01	125	113	119
1.970000e+01	196	122	115	1.980000e+01	122	113	122
1.990000e+01	228	116	121	20	120	113	118
