coordinates:	11.8,30.9	11.8,30.9	11.8,30.9
timeat157nm	I_1at157nm	I_2at157nm	I_3at157nm	timeat967nm	I_1at967nm	I_2at967nm	I_3at967nm
1.000000e-01	119	117	169	2.000000e-01	119	281	130
3.000000e-01	130	119	172	4.000000e-01	124	296	131
5.000000e-01	124	119	162	6.000000e-01	121	258	132
7.000000e-01	171	130	128	8.000000e-01	127	269	143
9.000000e-01	122	117	197	1	118	257	144
1.100000e+00	122	116	168	1.200000e+00	122	277	143
1.300000e+00	124	119	173	1.400000e+00	127	281	143
1.500000e+00	122	114	177	1.600000e+00	124	124	205
1.700000e+00	127	114	170	1.800000e+00	127	256	135
1.900000e+00	124	120	181	2	126	284	146
2.100000e+00	172	135	123	2.200000e+00	120	283	136
2.300000e+00	124	119	113	2.400000e+00	118	266	140
2.500000e+00	137	117	124	2.600000e+00	123	113	122
2.700000e+00	121	119	175	2.800000e+00	122	272	132
2.900000e+00	119	118	200	3	118	272	141
3.100000e+00	124	117	182	3.200000e+00	127	278	131
3.300000e+00	122	117	185	3.400000e+00	123	274	142
3.500000e+00	122	115	177	3.600000e+00	119	266	142
3.700000e+00	123	124	181	3.800000e+00	126	244	135
3.900000e+00	125	119	187	4	118	258	134
4.100000e+00	132	118	176	4.200000e+00	127	251	137
4.300000e+00	126	117	113	4.400000e+00	124	272	138
4.500000e+00	125	115	114	4.600000e+00	121	279	129
4.700000e+00	117	117	114	4.800000e+00	123	247	137
4.900000e+00	128	115	113	5	123	252	137
5.100000e+00	118	119	116	5.200000e+00	126	244	135
5.300000e+00	122	122	114	5.400000e+00	126	230	146
5.500000e+00	121	120	114	5.600000e+00	125	267	132
5.700000e+00	118	115	114	5.800000e+00	122	279	142
5.900000e+00	125	118	113	6	127	273	138
6.100000e+00	122	116	114	6.200000e+00	125	274	139
6.300000e+00	120	119	115	6.400000e+00	121	260	127
6.500000e+00	125	118	113	6.600000e+00	126	277	138
6.700000e+00	123	117	115	6.800000e+00	120	127	206
6.900000e+00	121	113	114	7	123	125	202
7.100000e+00	123	113	115	7.200000e+00	123	128	204
7.300000e+00	121	113	114	7.400000e+00	119	144	148
7.500000e+00	119	114	116	7.600000e+00	122	116	184
7.700000e+00	121	113	119	7.800000e+00	121	132	215
7.900000e+00	120	113	117	8	126	120	209
8.100000e+00	120	114	117	8.200000e+00	120	129	215
8.300000e+00	117	113	113	8.400000e+00	128	128	195
8.500000e+00	116	115	118	8.600000e+00	123	127	202
8.700000e+00	118	114	113	8.800000e+00	125	222	129
8.900000e+00	122	118	114	9	124	260	137
9.100000e+00	126	120	113	9.200000e+00	123	249	142
9.300000e+00	121	113	114	9.400000e+00	122	224	130
9.500000e+00	118	117	113	9.600000e+00	121	284	134
9.700000e+00	121	117	114	9.800000e+00	130	272	143
9.900000e+00	119	114	113	10	126	273	133
1.010000e+01	124	117	114	1.020000e+01	123	284	140
1.030000e+01	124	119	114	1.040000e+01	120	283	146
1.050000e+01	120	122	115	1.060000e+01	119	259	138
1.070000e+01	122	118	114	1.080000e+01	122	283	134
1.090000e+01	125	118	114	11	118	265	145
1.110000e+01	124	118	113	1.120000e+01	122	290	142
1.130000e+01	122	120	113	1.140000e+01	123	277	135
1.150000e+01	124	117	113	1.160000e+01	120	288	128
1.170000e+01	120	115	114	1.180000e+01	127	284	125
1.190000e+01	123	117	113	12	116	276	137
1.210000e+01	126	120	114	1.220000e+01	122	270	132
1.230000e+01	127	118	116	1.240000e+01	121	251	131
1.250000e+01	120	120	115	1.260000e+01	126	281	130
1.270000e+01	124	114	115	1.280000e+01	126	170	129
1.290000e+01	120	116	113	13	121	270	136
1.310000e+01	125	121	113	1.320000e+01	125	274	128
1.330000e+01	127	117	113	1.340000e+01	119	269	129
1.350000e+01	120	119	115	1.360000e+01	121	263	139
1.370000e+01	124	118	114	1.380000e+01	125	260	128
1.390000e+01	122	115	114	14	121	263	130
1.410000e+01	126	119	113	1.420000e+01	125	277	129
1.430000e+01	116	116	113	1.440000e+01	118	274	129
1.450000e+01	124	114	113	1.460000e+01	124	247	131
1.470000e+01	122	119	113	1.480000e+01	120	291	136
1.490000e+01	124	114	114	15	126	288	141
1.510000e+01	117	120	115	1.520000e+01	124	282	135
1.530000e+01	117	118	114	1.540000e+01	123	282	135
1.550000e+01	119	118	113	1.560000e+01	129	281	135
1.570000e+01	125	118	113	1.580000e+01	126	282	138
1.590000e+01	122	116	115	16	124	275	138
1.610000e+01	128	117	114	1.620000e+01	119	276	132
1.630000e+01	120	115	114	1.640000e+01	122	249	130
1.650000e+01	120	118	114	1.660000e+01	120	261	128
1.670000e+01	122	119	113	1.680000e+01	125	292	134
1.690000e+01	122	119	113	17	121	270	136
1.710000e+01	125	119	114	1.720000e+01	126	283	136
1.730000e+01	121	117	113	1.740000e+01	126	264	133
1.750000e+01	124	118	114	1.760000e+01	124	286	132
1.770000e+01	121	116	113	1.780000e+01	120	280	131
1.790000e+01	123	121	113	18	121	285	140
1.810000e+01	120	118	113	1.820000e+01	118	260	137
1.830000e+01	122	113	113	1.840000e+01	118	113	123
1.850000e+01	119	113	114	1.860000e+01	120	113	121
1.870000e+01	127	113	115	1.880000e+01	125	113	120
1.890000e+01	126	113	113	19	126	113	116
1.910000e+01	122	113	113	1.920000e+01	119	113	116
1.930000e+01	121	113	113	1.940000e+01	124	113	121
1.950000e+01	123	113	113	1.960000e+01	121	113	118
1.970000e+01	118	113	116	1.980000e+01	123	113	116
1.990000e+01	123	113	113	20	127	113	120
