coordinates:	41.6,58.2	41.6,58.2	41.6,58.2
timeat157nm	I_1at157nm	I_2at157nm	I_3at157nm	timeat967nm	I_1at967nm	I_2at967nm	I_3at967nm
1.000000e-01	121	119	114	2.000000e-01	123	234	142
3.000000e-01	172	125	150	4.000000e-01	127	188	171
5.000000e-01	158	129	138	6.000000e-01	122	149	204
7.000000e-01	152	117	154	8.000000e-01	122	128	209
9.000000e-01	150	119	162	1	122	124	205
1.100000e+00	164	123	166	1.200000e+00	121	127	186
1.300000e+00	148	116	165	1.400000e+00	123	121	198
1.500000e+00	148	121	159	1.600000e+00	125	127	191
1.700000e+00	159	116	168	1.800000e+00	122	127	205
1.900000e+00	152	123	166	2	124	163	148
2.100000e+00	144	122	151	2.200000e+00	125	124	208
2.300000e+00	123	113	114	2.400000e+00	124	119	204
2.500000e+00	121	113	114	2.600000e+00	121	150	147
2.700000e+00	123	113	115	2.800000e+00	125	126	197
2.900000e+00	121	113	115	3	122	122	200
3.100000e+00	127	115	116	3.200000e+00	122	121	193
3.300000e+00	126	115	116	3.400000e+00	128	128	198
3.500000e+00	118	113	117	3.600000e+00	123	128	200
3.700000e+00	124	113	117	3.800000e+00	121	123	193
3.900000e+00	125	113	116	4	122	124	183
4.100000e+00	126	114	114	4.200000e+00	122	123	199
4.300000e+00	119	114	114	4.400000e+00	119	127	225
4.500000e+00	124	114	114	4.600000e+00	123	113	118
4.700000e+00	125	115	114	4.800000e+00	124	138	126
4.900000e+00	126	113	114	5	127	118	219
5.100000e+00	127	115	115	5.200000e+00	117	261	147
5.300000e+00	122	116	114	5.400000e+00	122	271	135
5.500000e+00	125	121	115	5.600000e+00	120	289	144
5.700000e+00	133	116	113	5.800000e+00	124	247	140
5.900000e+00	124	120	115	6	125	266	141
6.100000e+00	120	114	114	6.200000e+00	121	189	128
6.300000e+00	125	116	113	6.400000e+00	120	273	132
6.500000e+00	125	115	113	6.600000e+00	122	280	134
6.700000e+00	120	115	114	6.800000e+00	129	285	143
6.900000e+00	120	115	113	7	118	292	125
7.100000e+00	127	114	114	7.200000e+00	121	271	132
7.300000e+00	127	117	115	7.400000e+00	123	253	139
7.500000e+00	120	119	114	7.600000e+00	123	263	140
7.700000e+00	120	114	113	7.800000e+00	122	234	130
7.900000e+00	120	116	114	8	122	266	141
8.100000e+00	121	118	116	8.200000e+00	124	269	132
8.300000e+00	126	115	113	8.400000e+00	123	272	134
8.500000e+00	117	116	114	8.600000e+00	119	263	145
8.700000e+00	130	120	114	8.800000e+00	125	294	139
8.900000e+00	125	120	113	9	129	283	139
9.100000e+00	120	118	114	9.200000e+00	118	276	133
9.300000e+00	119	117	113	9.400000e+00	118	283	129
9.500000e+00	121	116	114	9.600000e+00	123	268	138
9.700000e+00	117	119	113	9.800000e+00	121	276	140
9.900000e+00	124	121	113	10	123	280	135
1.010000e+01	118	115	114	1.020000e+01	123	218	130
1.030000e+01	120	115	113	1.040000e+01	119	289	129
1.050000e+01	118	117	113	1.060000e+01	122	279	131
1.070000e+01	123	113	113	1.080000e+01	126	282	138
1.090000e+01	122	118	114	11	121	265	131
1.110000e+01	126	119	113	1.120000e+01	121	266	133
1.130000e+01	119	113	114	1.140000e+01	121	214	127
1.150000e+01	122	115	113	1.160000e+01	121	284	131
1.170000e+01	120	113	113	1.180000e+01	122	186	126
1.190000e+01	125	118	113	12	132	288	129
1.210000e+01	122	118	113	1.220000e+01	125	282	135
1.230000e+01	123	118	113	1.240000e+01	121	270	127
1.250000e+01	126	121	113	1.260000e+01	122	291	138
1.270000e+01	123	117	114	1.280000e+01	122	285	138
1.290000e+01	122	117	113	13	120	274	143
1.310000e+01	125	116	113	1.320000e+01	127	262	138
1.330000e+01	119	120	113	1.340000e+01	126	270	143
1.350000e+01	127	120	113	1.360000e+01	126	269	131
1.370000e+01	123	117	114	1.380000e+01	121	274	129
1.390000e+01	119	119	114	14	126	285	140
1.410000e+01	121	116	117	1.420000e+01	122	302	141
1.430000e+01	127	119	114	1.440000e+01	121	250	134
1.450000e+01	122	113	113	1.460000e+01	126	113	122
1.470000e+01	123	113	115	1.480000e+01	117	113	118
1.490000e+01	120	113	113	15	120	113	124
1.510000e+01	123	114	113	1.520000e+01	120	113	124
1.530000e+01	122	113	114	1.540000e+01	121	113	118
1.550000e+01	123	113	115	1.560000e+01	126	113	127
1.570000e+01	125	113	113	1.580000e+01	123	113	120
1.590000e+01	121	113	113	16	124	113	119
1.610000e+01	128	113	114	1.620000e+01	121	113	116
1.630000e+01	121	113	113	1.640000e+01	117	113	127
1.650000e+01	121	113	114	1.660000e+01	119	113	124
1.670000e+01	124	113	113	1.680000e+01	120	113	121
1.690000e+01	123	113	113	17	124	113	120
1.710000e+01	123	113	113	1.720000e+01	122	113	118
1.730000e+01	125	113	113	1.740000e+01	121	113	119
1.750000e+01	125	113	113	1.760000e+01	125	113	117
1.770000e+01	125	113	113	1.780000e+01	119	113	121
1.790000e+01	122	113	114	18	122	113	119
1.810000e+01	119	114	113	1.820000e+01	120	113	122
1.830000e+01	126	113	114	1.840000e+01	123	113	119
1.850000e+01	124	113	113	1.860000e+01	124	113	121
1.870000e+01	120	113	113	1.880000e+01	117	113	118
1.890000e+01	119	113	114	19	120	113	119
1.910000e+01	124	113	113	1.920000e+01	117	113	121
1.930000e+01	122	113	113	1.940000e+01	131	113	120
1.950000e+01	130	114	113	1.960000e+01	125	113	118
1.970000e+01	129	113	113	1.980000e+01	122	113	119
1.990000e+01	125	113	113	20	121	113	119
