6338	1106	4696	1699	6230	1453	5419	990	5836	1547	6160	1482	6948	1309	8430	1139	6071	1013	6321	1178	7188	1328	7622	1606	6805	1125	10312	1273	9425	1114	11060	1339	3543	1018	6065	1098	21656	1322	12398	1202	2716	1489	2610	1655	2699	1454	7691	1592	2089	1598	2301	1943	3007	1471	2550	1584	2780	2908	2294	1301	5873	1605	5271	1366	2780	1589	2789	1298	1794	1348	3039	2730	3288	1665	2562	1693	2127	2099	2097	3593	
5288	1167	4930	1393	5699	1236	4886	1192	7347	1766	7067	1192	7793	1083	7383	1230	8934	1179	7330	1170	6927	1178	7390	1424	6890	1146	13161	1418	8755	1249	10437	1271	4287	1019	5554	1017	27170	1424	10708	1024	2430	1174	2523	1718	2563	1531	6776	1415	2660	1474	2293	1730	2836	1474	2370	1443	2298	2388	2507	1497	6626	1437	5684	1674	2777	1516	3057	1466	2386	1529	2265	2804	2416	1628	3095	1887	2539	1949	2065	2448	
5609	1103	5100	1567	6850	1306	4922	1152	6304	1637	5678	1268	7567	1051	7840	1265	7007	1107	5946	1001	7313	1200	7199	1426	6728	1396	12000	1531	8233	1345	9829	1107	4580	976	5537	1054	30201	1297	11226	1133	2996	1499	2830	1833	2951	1451	6376	1470	2076	1767	2239	1428	2673	1519	2344	1545	2401	2089	2622	1296	5399	1221	5419	1396	3193	1424	2238	1334	2179	1407	2675	2572	2854	1625	2956	1527	2668	1981	2359	2940	
6427	1078	4289	1477	5879	1225	5753	1129	6176	2054	6285	1361	8620	1037	8269	1184	8332	1059	7649	1141	7875	1112	5918	1294	6602	1202	9976	1300	8690	1171	9079	1235	3719	1137	5200	1135	23519	1380	13282	1135	2618	1709	2603	1544	3077	1178	7682	1455	2359	1378	2018	1593	2596	1615	2242	1600	2713	2285	2235	1339	5963	1377	4735	1455	2348	1328	2470	1495	2395	1539	2753	2794	2924	1598	2726	1489	2723	2178	2298	2673	
6070	1355	4457	1423	6342	1349	5804	1097	6307	1875	7259	1219	7510	1191	7097	1377	8964	1044	6756	1179	7563	1292	6118	1535	6263	1343	10063	1250	9249	1513	10863	1196	3741	927	4831	1088	29180	1316	12427	1124	2507	1305	2590	1741	2908	1377	6218	1465	2624	1564	2206	1493	2661	1371	2339	1341	2690	2053	2550	1504	6571	1373	5834	1420	2596	1421	3174	1280	2245	1325	2805	2920	3021	1640	2394	1666	2577	1788	2464	3057	
5565	1088	5194	1442	5341	1313	4717	1088	8130	1642	6129	1210	7154	1096	8011	1351	7407	1048	6469	1087	8465	1276	6617	1432	7497	1181	10409	1589	8385	1297	11455	1074	3545	1025	6279	1066	32966	1571	11261	1212	2489	1511	2530	1772	2722	1483	6226	1586	2620	1360	2576	1650	2755	1346	2385	1506	2134	2528	2544	1402	5995	1305	4163	1422	2539	1453	2831	1521	2394	1535	2445	2242	2763	1635	2695	1650	2504	2207	2292	2864	
6595	1034	5139	1302	6465	1261	5378	1193	6351	1503	6067	1310	7005	1118	8058	1117	7024	1050	5899	1298	6918	1165	7761	1515	6974	1079	9856	1428	9789	1380	10129	1111	4207	1084	5612	1027	28195	1465	13427	1072	2968	1270	2585	1705	2946	1540	6214	1518	2593	1331	2185	1839	2819	1497	2077	1451	2637	2891	2490	1380	5056	1449	5300	1759	2793	1453	2601	1425	2296	1435	2378	2646	3056	1720	2722	1752	2582	2017	2118	3756	
5514	1013	5257	1524	6903	1436	6136	1097	6349	2014	6699	1355	6966	1138	7678	1193	7515	1017	6894	1105	7828	1391	5848	1358	7425	1263	11153	1398	8161	1343	10332	1172	4045	1065	4082	1074	28911	1394	12492	1070	3014	1739	2552	1687	3201	1440	5216	1328	2152	1370	4005	1703	3143	1260	2711	1762	2458	2389	2497	1559	6199	1428	5289	1343	2738	1435	2846	1450	2177	1638	2897	2865	2692	1935	2954	1583	2625	1730	2326	3614	
4963	1300	4543	1287	6661	1421	4767	1072	7008	1951	5389	1389	7224	1116	7453	1173	8152	977	6997	1129	7297	1246	7138	1542	6507	1198	11830	1495	9777	1270	13336	1057	4165	1166	4555	1112	18973	1535	11784	1049	2977	1352	2297	1741	3094	1422	7523	1393	2574	1346	2370	1461	2623	1443	2586	1756	2546	2412	1964	1415	5403	1698	6185	1266	2708	1831	2430	1374	2733	1474	3095	2770	3038	1961	2785	1243	2614	1782	2349	2984	
6074	1189	4451	1385	6033	1263	6107	1080	7043	1783	6388	1351	8499	1214	8517	1347	7281	1033	7320	1168	7951	1299	6017	1212	8210	1385	10710	1508	8841	1295	10514	1086	3928	1016	4759	1060	28197	1423	12799	1124	2660	1432	2408	1974	2819	1413	6116	1537	2576	1444	2402	1504	3249	1278	2681	1889	2291	2700	2574	1306	5974	1626	5998	1497	2943	1599	3051	1662	2522	1536	2679	2921	3254	1882	2865	1261	2667	2137	2325	2990	
