time at 532nm	frame at 532nm	I_1 at 532nm(counts)	discr.I_1 at 532nm(counts)	I_2 at 532nm(counts)	discr.I_2 at 532nm(counts)	I_3 at 532nm(counts)	discr.I_3 at 532nm(counts)	time at 638nm	frame at 638nm	I_1 at 638nm(counts)	discr.I_1 at 638nm(counts)	I_2 at 638nm(counts)	discr.I_2 at 638nm(counts)	I_3 at 638nm(counts)	discr.I_3 at 638nm(counts)	time at 532nm	frame at 532nm	FRET_1>2	discr.FRET_1>2	time at 532nm	frame at 532nm	S_1>2	discr.S_1>2	
1.017500e-01	1	8.139390e+03	9.003857e+03	-1.073519e+02	-2.025532e+01	1.271222e+02	4.230765e+01	2.035000e-01	2	-1.644470e+02	-6.499750e-01	4.208032e+03	4.479804e+03	2.812446e+02	2.928221e+02	1.017500e-01	1	-1.336546e-02	-2.507277e-03	1.017500e-01	1	6.562085e-01	6.535996e-01	
3.052500e-01	3	7.743390e+03	9.003857e+03	-1.785519e+02	-2.025532e+01	1.371222e+02	4.230765e+01	4.070000e-01	4	-1.654470e+02	-6.499750e-01	4.154032e+03	4.479804e+03	3.324461e+01	2.928221e+02	3.052500e-01	3	-2.360287e-02	-2.507277e-03	3.052500e-01	3	6.455262e-01	6.535996e-01	
5.087500e-01	5	7.996390e+03	9.003857e+03	5.613813e+01	-2.025532e+01	-1.887785e+01	4.230765e+01	6.105000e-01	6	-1.464470e+02	-6.499750e-01	5.084032e+03	4.479804e+03	1.662446e+02	2.928221e+02	5.087500e-01	5	6.971491e-03	-2.507277e-03	5.087500e-01	5	6.129861e-01	6.535996e-01	
7.122500e-01	7	1.097139e+04	9.003857e+03	-4.036119e+02	-2.025532e+01	6.412215e+01	4.230765e+01	8.140000e-01	8	2.505530e+02	-6.499750e-01	4.609032e+03	4.479804e+03	1.112446e+02	2.928221e+02	7.122500e-01	7	-3.819269e-02	-2.507277e-03	7.122500e-01	7	6.963109e-01	6.535996e-01	
9.157500e-01	9	1.007539e+04	9.003857e+03	-2.997719e+02	-2.025532e+01	-1.938778e+02	4.230765e+01	1.017500e+00	10	-9.944697e+01	-6.499750e-01	5.253032e+03	4.479804e+03	3.532446e+02	2.928221e+02	9.157500e-01	9	-3.066526e-02	-2.507277e-03	9.157500e-01	9	6.504655e-01	6.535996e-01	
1.119250e+00	11	7.989390e+03	9.003857e+03	-3.020919e+02	-2.025532e+01	1.912215e+01	4.230765e+01	1.221000e+00	12	-1.414470e+02	-6.499750e-01	4.770032e+03	4.479804e+03	2.232446e+02	2.928221e+02	1.119250e+00	11	-3.929753e-02	-2.507277e-03	1.119250e+00	11	6.170904e-01	6.535996e-01	
1.322750e+00	13	9.174390e+03	9.003857e+03	1.234781e+02	-2.025532e+01	1.161222e+02	4.230765e+01	1.424500e+00	14	2.355303e+01	-6.499750e-01	4.244032e+03	4.479804e+03	2.702446e+02	2.928221e+02	1.322750e+00	13	1.328026e-02	-2.507277e-03	1.322750e+00	13	6.866000e-01	6.535996e-01	
1.526250e+00	15	9.943390e+03	9.003857e+03	5.888133e+00	-2.025532e+01	6.512215e+01	4.230765e+01	1.628000e+00	16	1.075530e+02	-6.499750e-01	4.982032e+03	4.479804e+03	1.182446e+02	2.928221e+02	1.526250e+00	15	5.918151e-04	-2.507277e-03	1.526250e+00	15	6.663366e-01	6.535996e-01	
1.729750e+00	17	8.713390e+03	9.003857e+03	-2.051187e+01	-2.025532e+01	-1.168778e+02	4.230765e+01	1.831500e+00	18	-1.614470e+02	-6.499750e-01	4.657032e+03	4.479804e+03	4.272446e+02	2.928221e+02	1.729750e+00	17	-2.359617e-03	-2.507277e-03	1.729750e+00	17	6.511563e-01	6.535996e-01	
1.933250e+00	19	9.034390e+03	9.003857e+03	9.535813e+01	-2.025532e+01	1.481222e+02	4.230765e+01	2.035000e+00	20	-9.244697e+01	-6.499750e-01	4.140032e+03	4.479804e+03	1.802446e+02	2.928221e+02	1.933250e+00	19	1.044477e-02	-2.507277e-03	1.933250e+00	19	6.880105e-01	6.535996e-01	
