timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	5419	970	1.518234e-01	1.518234e-01	8.474599e-01	8.561110e-01
2.000000e-01	2	1147	1150	NaN	NaN	NaN	NaN
3.000000e-01	3	4886	1172	1.934632e-01	1.934632e-01	8.564965e-01	8.561110e-01
4.000000e-01	4	1013	1015	NaN	NaN	NaN	NaN
5.000000e-01	5	4922	1132	1.869838e-01	1.869838e-01	8.432929e-01	8.561110e-01
6.000000e-01	6	1151	1125	NaN	NaN	NaN	NaN
7.000000e-01	7	5753	1109	1.616147e-01	1.616147e-01	8.591461e-01	8.561110e-01
8.000000e-01	8	1389	1125	NaN	NaN	NaN	NaN
9.000000e-01	9	5804	1077	1.565179e-01	1.565179e-01	8.635793e-01	8.561110e-01
1	10	1195	1087	NaN	NaN	NaN	NaN
1.100000e+00	11	4717	1068	1.846154e-01	1.846154e-01	8.458839e-01	8.561110e-01
1.200000e+00	12	1164	1054	NaN	NaN	NaN	NaN
1.300000e+00	13	5378	1173	1.790566e-01	1.790566e-01	8.709120e-01	8.561110e-01
1.400000e+00	14	1105	971	NaN	NaN	NaN	NaN
1.500000e+00	15	6136	1077	1.493137e-01	1.493137e-01	8.654908e-01	8.561110e-01
1.600000e+00	16	1137	1121	NaN	NaN	NaN	NaN
1.700000e+00	17	4767	1052	1.807871e-01	1.807871e-01	8.507310e-01	8.561110e-01
1.800000e+00	18	1158	1021	NaN	NaN	NaN	NaN
1.900000e+00	19	6107	1060	1.479001e-01	1.479001e-01	8.581178e-01	8.561110e-01
2	20	1199	1185	NaN	NaN	NaN	NaN
