timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	6948	1289	1.564890e-01	1.564890e-01	8.958129e-01	8.930636e-01
2.000000e-01	2	1122	958	NaN	NaN	NaN	NaN
3.000000e-01	3	7793	1063	1.200316e-01	1.200316e-01	9.039502e-01	8.930636e-01
4.000000e-01	4	1057	941	NaN	NaN	NaN	NaN
5.000000e-01	5	7567	1031	1.199116e-01	1.199116e-01	8.974948e-01	8.930636e-01
6.000000e-01	6	1233	982	NaN	NaN	NaN	NaN
7.000000e-01	7	8620	1017	1.055308e-01	1.055308e-01	9.002335e-01	8.930636e-01
8.000000e-01	8	1170	1068	NaN	NaN	NaN	NaN
9.000000e-01	9	7510	1171	1.348923e-01	1.348923e-01	8.820362e-01	8.930636e-01
1	10	1238	1161	NaN	NaN	NaN	NaN
1.100000e+00	11	7154	1076	1.307412e-01	1.307412e-01	8.967095e-01	8.930636e-01
1.200000e+00	12	1062	948	NaN	NaN	NaN	NaN
1.300000e+00	13	7005	1098	1.355054e-01	1.355054e-01	8.778982e-01	8.930636e-01
1.400000e+00	14	1284	1127	NaN	NaN	NaN	NaN
1.500000e+00	15	6966	1118	1.382979e-01	1.382979e-01	8.903084e-01	8.930636e-01
1.600000e+00	16	1238	996	NaN	NaN	NaN	NaN
1.700000e+00	17	7224	1096	1.317308e-01	1.317308e-01	8.872774e-01	8.930636e-01
1.800000e+00	18	1238	1057	NaN	NaN	NaN	NaN
1.900000e+00	19	8499	1194	1.231817e-01	1.231817e-01	8.989150e-01	8.930636e-01
2	20	1050	1090	NaN	NaN	NaN	NaN
