timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	6160	1462	1.918132e-01	1.918132e-01	7.764083e-01	7.764157e-01
2.000000e-01	2	1193	2195	NaN	NaN	NaN	NaN
3.000000e-01	3	7067	1172	1.422503e-01	1.422503e-01	8.084584e-01	7.764157e-01
4.000000e-01	4	1025	1952	NaN	NaN	NaN	NaN
5.000000e-01	5	5678	1248	1.801906e-01	1.801906e-01	7.675089e-01	7.764157e-01
6.000000e-01	6	1068	2098	NaN	NaN	NaN	NaN
7.000000e-01	7	6285	1341	1.758458e-01	1.758458e-01	7.831981e-01	7.764157e-01
8.000000e-01	8	1056	2111	NaN	NaN	NaN	NaN
9.000000e-01	9	7259	1199	1.417593e-01	1.417593e-01	7.861325e-01	7.764157e-01
1	10	1250	2301	NaN	NaN	NaN	NaN
1.100000e+00	11	6129	1190	1.625905e-01	1.625905e-01	7.637483e-01	7.764157e-01
1.200000e+00	12	1061	2264	NaN	NaN	NaN	NaN
1.300000e+00	13	6067	1290	1.753432e-01	1.753432e-01	7.815787e-01	7.764157e-01
1.400000e+00	14	1089	2056	NaN	NaN	NaN	NaN
1.500000e+00	15	6699	1335	1.661688e-01	1.661688e-01	7.982116e-01	7.764157e-01
1.600000e+00	16	1190	2031	NaN	NaN	NaN	NaN
1.700000e+00	17	5389	1369	2.025747e-01	2.025747e-01	7.361656e-01	7.764157e-01
1.800000e+00	18	1208	2422	NaN	NaN	NaN	NaN
1.900000e+00	19	6388	1331	1.724317e-01	1.724317e-01	7.627470e-01	7.764157e-01
2	20	1331	2401	NaN	NaN	NaN	NaN
