timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	8430	1119	1.171850e-01	1.171850e-01	8.787962e-01	8.483551e-01
2.000000e-01	2	1098	1317	NaN	NaN	NaN	NaN
3.000000e-01	3	7383	1210	1.408123e-01	1.408123e-01	8.298407e-01	8.483551e-01
4.000000e-01	4	1107	1762	NaN	NaN	NaN	NaN
5.000000e-01	5	7840	1245	1.370391e-01	1.370391e-01	8.484311e-01	8.483551e-01
6.000000e-01	6	1176	1623	NaN	NaN	NaN	NaN
7.000000e-01	7	8269	1164	1.233966e-01	1.233966e-01	8.425330e-01	8.483551e-01
8.000000e-01	8	1295	1763	NaN	NaN	NaN	NaN
9.000000e-01	9	7097	1357	1.605157e-01	1.605157e-01	8.459922e-01	8.483551e-01
1	10	1067	1539	NaN	NaN	NaN	NaN
1.100000e+00	11	8011	1331	1.424748e-01	1.424748e-01	8.467325e-01	8.483551e-01
1.200000e+00	12	1142	1691	NaN	NaN	NaN	NaN
1.300000e+00	13	8058	1097	1.198252e-01	1.198252e-01	8.548884e-01	8.483551e-01
1.400000e+00	14	1155	1554	NaN	NaN	NaN	NaN
1.500000e+00	15	7678	1173	1.325274e-01	1.325274e-01	8.445611e-01	8.483551e-01
1.600000e+00	16	1117	1629	NaN	NaN	NaN	NaN
1.700000e+00	17	7453	1153	1.339763e-01	1.339763e-01	8.494719e-01	8.483551e-01
1.800000e+00	18	950	1525	NaN	NaN	NaN	NaN
1.900000e+00	19	8517	1327	1.348029e-01	1.348029e-01	8.423034e-01	8.483551e-01
2	20	1086	1843	NaN	NaN	NaN	NaN
