timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	3625	1.466250e+03	1105	2.879941e-01	2.879941e-01	2.336152e-01	2.336152e-01
2.000000e-01	2	1072	2.516960e+03	1230	7.013062e-01	7.013062e-01	5.343180e-01	5.343180e-01
3.000000e-01	3	4106	1.245580e+03	1060	2.327500e-01	2.327500e-01	2.051878e-01	2.051878e-01
4.000000e-01	4	1085	2.291050e+03	1465	6.786185e-01	6.786185e-01	5.745098e-01	5.745098e-01
5.000000e-01	5	3495	1.204350e+03	1005	2.562801e-01	2.562801e-01	2.233333e-01	2.233333e-01
6.000000e-01	6	1230	2.662900e+03	1181	6.840402e-01	6.840402e-01	4.898382e-01	4.898382e-01
7.000000e-01	7	3666	1.188380e+03	1081	2.448057e-01	2.448057e-01	2.277228e-01	2.277228e-01
8.000000e-01	8	1354	2.230220e+03	1290	6.222330e-01	6.222330e-01	4.878971e-01	4.878971e-01
9.000000e-01	9	3934	1.094620e+03	1164	2.176780e-01	2.176780e-01	2.283248e-01	2.283248e-01
1	10	1262	2.524660e+03	1297	6.667248e-01	6.667248e-01	5.068386e-01	5.068386e-01
1.100000e+00	11	3423	1.276390e+03	1166	2.716076e-01	2.716076e-01	2.540859e-01	2.540859e-01
1.200000e+00	12	1230	2.333900e+03	1528	6.548725e-01	6.548725e-01	5.540247e-01	5.540247e-01
1.300000e+00	13	4302	1.172860e+03	1075	2.142265e-01	2.142265e-01	1.999256e-01	1.999256e-01
1.400000e+00	14	1208	2.023440e+03	1309	6.261729e-01	6.261729e-01	5.200636e-01	5.200636e-01
1.500000e+00	15	3284	1.229120e+03	1036	2.723437e-01	2.723437e-01	2.398148e-01	2.398148e-01
1.600000e+00	16	1132	2.352760e+03	1249	6.751570e-01	6.751570e-01	5.245695e-01	5.245695e-01
1.700000e+00	17	4036	1.101480e+03	1232	2.144008e-01	2.144008e-01	2.338648e-01	2.338648e-01
1.800000e+00	18	1091	2.340630e+03	1184	6.820753e-01	6.820753e-01	5.204396e-01	5.204396e-01
1.900000e+00	19	4019	1.299670e+03	1075	2.443600e-01	2.443600e-01	2.110326e-01	2.110326e-01
2	20	1298	2.527140e+03	1429	6.606660e-01	6.606660e-01	5.240191e-01	5.240191e-01
