timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2553	1.514290e+03	1021	3.723093e-01	3.723093e-01	2.856743e-01	2.856743e-01
2.000000e-01	2	1289	4.963770e+03	1317	7.938514e-01	7.938514e-01	5.053722e-01	5.053722e-01
3.000000e-01	3	2539	1.709270e+03	1106	4.023450e-01	4.023450e-01	3.034294e-01	3.034294e-01
4.000000e-01	4	1086	4.341980e+03	1190	7.999256e-01	7.999256e-01	5.228471e-01	5.228471e-01
5.000000e-01	5	2411	1.358230e+03	994	3.603468e-01	3.603468e-01	2.919236e-01	2.919236e-01
6.000000e-01	6	1209	4.136370e+03	1167	7.738230e-01	7.738230e-01	4.911616e-01	4.911616e-01
7.000000e-01	7	2246	1.331780e+03	1034	3.722364e-01	3.722364e-01	3.152439e-01	3.152439e-01
8.000000e-01	8	1325	4.612250e+03	1179	7.768327e-01	7.768327e-01	4.708466e-01	4.708466e-01
9.000000e-01	9	2414	1.497020e+03	900	3.827697e-01	3.827697e-01	2.715751e-01	2.715751e-01
1	10	1168	4.962240e+03	1073	8.094691e-01	8.094691e-01	4.788041e-01	4.788041e-01
1.100000e+00	11	2359	1.484870e+03	1090	3.862956e-01	3.862956e-01	3.160336e-01	3.160336e-01
1.200000e+00	12	1176	4.359680e+03	1262	7.875600e-01	7.875600e-01	5.176374e-01	5.176374e-01
1.300000e+00	13	2622	1.568460e+03	1073	3.742930e-01	3.742930e-01	2.903924e-01	2.903924e-01
1.400000e+00	14	1355	5.374150e+03	1187	7.986373e-01	7.986373e-01	4.669552e-01	4.669552e-01
1.500000e+00	15	3003	1.372790e+03	1372	3.137239e-01	3.137239e-01	3.136000e-01	3.136000e-01
1.600000e+00	16	1140	5.337200e+03	1189	8.239980e-01	8.239980e-01	5.105195e-01	5.105195e-01
1.700000e+00	17	2589	1.061770e+03	1032	2.908345e-01	2.908345e-01	2.850041e-01	2.850041e-01
1.800000e+00	18	1222	5.049460e+03	1043	8.051490e-01	8.051490e-01	4.604857e-01	4.604857e-01
1.900000e+00	19	2739	1.069270e+03	1073	2.807758e-01	2.807758e-01	2.814795e-01	2.814795e-01
2	20	1122	4.266460e+03	1194	7.917772e-01	7.917772e-01	5.155440e-01	5.155440e-01
