timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	7108	1.195440e+03	1074	1.439692e-01	1.439692e-01	1.312637e-01	1.312637e-01
2.000000e-01	2	1079	1.759470e+03	1171	6.198656e-01	6.198656e-01	5.204444e-01	5.204444e-01
3.000000e-01	3	7606	1.222580e+03	1110	1.384798e-01	1.384798e-01	1.273520e-01	1.273520e-01
4.000000e-01	4	1124	1.771320e+03	1144	6.117873e-01	6.117873e-01	5.044092e-01	5.044092e-01
5.000000e-01	5	7069	9.691700e+02	1136	1.205710e-01	1.205710e-01	1.384522e-01	1.384522e-01
6.000000e-01	6	1259	1.845870e+03	1142	5.945080e-01	5.945080e-01	4.756352e-01	4.756352e-01
7.000000e-01	7	7318	8.777400e+02	1262	1.070971e-01	1.070971e-01	1.470862e-01	1.470862e-01
8.000000e-01	8	1222	1.741460e+03	1061	5.876442e-01	5.876442e-01	4.647394e-01	4.647394e-01
9.000000e-01	9	6566	1.131380e+03	1176	1.469825e-01	1.469825e-01	1.518987e-01	1.518987e-01
1	10	1173	1.744890e+03	1369	5.979972e-01	5.979972e-01	5.385523e-01	5.385523e-01
1.100000e+00	11	8301	8.549300e+02	1091	9.337446e-02	9.337446e-02	1.161627e-01	1.161627e-01
1.200000e+00	12	1240	1.500200e+03	1221	5.474783e-01	5.474783e-01	4.961398e-01	4.961398e-01
1.300000e+00	13	7013	8.610900e+02	1061	1.093574e-01	1.093574e-01	1.314095e-01	1.314095e-01
1.400000e+00	14	1301	1.890930e+03	1069	5.924096e-01	5.924096e-01	4.510549e-01	4.510549e-01
1.500000e+00	15	7687	1.025910e+03	1200	1.177460e-01	1.177460e-01	1.350287e-01	1.350287e-01
1.600000e+00	16	1314	1.687020e+03	1107	5.621489e-01	5.621489e-01	4.572491e-01	4.572491e-01
1.700000e+00	17	6890	1.159700e+03	1156	1.440675e-01	1.440675e-01	1.436739e-01	1.436739e-01
1.800000e+00	18	1247	1.585710e+03	1012	5.597855e-01	5.597855e-01	4.479858e-01	4.479858e-01
1.900000e+00	19	7729	1.013970e+03	1040	1.159755e-01	1.159755e-01	1.185996e-01	1.185996e-01
2	20	1110	1.805300e+03	1071	6.192502e-01	6.192502e-01	4.910591e-01	4.910591e-01
