timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2328	1.203040e+03	1139	3.407042e-01	3.407042e-01	3.285261e-01	3.285261e-01
2.000000e-01	2	1098	4.659140e+03	1154	8.092803e-01	8.092803e-01	5.124334e-01	5.124334e-01
3.000000e-01	3	3085	1.458050e+03	1088	3.209408e-01	3.209408e-01	2.607237e-01	2.607237e-01
4.000000e-01	4	1191	4.246630e+03	1417	7.809708e-01	7.809708e-01	5.433282e-01	5.433282e-01
5.000000e-01	5	2498	1.221140e+03	1062	3.283393e-01	3.283393e-01	2.983146e-01	2.983146e-01
6.000000e-01	6	1167	3.985310e+03	1130	7.734997e-01	7.734997e-01	4.919460e-01	4.919460e-01
7.000000e-01	7	2711	1.265230e+03	1072	3.181984e-01	3.181984e-01	2.833730e-01	2.833730e-01
8.000000e-01	8	1147	4.194710e+03	1292	7.852748e-01	7.852748e-01	5.297253e-01	5.297253e-01
9.000000e-01	9	2655	1.234150e+03	1052	3.173316e-01	3.173316e-01	2.837874e-01	2.837874e-01
1	10	1159	4.186870e+03	1172	7.831971e-01	7.831971e-01	5.027885e-01	5.027885e-01
1.100000e+00	11	2372	1.255960e+03	936	3.461890e-01	3.461890e-01	2.829504e-01	2.829504e-01
1.200000e+00	12	1058	5.086940e+03	1167	8.278258e-01	8.278258e-01	5.244944e-01	5.244944e-01
1.300000e+00	13	2544	1.580920e+03	897	3.832608e-01	3.832608e-01	2.606800e-01	2.606800e-01
1.400000e+00	14	1155	4.909150e+03	1285	8.095364e-01	8.095364e-01	5.266393e-01	5.266393e-01
1.500000e+00	15	2314	1.181020e+03	987	3.379151e-01	3.379151e-01	2.990003e-01	2.990003e-01
1.600000e+00	16	1282	4.852260e+03	1179	7.910098e-01	7.910098e-01	4.790735e-01	4.790735e-01
1.700000e+00	17	2439	1.095270e+03	1010	3.098999e-01	3.098999e-01	2.928385e-01	2.928385e-01
1.800000e+00	18	1246	4.457780e+03	1341	7.815484e-01	7.815484e-01	5.183610e-01	5.183610e-01
1.900000e+00	19	2881	1.295330e+03	1104	3.101599e-01	3.101599e-01	2.770389e-01	2.770389e-01
2	20	1192	4.227560e+03	1102	7.800559e-01	7.800559e-01	4.803836e-01	4.803836e-01
