timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2221	1.142530e+03	1121	3.396818e-01	3.396818e-01	3.354279e-01	3.354279e-01
2.000000e-01	2	1096	5.827280e+03	1279	8.416935e-01	8.416935e-01	5.385263e-01	5.385263e-01
3.000000e-01	3	2078	1.320540e+03	963	3.885610e-01	3.885610e-01	3.166721e-01	3.166721e-01
4.000000e-01	4	1219	5.474670e+03	1398	8.178876e-01	8.178876e-01	5.341995e-01	5.341995e-01
5.000000e-01	5	2104	1.186720e+03	948	3.606262e-01	3.606262e-01	3.106160e-01	3.106160e-01
6.000000e-01	6	1287	5.867910e+03	1278	8.201235e-01	8.201235e-01	4.982456e-01	4.982456e-01
7.000000e-01	7	2080	1.349400e+03	1029	3.934799e-01	3.934799e-01	3.309746e-01	3.309746e-01
8.000000e-01	8	1155	6.237150e+03	1177	8.437532e-01	8.437532e-01	5.047170e-01	5.047170e-01
9.000000e-01	9	2302	1.118860e+03	1002	3.270698e-01	3.270698e-01	3.032688e-01	3.032688e-01
1	10	1164	5.639520e+03	1167	8.289121e-01	8.289121e-01	5.006435e-01	5.006435e-01
1.100000e+00	11	4512	1.205160e+03	1072	2.107970e-01	2.107970e-01	1.919771e-01	1.919771e-01
1.200000e+00	12	1060	6.058800e+03	1170	8.510985e-01	8.510985e-01	5.246637e-01	5.246637e-01
1.300000e+00	13	2089	1.278770e+03	948	3.797082e-01	3.797082e-01	3.121501e-01	3.121501e-01
1.400000e+00	14	1333	4.910690e+03	1196	7.865045e-01	7.865045e-01	4.729142e-01	4.729142e-01
1.500000e+00	15	2102	1.302860e+03	1021	3.826472e-01	3.826472e-01	3.269292e-01	3.269292e-01
1.600000e+00	16	1125	5.327250e+03	1275	8.256422e-01	8.256422e-01	5.312500e-01	5.312500e-01
1.700000e+00	17	2442	1.203060e+03	1007	3.300522e-01	3.300522e-01	2.919687e-01	2.919687e-01
1.800000e+00	18	1384	5.149120e+03	1040	7.881563e-01	7.881563e-01	4.290429e-01	4.290429e-01
1.900000e+00	19	2290	1.501700e+03	1181	3.960493e-01	3.960493e-01	3.402478e-01	3.402478e-01
2	20	1085	5.131050e+03	1307	8.254519e-01	8.254519e-01	5.464047e-01	5.464047e-01
