timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	7188	2.385840e+03	1167	2.492041e-01	2.492041e-01	1.396768e-01	1.396768e-01
2.000000e-01	2	1028	5.059040e+03	1344	8.311166e-01	8.311166e-01	5.666105e-01	5.666105e-01
3.000000e-01	3	6927	2.533110e+03	1183	2.677675e-01	2.677675e-01	1.458693e-01	1.458693e-01
4.000000e-01	4	1132	4.207760e+03	1114	7.880055e-01	7.880055e-01	4.959929e-01	4.959929e-01
5.000000e-01	5	7313	2.262090e+03	1198	2.362474e-01	2.362474e-01	1.407590e-01	1.407590e-01
6.000000e-01	6	1232	4.997760e+03	1028	8.022396e-01	8.022396e-01	4.548673e-01	4.548673e-01
7.000000e-01	7	7875	2.059750e+03	1095	2.073278e-01	2.073278e-01	1.220736e-01	1.220736e-01
8.000000e-01	8	1115	3.581950e+03	1169	7.626119e-01	7.626119e-01	5.118214e-01	5.118214e-01
9.000000e-01	9	7563	2.323590e+03	1112	2.350244e-01	2.350244e-01	1.281844e-01	1.281844e-01
1	10	1219	3.961670e+03	1237	7.647022e-01	7.647022e-01	5.036645e-01	5.036645e-01
1.100000e+00	11	8465	2.557450e+03	1147	2.320219e-01	2.320219e-01	1.193300e-01	1.193300e-01
1.200000e+00	12	994	5.136420e+03	1206	8.378578e-01	8.378578e-01	5.481818e-01	5.481818e-01
1.300000e+00	13	6918	2.555740e+03	1212	2.697710e-01	2.697710e-01	1.490775e-01	1.490775e-01
1.400000e+00	14	1293	3.469490e+03	1151	7.285034e-01	7.285034e-01	4.709493e-01	4.709493e-01
1.500000e+00	15	7828	2.962040e+03	1240	2.745161e-01	2.745161e-01	1.367446e-01	1.367446e-01
1.600000e+00	16	1143	3.738990e+03	1032	7.658742e-01	7.658742e-01	4.744828e-01	4.744828e-01
1.700000e+00	17	7297	2.391210e+03	1060	2.468165e-01	2.468165e-01	1.268398e-01	1.268398e-01
1.800000e+00	18	1097	3.913210e+03	1139	7.810471e-01	7.810471e-01	5.093918e-01	5.093918e-01
1.900000e+00	19	7951	2.085430e+03	1210	2.077860e-01	2.077860e-01	1.320817e-01	1.320817e-01
2	20	1135	3.464550e+03	1172	7.532367e-01	7.532367e-01	5.080191e-01	5.080191e-01
