timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	4696	1.026280e+03	1059	1.793481e-01	1.793481e-01	1.840139e-01	1.840139e-01
2.000000e-01	2	1144	1.797920e+03	1035	6.111383e-01	6.111383e-01	4.749885e-01	4.749885e-01
3.000000e-01	3	4930	1.157900e+03	1155	1.901969e-01	1.901969e-01	1.898110e-01	1.898110e-01
4.000000e-01	4	1376	1.567680e+03	1096	5.325579e-01	5.325579e-01	4.433657e-01	4.433657e-01
5.000000e-01	5	5100	1061	1087	1.722123e-01	1.722123e-01	1.756910e-01	1.756910e-01
6.000000e-01	6	1171	1.590030e+03	1089	5.758829e-01	5.758829e-01	4.818584e-01	4.818584e-01
7.000000e-01	7	4289	1.108770e+03	1246	2.054126e-01	2.054126e-01	2.251129e-01	2.251129e-01
8.000000e-01	8	1156	2.044080e+03	1119	6.387590e-01	6.387590e-01	4.918681e-01	4.918681e-01
9.000000e-01	9	4457	9.970100e+02	1111	1.828031e-01	1.828031e-01	1.995330e-01	1.995330e-01
1	10	1169	1.914170e+03	1063	6.208448e-01	6.208448e-01	4.762545e-01	4.762545e-01
1.100000e+00	11	5194	1.151420e+03	1260	1.814569e-01	1.814569e-01	1.952278e-01	1.952278e-01
1.200000e+00	12	1048	1.723640e+03	1157	6.218845e-01	6.218845e-01	5.247166e-01	5.247166e-01
1.300000e+00	13	5139	1.084270e+03	1102	1.742283e-01	1.742283e-01	1.765743e-01	1.765743e-01
1.400000e+00	14	1272	1.570960e+03	1137	5.525790e-01	5.525790e-01	4.719801e-01	4.719801e-01
1.500000e+00	15	5257	1.054010e+03	1037	1.670113e-01	1.670113e-01	1.647601e-01	1.647601e-01
1.600000e+00	16	1159	1.748870e+03	1214	6.014265e-01	6.014265e-01	5.115887e-01	5.115887e-01
1.700000e+00	17	4543	1.109990e+03	1178	1.963545e-01	1.963545e-01	2.059081e-01	2.059081e-01
1.800000e+00	18	1270	1.889100e+03	1102	5.979868e-01	5.979868e-01	4.645868e-01	4.645868e-01
1.900000e+00	19	4451	1.087430e+03	1094	1.963426e-01	1.963426e-01	1.972949e-01	1.972949e-01
2	20	1320	1.612600e+03	1251	5.498875e-01	5.498875e-01	4.865811e-01	4.865811e-01
