timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3
1.000000e-01	1	2353	1.500290e+03	1028	3.893530e-01	3.893530e-01	3.040521e-01	3.040521e-01
2.000000e-01	2	1132	6.183760e+03	1017	8.452656e-01	8.452656e-01	4.732434e-01	4.732434e-01
3.000000e-01	3	2499	1.453070e+03	1303	3.676731e-01	3.676731e-01	3.427144e-01	3.427144e-01
4.000000e-01	4	1176	6.139680e+03	1207	8.392494e-01	8.392494e-01	5.065044e-01	5.065044e-01
5.000000e-01	5	2599	1.443070e+03	1132	3.570126e-01	3.570126e-01	3.034039e-01	3.034039e-01
6.000000e-01	6	1189	5.603770e+03	1180	8.249610e-01	8.249610e-01	4.981005e-01	4.981005e-01
7.000000e-01	7	2863	1.397590e+03	1046	3.280273e-01	3.280273e-01	2.675876e-01	2.675876e-01
8.000000e-01	8	1161	5.852730e+03	1474	8.344675e-01	8.344675e-01	5.593928e-01	5.593928e-01
9.000000e-01	9	3140	1.420200e+03	1208	3.114337e-01	3.114337e-01	2.778289e-01	2.778289e-01
1	10	1238	4.497340e+03	1162	7.841453e-01	7.841453e-01	4.841667e-01	4.841667e-01
1.100000e+00	11	2975	1.426750e+03	1028	3.241324e-01	3.241324e-01	2.568074e-01	2.568074e-01
1.200000e+00	12	1191	6.223630e+03	1425	8.393716e-01	8.393716e-01	5.447248e-01	5.447248e-01
1.300000e+00	13	3052	1.506360e+03	1147	3.304610e-01	3.304610e-01	2.731603e-01	2.731603e-01
1.400000e+00	14	1294	5.789420e+03	1251	8.173199e-01	8.173199e-01	4.915521e-01	4.915521e-01
1.500000e+00	15	2522	1.758460e+03	1009	4.108110e-01	4.108110e-01	2.857547e-01	2.857547e-01
1.600000e+00	16	1176	6.433680e+03	1143	8.454600e-01	8.454600e-01	4.928849e-01	4.928849e-01
1.700000e+00	17	2687	1.772910e+03	1109	3.975215e-01	3.975215e-01	2.921496e-01	2.921496e-01
1.800000e+00	18	1300	5521	1260	8.094121e-01	8.094121e-01	4.921875e-01	4.921875e-01
1.900000e+00	19	2622	1.698460e+03	1197	3.931202e-01	3.931202e-01	3.134328e-01	3.134328e-01
2	20	1090	5.900700e+03	1236	8.440786e-01	8.440786e-01	5.313844e-01	5.313844e-01
