timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	6599	1.637070e+03	932	2.282291e-01	2.282291e-01	8.558111e-02	8.558111e-02	NaN	NaN	5.208110e-01	6.554879e-01	8.981198e-01	8.802384e-01	NaN	NaN
2.000000e-01	2	1066	7.076380e+03	1359	NaN	NaN	NaN	NaN	1.611071e-01	1.611071e-01	NaN	NaN	NaN	NaN	8.902419e-01	7.694614e-01
3.000000e-01	3	6493	1.494490e+03	1040	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1031	4.787830e+03	1262	8.822065e-01	8.822065e-01	2.608987e+00	8.558111e-02	NaN	NaN	7.516286e-01	6.554879e-01	8.328595e-01	8.802384e-01	NaN	NaN
5.000000e-01	5	7574	1.450820e+03	889	NaN	NaN	NaN	NaN	3.799438e-01	3.799438e-01	NaN	NaN	NaN	NaN	6.221569e-01	7.694614e-01
6.000000e-01	6	1162	5.391660e+03	1421	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	6443	1.726990e+03	1139	2.428831e-01	2.428831e-01	1.103379e-01	1.103379e-01	NaN	NaN	5.812383e-01	6.554879e-01	9.083723e-01	8.802384e-01	NaN	NaN
8.000000e-01	8	1160	5.603800e+03	1103	NaN	NaN	NaN	NaN	1.644600e-01	1.644600e-01	NaN	NaN	NaN	NaN	8.771875e-01	7.694614e-01
9.000000e-01	9	6726	1.317180e+03	939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1296	4.810280e+03	1359	8.523471e-01	8.523471e-01	8.167708e+01	1.103379e-01	NaN	NaN	7.283655e-01	6.554879e-01	8.598294e-01	8.802384e-01	NaN	NaN
1.100000e+00	11	5956	1.790080e+03	994	NaN	NaN	NaN	NaN	3.570300e-01	3.570300e-01	NaN	NaN	NaN	NaN	6.958321e-01	7.694614e-01
1.200000e+00	12	1003	5.117790e+03	1217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	6213	1.582090e+03	1269	2.299339e-01	2.299339e-01	1.381549e-01	1.381549e-01	NaN	NaN	5.551572e-01	6.554879e-01	9.050433e-01	8.802384e-01	NaN	NaN
1.400000e+00	14	1286	6.193980e+03	1069	NaN	NaN	NaN	NaN	1.471848e-01	1.471848e-01	NaN	NaN	NaN	NaN	8.842218e-01	7.694614e-01
1.500000e+00	15	6178	1.297540e+03	951	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1035	6.993550e+03	1044	9.208308e-01	9.208308e-01	1.348988e+00	1.381549e-01	NaN	NaN	7.957267e-01	6.554879e-01	8.772063e-01	8.802384e-01	NaN	NaN
1.700000e+00	17	6128	1.353040e+03	976	NaN	NaN	NaN	NaN	4.190568e-01	4.190568e-01	NaN	NaN	NaN	NaN	6.471281e-01	7.694614e-01
1.800000e+00	18	990	6.181700e+03	1270	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
