timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	5245	2.613850e+03	1046	3.861746e-01	3.861746e-01	6.424093e-02	6.424093e-02	NaN	NaN	5.938471e-01	6.261771e-01	8.797651e-01	8.600286e-01	NaN	NaN
2.000000e-01	2	1238	4.824340e+03	1266	NaN	NaN	NaN	NaN	2.078702e-01	2.078702e-01	NaN	NaN	NaN	NaN	8.334551e-01	7.805926e-01
3.000000e-01	3	4545	3.503850e+03	1217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1211	5.217230e+03	1278	8.646203e-01	8.646203e-01	4.427561e+01	6.424093e-02	NaN	NaN	6.824383e-01	6.261771e-01	8.315570e-01	8.600286e-01	NaN	NaN
5.000000e-01	5	5329	2.418970e+03	1167	NaN	NaN	NaN	NaN	3.254350e-01	3.254350e-01	NaN	NaN	NaN	NaN	6.967148e-01	7.805926e-01
6.000000e-01	6	1135	5.396550e+03	1561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	4741	2.402130e+03	1129	3.816216e-01	3.816216e-01	1.132190e-01	1.132190e-01	NaN	NaN	5.456284e-01	6.261771e-01	8.615788e-01	8.600286e-01	NaN	NaN
8.000000e-01	8	1277	5.655610e+03	1233	NaN	NaN	NaN	NaN	1.789911e-01	1.789911e-01	NaN	NaN	NaN	NaN	8.382741e-01	7.805926e-01
9.000000e-01	9	5073	2.587890e+03	1329	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1100	5026	1472	8.696143e-01	8.696143e-01	-3.206666e+00	1.132190e-01	NaN	NaN	6.710473e-01	6.261771e-01	8.448794e-01	8.600286e-01	NaN	NaN
1.100000e+00	11	4420	2.551600e+03	1173	NaN	NaN	NaN	NaN	3.149331e-01	3.149331e-01	NaN	NaN	NaN	NaN	7.275178e-01	7.805926e-01
1.200000e+00	12	1137	5.365410e+03	1395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	4971	2.506030e+03	1298	3.864667e-01	3.864667e-01	1.192074e-01	1.192074e-01	NaN	NaN	5.795733e-01	6.261771e-01	8.717469e-01	8.600286e-01	NaN	NaN
1.400000e+00	14	1079	5.094470e+03	1271	NaN	NaN	NaN	NaN	1.996710e-01	1.996710e-01	NaN	NaN	NaN	NaN	8.313844e-01	7.805926e-01
1.500000e+00	15	5396	2.760280e+03	1291	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1342	6.211060e+03	1291	8.707183e-01	8.707183e-01	7.904286e+00	1.192074e-01	NaN	NaN	6.845285e-01	6.261771e-01	8.706446e-01	8.600286e-01	NaN	NaN
1.700000e+00	17	6159	2.800870e+03	1275	NaN	NaN	NaN	NaN	3.128167e-01	3.128167e-01	NaN	NaN	NaN	NaN	7.562093e-01	7.805926e-01
1.800000e+00	18	1163	4.871590e+03	1314	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
