timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	6321	2.005530e+03	1152	2.968019e-01	2.968019e-01	7.188768e-02	7.188768e-02	NaN	NaN	6.387429e-01	6.642937e-01	9.033598e-01	8.645564e-01	NaN	NaN
2.000000e-01	2	1374	4.029820e+03	1331	NaN	NaN	NaN	NaN	2.482829e-01	2.482829e-01	NaN	NaN	NaN	NaN	8.409367e-01	7.636924e-01
3.000000e-01	3	7330	1.685900e+03	1014	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1239	3.847270e+03	1034	8.350780e-01	8.350780e-01	9.078435e+00	7.188768e-02	NaN	NaN	6.801774e-01	6.642937e-01	8.261402e-01	8.645564e-01	NaN	NaN
5.000000e-01	5	5946	1.764780e+03	1113	NaN	NaN	NaN	NaN	3.867565e-01	3.867565e-01	NaN	NaN	NaN	NaN	6.908142e-01	7.636924e-01
6.000000e-01	6	1185	3.519050e+03	1288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	7649	1.855570e+03	1111	2.420694e-01	2.420694e-01	6.406962e-02	6.406962e-02	NaN	NaN	6.742754e-01	6.642937e-01	9.081232e-01	8.645564e-01	NaN	NaN
8.000000e-01	8	1170	3.895100e+03	1233	NaN	NaN	NaN	NaN	2.404399e-01	2.404399e-01	NaN	NaN	NaN	NaN	8.268328e-01	7.636924e-01
9.000000e-01	9	6756	1.721080e+03	1074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1323	3.197390e+03	1065	8.047878e-01	8.047878e-01	-9.087766e+00	6.406962e-02	NaN	NaN	6.853609e-01	6.642937e-01	8.241211e-01	8.645564e-01	NaN	NaN
1.100000e+00	11	6469	1.503170e+03	1061	NaN	NaN	NaN	NaN	4.137791e-01	4.137791e-01	NaN	NaN	NaN	NaN	6.826555e-01	7.636924e-01
1.200000e+00	12	1109	3.578370e+03	1192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	5899	2.284070e+03	1048	3.295774e-01	3.295774e-01	6.825653e-02	6.825653e-02	NaN	NaN	6.499142e-01	6.642937e-01	9.016416e-01	8.645564e-01	NaN	NaN
1.400000e+00	14	1065	3.916450e+03	1056	NaN	NaN	NaN	NaN	2.123702e-01	2.123702e-01	NaN	NaN	NaN	NaN	8.315899e-01	7.636924e-01
1.500000e+00	15	6894	1.867420e+03	1007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1233	3.190690e+03	1202	8.149794e-01	8.149794e-01	-5.337117e+00	6.825653e-02	NaN	NaN	6.572912e-01	6.642937e-01	8.239522e-01	8.645564e-01	NaN	NaN
1.700000e+00	17	6997	1.723210e+03	1210	NaN	NaN	NaN	NaN	4.125173e-01	4.125173e-01	NaN	NaN	NaN	NaN	7.093255e-01	7.636924e-01
1.800000e+00	18	1148	3.648640e+03	1202	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
