timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	21656	3.444080e+03	1327	1.476379e-01	1.476379e-01	4.498308e-02	4.498308e-02	NaN	NaN	5.239397e-01	7.041933e-01	9.520157e-01	9.360010e-01	NaN	NaN
2.000000e-01	2	1256	2.204708e+04	1965	NaN	NaN	NaN	NaN	8.183381e-02	8.183381e-02	NaN	NaN	NaN	NaN	9.474433e-01	8.030177e-01
3.000000e-01	3	27170	2.911100e+03	1332	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1302	2.082786e+04	1853	9.593216e-01	9.593216e-01	1.193683e+00	1.193683e+00	NaN	NaN	8.604707e-01	7.041933e-01	9.179037e-01	9.360010e-01	NaN	NaN
5.000000e-01	5	30201	2.637930e+03	1251	NaN	NaN	NaN	NaN	3.216823e-01	3.216823e-01	NaN	NaN	NaN	NaN	6.445103e-01	8.030177e-01
6.000000e-01	6	1299	2.017007e+04	2145	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	23519	2.887670e+03	1228	1.198460e-01	1.198460e-01	3.737735e-02	3.737735e-02	NaN	NaN	5.540938e-01	7.041933e-01	9.548732e-01	9.360010e-01	NaN	NaN
8.000000e-01	8	1372	2.005296e+04	2186	NaN	NaN	NaN	NaN	9.829596e-02	9.829596e-02	NaN	NaN	NaN	NaN	9.445317e-01	8.030177e-01
9.000000e-01	9	29180	2.241400e+03	1306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1193	2.114449e+04	2040	9.590975e-01	9.590975e-01	1.331717e+00	3.737735e-02	NaN	NaN	8.406648e-01	7.041933e-01	9.221152e-01	9.360010e-01	NaN	NaN
1.100000e+00	11	32966	3.492380e+03	1128	NaN	NaN	NaN	NaN	2.441358e-01	2.441358e-01	NaN	NaN	NaN	NaN	6.917379e-01	8.030177e-01
1.200000e+00	12	1123	2.206839e+04	2059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	28195	2.856350e+03	1200	1.001301e-01	1.001301e-01	3.156698e-02	3.156698e-02	NaN	NaN	6.038241e-01	7.041933e-01	9.619702e-01	9.360010e-01	NaN	NaN
1.400000e+00	14	1236	1.926548e+04	1895	NaN	NaN	NaN	NaN	8.955373e-02	8.955373e-02	NaN	NaN	NaN	NaN	9.431704e-01	8.030177e-01
1.500000e+00	15	28911	1.966230e+03	1275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1239	1.886427e+04	1981	9.540235e-01	9.540235e-01	1.341765e+00	3.156698e-02	NaN	NaN	8.421666e-01	7.041933e-01	9.071278e-01	9.360010e-01	NaN	NaN
1.700000e+00	17	18973	3.036890e+03	1102	NaN	NaN	NaN	NaN	2.662550e-01	2.662550e-01	NaN	NaN	NaN	NaN	6.467127e-01	8.030177e-01
1.800000e+00	18	1332	1.992076e+04	2261	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
