timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	10312	2.265160e+03	1387	1.953071e-01	1.953071e-01	1.002793e-01	1.002793e-01	NaN	NaN	3.381830e-01	6.065288e-01	9.211698e-01	9.189381e-01	NaN	NaN
2.000000e-01	2	1249	2.473257e+04	2595	NaN	NaN	NaN	NaN	9.495905e-02	9.495905e-02	NaN	NaN	NaN	NaN	9.581034e-01	7.811856e-01
3.000000e-01	3	13161	2.965730e+03	1195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1234	2.568562e+04	3037	9.654533e-01	9.654533e-01	1.272455e+00	1.002793e-01	NaN	NaN	8.685440e-01	6.065288e-01	9.059201e-01	9.189381e-01	NaN	NaN
5.000000e-01	5	12000	3377	1157	NaN	NaN	NaN	NaN	2.551831e-01	2.551831e-01	NaN	NaN	NaN	NaN	5.930674e-01	7.811856e-01
6.000000e-01	6	1015	2.919395e+04	3111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	9976	2.669680e+03	1299	2.274197e-01	2.274197e-01	9.375875e-02	9.375875e-02	NaN	NaN	3.315679e-01	6.065288e-01	9.281800e-01	9.189381e-01	NaN	NaN
8.000000e-01	8	1227	2.555711e+04	2555	NaN	NaN	NaN	NaN	9.088610e-02	9.088610e-02	NaN	NaN	NaN	NaN	9.630367e-01	7.811856e-01
9.000000e-01	9	10063	2.838590e+03	1079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1283	2.555119e+04	2162	9.673200e-01	9.673200e-01	1.142868e+00	1.142868e+00	NaN	NaN	8.881307e-01	6.065288e-01	9.061822e-01	9.189381e-01	NaN	NaN
1.100000e+00	11	10409	2.457370e+03	1195	NaN	NaN	NaN	NaN	3.271848e-01	3.271848e-01	NaN	NaN	NaN	NaN	5.488679e-01	7.811856e-01
1.200000e+00	12	1350	2.755150e+04	3002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	9856	3.225080e+03	1236	2.646405e-01	2.646405e-01	8.487486e-02	8.487486e-02	NaN	NaN	3.403678e-01	6.065288e-01	9.202935e-01	9.189381e-01	NaN	NaN
1.400000e+00	14	1136	2.522848e+04	2518	NaN	NaN	NaN	NaN	9.075025e-02	9.075025e-02	NaN	NaN	NaN	NaN	9.572214e-01	7.811856e-01
1.500000e+00	15	11153	2.779290e+03	1240	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1152	2.556536e+04	2614	9.697647e-01	9.697647e-01	1.151224e+00	1.151224e+00	NaN	NaN	8.723792e-01	6.065288e-01	9.318832e-01	9.189381e-01	NaN	NaN
1.700000e+00	17	11830	2.968900e+03	1322	NaN	NaN	NaN	NaN	3.080939e-01	3.080939e-01	NaN	NaN	NaN	NaN	6.668169e-01	7.811856e-01
1.800000e+00	18	1211	2.308323e+04	2144	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
