timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	4696	1.026280e+03	1059	2.561468e-01	2.561468e-01	9.066375e-02	9.066375e-02	NaN	NaN	7.053400e-01	6.735139e-01	8.544658e-01	8.242881e-01	NaN	NaN
2.000000e-01	2	1144	1.797920e+03	1035	NaN	NaN	NaN	NaN	3.653474e-01	3.653474e-01	NaN	NaN	NaN	NaN	7.103753e-01	6.979667e-01
3.000000e-01	3	4930	1.157900e+03	1155	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1376	1.567680e+03	1096	6.975675e-01	6.975675e-01	-5.890912e-01	9.066375e-02	NaN	NaN	6.528586e-01	6.735139e-01	7.876647e-01	8.242881e-01	NaN	NaN
5.000000e-01	5	5100	1061	1087	NaN	NaN	NaN	NaN	5.060521e-01	5.060521e-01	NaN	NaN	NaN	NaN	6.635774e-01	6.979667e-01
6.000000e-01	6	1171	1.590030e+03	1089	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	4289	1.108770e+03	1246	2.857320e-01	2.857320e-01	1.296709e-01	1.296709e-01	NaN	NaN	6.774622e-01	6.735139e-01	8.567333e-01	8.242881e-01	NaN	NaN
8.000000e-01	8	1156	2.044080e+03	1119	NaN	NaN	NaN	NaN	3.537691e-01	3.537691e-01	NaN	NaN	NaN	NaN	7.400610e-01	6.979667e-01
9.000000e-01	9	4457	9.970100e+02	1111	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1169	1.914170e+03	1063	7.742305e-01	7.742305e-01	-7.512842e+00	1.296709e-01	NaN	NaN	6.322704e-01	6.735139e-01	7.818286e-01	8.242881e-01	NaN	NaN
1.100000e+00	11	5194	1.151420e+03	1260	NaN	NaN	NaN	NaN	5.225137e-01	5.225137e-01	NaN	NaN	NaN	NaN	6.757669e-01	6.979667e-01
1.200000e+00	12	1048	1.723640e+03	1157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	5139	1.084270e+03	1102	2.666976e-01	2.666976e-01	5.814388e-02	5.814388e-02	NaN	NaN	7.301009e-01	6.735139e-01	8.759906e-01	8.242881e-01	NaN	NaN
1.400000e+00	14	1272	1.570960e+03	1137	NaN	NaN	NaN	NaN	4.198733e-01	4.198733e-01	NaN	NaN	NaN	NaN	7.230945e-01	6.979667e-01
1.500000e+00	15	5257	1.054010e+03	1037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1159	1.748870e+03	1214	7.567117e-01	7.567117e-01	-1.241887e+00	5.814388e-02	NaN	NaN	6.430515e-01	6.735139e-01	7.890453e-01	8.242881e-01	NaN	NaN
1.700000e+00	17	4543	1.109990e+03	1178	NaN	NaN	NaN	NaN	5.148624e-01	5.148624e-01	NaN	NaN	NaN	NaN	6.749253e-01	6.979667e-01
1.800000e+00	18	1270	1.889100e+03	1102	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
