timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2	S_1>3	discr.S_1>3	S_2>3	discr.S_2>3
1.000000e-01	1	6948	1.075640e+03	1033	2.064125e-01	2.064125e-01	4.158400e-02	4.158400e-02	NaN	NaN	7.645508e-01	7.080075e-01	8.929273e-01	8.346839e-01	NaN	NaN
2.000000e-01	2	1142	1.660060e+03	1129	NaN	NaN	NaN	NaN	4.047959e-01	4.047959e-01	NaN	NaN	NaN	NaN	7.197463e-01	6.833801e-01
3.000000e-01	3	7793	1.241490e+03	1086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.000000e-01	4	1077	1.627610e+03	1049	7.585668e-01	7.585668e-01	-1.912785e+00	4.158400e-02	NaN	NaN	6.504353e-01	7.080075e-01	7.919660e-01	8.346839e-01	NaN	NaN
5.000000e-01	5	7567	9.703100e+02	1047	NaN	NaN	NaN	NaN	5.190080e-01	5.190080e-01	NaN	NaN	NaN	NaN	6.716956e-01	6.833801e-01
6.000000e-01	6	1253	1.572290e+03	986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7.000000e-01	7	8620	1.228600e+03	1040	2.021994e-01	2.021994e-01	9.638751e-03	9.638751e-03	NaN	NaN	8.226939e-01	7.080075e-01	8.975403e-01	8.346839e-01	NaN	NaN
8.000000e-01	8	1190	1.319700e+03	1027	NaN	NaN	NaN	NaN	4.376358e-01	4.376358e-01	NaN	NaN	NaN	NaN	6.537315e-01	6.833801e-01
9.000000e-01	9	7510	1.052300e+03	1243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	10	1258	1.358940e+03	1087	6.806016e-01	6.806016e-01	-2.293738e-01	9.638751e-03	NaN	NaN	6.148475e-01	7.080075e-01	7.587025e-01	8.346839e-01	NaN	NaN
1.100000e+00	11	7154	1.176220e+03	1144	NaN	NaN	NaN	NaN	4.930567e-01	4.930567e-01	NaN	NaN	NaN	NaN	6.632573e-01	6.833801e-01
1.200000e+00	12	1082	1.367260e+03	1178	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.300000e+00	13	7005	1.148650e+03	1165	2.257289e-01	2.257289e-01	3.730273e-02	3.730273e-02	NaN	NaN	7.855639e-01	7.080075e-01	9.030006e-01	8.346839e-01	NaN	NaN
1.400000e+00	14	1304	1.430720e+03	1113	NaN	NaN	NaN	NaN	4.375482e-01	4.375482e-01	NaN	NaN	NaN	NaN	7.176082e-01	6.833801e-01
1.500000e+00	15	6966	1.160380e+03	1001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.600000e+00	16	1258	1.204940e+03	1078	6.460316e-01	6.460316e-01	-1.048160e-02	-1.048160e-02	NaN	NaN	6.099537e-01	7.080075e-01	7.639667e-01	8.346839e-01	NaN	NaN
1.700000e+00	17	7224	1.188320e+03	1076	NaN	NaN	NaN	NaN	4.751979e-01	4.751979e-01	NaN	NaN	NaN	NaN	6.742419e-01	6.833801e-01
1.800000e+00	18	1258	1.495940e+03	1094	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
