coordinates:	26.0,4.9
timeat129nm	I_1at129nm	timeat989nm	I_1at989nm
1.000000e-01	189	2.000000e-01	124
3.000000e-01	167	4.000000e-01	128
5.000000e-01	171	6.000000e-01	121
7.000000e-01	167	8.000000e-01	124
9.000000e-01	173	1	123
1.100000e+00	187	1.200000e+00	122
1.300000e+00	169	1.400000e+00	128
1.500000e+00	158	1.600000e+00	128
1.700000e+00	173	1.800000e+00	128
1.900000e+00	175	2	127
2.100000e+00	177	2.200000e+00	123
2.300000e+00	161	2.400000e+00	119
2.500000e+00	174	2.600000e+00	121
2.700000e+00	125	2.800000e+00	127
2.900000e+00	169	3	122
3.100000e+00	169	3.200000e+00	121
3.300000e+00	174	3.400000e+00	118
3.500000e+00	180	3.600000e+00	121
3.700000e+00	172	3.800000e+00	128
3.900000e+00	149	4	124
4.100000e+00	183	4.200000e+00	119
4.300000e+00	156	4.400000e+00	126
4.500000e+00	206	4.600000e+00	119
4.700000e+00	170	4.800000e+00	121
4.900000e+00	167	5	127
5.100000e+00	166	5.200000e+00	124
5.300000e+00	172	5.400000e+00	119
5.500000e+00	169	5.600000e+00	127
5.700000e+00	164	5.800000e+00	121
5.900000e+00	186	6	121
6.100000e+00	173	6.200000e+00	121
6.300000e+00	176	6.400000e+00	120
6.500000e+00	163	6.600000e+00	122
6.700000e+00	173	6.800000e+00	123
6.900000e+00	184	7	128
7.100000e+00	178	7.200000e+00	129
7.300000e+00	186	7.400000e+00	125
7.500000e+00	174	7.600000e+00	123
7.700000e+00	176	7.800000e+00	118
7.900000e+00	178	8	124
8.100000e+00	180	8.200000e+00	128
8.300000e+00	171	8.400000e+00	126
8.500000e+00	187	8.600000e+00	123
8.700000e+00	172	8.800000e+00	121
8.900000e+00	224	9	122
9.100000e+00	214	9.200000e+00	121
9.300000e+00	219	9.400000e+00	122
9.500000e+00	229	9.600000e+00	123
9.700000e+00	234	9.800000e+00	128
9.900000e+00	206	10	122
1.010000e+01	216	1.020000e+01	127
1.030000e+01	227	1.040000e+01	118
1.050000e+01	232	1.060000e+01	118
1.070000e+01	225	1.080000e+01	130
1.090000e+01	218	11	123
1.110000e+01	229	1.120000e+01	118
1.130000e+01	226	1.140000e+01	123
1.150000e+01	218	1.160000e+01	127
1.170000e+01	212	1.180000e+01	125
1.190000e+01	213	12	121
1.210000e+01	175	1.220000e+01	125
1.230000e+01	217	1.240000e+01	127
1.250000e+01	219	1.260000e+01	126
1.270000e+01	161	1.280000e+01	118
1.290000e+01	206	13	123
1.310000e+01	231	1.320000e+01	122
1.330000e+01	214	1.340000e+01	119
1.350000e+01	219	1.360000e+01	122
1.370000e+01	219	1.380000e+01	120
1.390000e+01	223	14	123
1.410000e+01	219	1.420000e+01	122
1.430000e+01	230	1.440000e+01	121
1.450000e+01	202	1.460000e+01	116
1.470000e+01	238	1.480000e+01	123
1.490000e+01	203	15	126
1.510000e+01	210	1.520000e+01	119
1.530000e+01	221	1.540000e+01	122
1.550000e+01	213	1.560000e+01	116
1.570000e+01	219	1.580000e+01	119
1.590000e+01	211	16	127
1.610000e+01	246	1.620000e+01	126
1.630000e+01	216	1.640000e+01	125
1.650000e+01	208	1.660000e+01	124
1.670000e+01	217	1.680000e+01	120
1.690000e+01	212	17	120
1.710000e+01	233	1.720000e+01	123
1.730000e+01	224	1.740000e+01	123
1.750000e+01	214	1.760000e+01	125
1.770000e+01	189	1.780000e+01	120
1.790000e+01	211	18	124
1.810000e+01	216	1.820000e+01	125
1.830000e+01	218	1.840000e+01	126
1.850000e+01	220	1.860000e+01	122
1.870000e+01	224	1.880000e+01	123
1.890000e+01	226	19	125
1.910000e+01	212	1.920000e+01	125
1.930000e+01	122	1.940000e+01	129
1.950000e+01	183	1.960000e+01	117
1.970000e+01	240	1.980000e+01	121
1.990000e+01	192	20	126
