coordinates:	35.1,47.5
timeat129nm	I_1at129nm	timeat989nm	I_1at989nm
1.000000e-01	221	2.000000e-01	129
3.000000e-01	216	4.000000e-01	119
5.000000e-01	217	6.000000e-01	123
7.000000e-01	200	8.000000e-01	124
9.000000e-01	237	1	124
1.100000e+00	219	1.200000e+00	122
1.300000e+00	173	1.400000e+00	121
1.500000e+00	174	1.600000e+00	124
1.700000e+00	153	1.800000e+00	124
1.900000e+00	180	2	121
2.100000e+00	186	2.200000e+00	128
2.300000e+00	171	2.400000e+00	120
2.500000e+00	170	2.600000e+00	120
2.700000e+00	175	2.800000e+00	126
2.900000e+00	183	3	120
3.100000e+00	159	3.200000e+00	126
3.300000e+00	185	3.400000e+00	119
3.500000e+00	171	3.600000e+00	127
3.700000e+00	173	3.800000e+00	118
3.900000e+00	172	4	125
4.100000e+00	173	4.200000e+00	121
4.300000e+00	199	4.400000e+00	118
4.500000e+00	237	4.600000e+00	128
4.700000e+00	226	4.800000e+00	120
4.900000e+00	226	5	119
5.100000e+00	220	5.200000e+00	119
5.300000e+00	226	5.400000e+00	124
5.500000e+00	159	5.600000e+00	128
5.700000e+00	205	5.800000e+00	120
5.900000e+00	231	6	123
6.100000e+00	213	6.200000e+00	128
6.300000e+00	187	6.400000e+00	126
6.500000e+00	186	6.600000e+00	128
6.700000e+00	179	6.800000e+00	120
6.900000e+00	177	7	123
7.100000e+00	170	7.200000e+00	117
7.300000e+00	173	7.400000e+00	127
7.500000e+00	217	7.600000e+00	120
7.700000e+00	230	7.800000e+00	119
7.900000e+00	228	8	125
8.100000e+00	242	8.200000e+00	123
8.300000e+00	218	8.400000e+00	123
8.500000e+00	219	8.600000e+00	121
8.700000e+00	204	8.800000e+00	128
8.900000e+00	206	9	119
9.100000e+00	228	9.200000e+00	125
9.300000e+00	215	9.400000e+00	128
9.500000e+00	225	9.600000e+00	123
9.700000e+00	205	9.800000e+00	123
9.900000e+00	211	10	124
1.010000e+01	203	1.020000e+01	123
1.030000e+01	221	1.040000e+01	128
1.050000e+01	123	1.060000e+01	130
1.070000e+01	200	1.080000e+01	125
1.090000e+01	218	11	122
1.110000e+01	210	1.120000e+01	126
1.130000e+01	215	1.140000e+01	121
1.150000e+01	165	1.160000e+01	122
1.170000e+01	199	1.180000e+01	125
1.190000e+01	241	12	126
1.210000e+01	220	1.220000e+01	123
1.230000e+01	118	1.240000e+01	126
1.250000e+01	222	1.260000e+01	124
1.270000e+01	233	1.280000e+01	119
1.290000e+01	246	13	122
1.310000e+01	221	1.320000e+01	118
1.330000e+01	232	1.340000e+01	122
1.350000e+01	221	1.360000e+01	123
1.370000e+01	125	1.380000e+01	120
1.390000e+01	213	14	127
1.410000e+01	236	1.420000e+01	132
1.430000e+01	235	1.440000e+01	123
1.450000e+01	202	1.460000e+01	121
1.470000e+01	214	1.480000e+01	124
1.490000e+01	236	15	122
1.510000e+01	216	1.520000e+01	120
1.530000e+01	236	1.540000e+01	128
1.550000e+01	215	1.560000e+01	122
1.570000e+01	214	1.580000e+01	124
1.590000e+01	200	16	118
1.610000e+01	241	1.620000e+01	126
1.630000e+01	220	1.640000e+01	124
1.650000e+01	214	1.660000e+01	121
1.670000e+01	220	1.680000e+01	128
1.690000e+01	222	17	128
1.710000e+01	222	1.720000e+01	120
1.730000e+01	223	1.740000e+01	129
1.750000e+01	233	1.760000e+01	122
1.770000e+01	210	1.780000e+01	120
1.790000e+01	209	18	131
1.810000e+01	217	1.820000e+01	123
1.830000e+01	243	1.840000e+01	122
1.850000e+01	220	1.860000e+01	128
1.870000e+01	222	1.880000e+01	117
1.890000e+01	232	19	120
1.910000e+01	233	1.920000e+01	120
1.930000e+01	224	1.940000e+01	125
1.950000e+01	244	1.960000e+01	123
1.970000e+01	228	1.980000e+01	125
1.990000e+01	225	20	122
