coordinates:	21.8,13.7
timeat129nm	I_1at129nm	timeat989nm	I_1at989nm
1.000000e-01	167	2.000000e-01	123
3.000000e-01	176	4.000000e-01	117
5.000000e-01	167	6.000000e-01	129
7.000000e-01	119	8.000000e-01	122
9.000000e-01	121	1	124
1.100000e+00	123	1.200000e+00	121
1.300000e+00	120	1.400000e+00	118
1.500000e+00	122	1.600000e+00	122
1.700000e+00	117	1.800000e+00	122
1.900000e+00	118	2	124
2.100000e+00	124	2.200000e+00	117
2.300000e+00	117	2.400000e+00	129
2.500000e+00	121	2.600000e+00	128
2.700000e+00	120	2.800000e+00	120
2.900000e+00	119	3	124
3.100000e+00	120	3.200000e+00	125
3.300000e+00	118	3.400000e+00	122
3.500000e+00	121	3.600000e+00	121
3.700000e+00	120	3.800000e+00	124
3.900000e+00	120	4	117
4.100000e+00	120	4.200000e+00	132
4.300000e+00	122	4.400000e+00	124
4.500000e+00	119	4.600000e+00	130
4.700000e+00	118	4.800000e+00	127
4.900000e+00	124	5	120
5.100000e+00	117	5.200000e+00	122
5.300000e+00	119	5.400000e+00	127
5.500000e+00	120	5.600000e+00	126
5.700000e+00	120	5.800000e+00	124
5.900000e+00	120	6	125
6.100000e+00	117	6.200000e+00	128
6.300000e+00	120	6.400000e+00	122
6.500000e+00	117	6.600000e+00	126
6.700000e+00	122	6.800000e+00	125
6.900000e+00	118	7	123
7.100000e+00	122	7.200000e+00	120
7.300000e+00	122	7.400000e+00	126
7.500000e+00	116	7.600000e+00	123
7.700000e+00	118	7.800000e+00	127
7.900000e+00	121	8	118
8.100000e+00	120	8.200000e+00	122
8.300000e+00	121	8.400000e+00	125
8.500000e+00	122	8.600000e+00	123
8.700000e+00	119	8.800000e+00	122
8.900000e+00	121	9	125
9.100000e+00	119	9.200000e+00	119
9.300000e+00	117	9.400000e+00	120
9.500000e+00	118	9.600000e+00	120
9.700000e+00	123	9.800000e+00	121
9.900000e+00	119	10	122
1.010000e+01	121	1.020000e+01	126
1.030000e+01	115	1.040000e+01	124
1.050000e+01	121	1.060000e+01	127
1.070000e+01	124	1.080000e+01	120
1.090000e+01	116	11	121
1.110000e+01	121	1.120000e+01	121
1.130000e+01	122	1.140000e+01	129
1.150000e+01	123	1.160000e+01	123
1.170000e+01	119	1.180000e+01	121
1.190000e+01	120	12	125
1.210000e+01	117	1.220000e+01	120
1.230000e+01	121	1.240000e+01	122
1.250000e+01	117	1.260000e+01	122
1.270000e+01	120	1.280000e+01	127
1.290000e+01	116	13	125
1.310000e+01	121	1.320000e+01	121
1.330000e+01	123	1.340000e+01	128
1.350000e+01	119	1.360000e+01	120
1.370000e+01	118	1.380000e+01	122
1.390000e+01	119	14	122
1.410000e+01	115	1.420000e+01	124
1.430000e+01	117	1.440000e+01	122
1.450000e+01	120	1.460000e+01	125
1.470000e+01	117	1.480000e+01	122
1.490000e+01	119	15	121
1.510000e+01	121	1.520000e+01	118
1.530000e+01	120	1.540000e+01	120
1.550000e+01	118	1.560000e+01	122
1.570000e+01	122	1.580000e+01	125
1.590000e+01	126	16	124
1.610000e+01	123	1.620000e+01	126
1.630000e+01	119	1.640000e+01	122
1.650000e+01	122	1.660000e+01	120
1.670000e+01	119	1.680000e+01	120
1.690000e+01	123	17	125
1.710000e+01	114	1.720000e+01	119
1.730000e+01	121	1.740000e+01	124
1.750000e+01	120	1.760000e+01	122
1.770000e+01	125	1.780000e+01	124
1.790000e+01	120	18	121
1.810000e+01	116	1.820000e+01	118
1.830000e+01	119	1.840000e+01	122
1.850000e+01	126	1.860000e+01	121
1.870000e+01	121	1.880000e+01	121
1.890000e+01	118	19	118
1.910000e+01	124	1.920000e+01	125
1.930000e+01	122	1.940000e+01	121
1.950000e+01	117	1.960000e+01	124
1.970000e+01	119	1.980000e+01	121
1.990000e+01	122	20	123
