coordinates:	27.5,32.2
timeat129nm	I_1at129nm	timeat989nm	I_1at989nm
1.000000e-01	118	2.000000e-01	120
3.000000e-01	214	4.000000e-01	118
5.000000e-01	189	6.000000e-01	126
7.000000e-01	204	8.000000e-01	118
9.000000e-01	172	1	122
1.100000e+00	162	1.200000e+00	124
1.300000e+00	181	1.400000e+00	120
1.500000e+00	180	1.600000e+00	123
1.700000e+00	175	1.800000e+00	124
1.900000e+00	182	2	121
2.100000e+00	177	2.200000e+00	122
2.300000e+00	187	2.400000e+00	123
2.500000e+00	172	2.600000e+00	125
2.700000e+00	184	2.800000e+00	122
2.900000e+00	182	3	122
3.100000e+00	178	3.200000e+00	122
3.300000e+00	165	3.400000e+00	121
3.500000e+00	189	3.600000e+00	121
3.700000e+00	175	3.800000e+00	117
3.900000e+00	194	4	126
4.100000e+00	170	4.200000e+00	123
4.300000e+00	169	4.400000e+00	118
4.500000e+00	170	4.600000e+00	119
4.700000e+00	177	4.800000e+00	119
4.900000e+00	153	5	123
5.100000e+00	163	5.200000e+00	116
5.300000e+00	168	5.400000e+00	117
5.500000e+00	173	5.600000e+00	121
5.700000e+00	178	5.800000e+00	127
5.900000e+00	171	6	124
6.100000e+00	174	6.200000e+00	121
6.300000e+00	161	6.400000e+00	120
6.500000e+00	184	6.600000e+00	121
6.700000e+00	177	6.800000e+00	120
6.900000e+00	172	7	119
7.100000e+00	145	7.200000e+00	124
7.300000e+00	171	7.400000e+00	118
7.500000e+00	172	7.600000e+00	126
7.700000e+00	180	7.800000e+00	120
7.900000e+00	228	8	126
8.100000e+00	221	8.200000e+00	125
8.300000e+00	204	8.400000e+00	128
8.500000e+00	248	8.600000e+00	121
8.700000e+00	220	8.800000e+00	127
8.900000e+00	211	9	122
9.100000e+00	221	9.200000e+00	119
9.300000e+00	223	9.400000e+00	123
9.500000e+00	236	9.600000e+00	124
9.700000e+00	216	9.800000e+00	129
9.900000e+00	207	10	127
1.010000e+01	219	1.020000e+01	128
1.030000e+01	216	1.040000e+01	124
1.050000e+01	234	1.060000e+01	123
1.070000e+01	228	1.080000e+01	121
1.090000e+01	197	11	117
1.110000e+01	219	1.120000e+01	128
1.130000e+01	189	1.140000e+01	121
1.150000e+01	230	1.160000e+01	122
1.170000e+01	161	1.180000e+01	124
1.190000e+01	201	12	128
1.210000e+01	219	1.220000e+01	121
1.230000e+01	213	1.240000e+01	120
1.250000e+01	224	1.260000e+01	127
1.270000e+01	229	1.280000e+01	122
1.290000e+01	218	13	119
1.310000e+01	216	1.320000e+01	117
1.330000e+01	229	1.340000e+01	122
1.350000e+01	217	1.360000e+01	122
1.370000e+01	219	1.380000e+01	131
1.390000e+01	237	14	124
1.410000e+01	197	1.420000e+01	122
1.430000e+01	212	1.440000e+01	123
1.450000e+01	234	1.460000e+01	119
1.470000e+01	212	1.480000e+01	128
1.490000e+01	207	15	127
1.510000e+01	118	1.520000e+01	119
1.530000e+01	118	1.540000e+01	123
1.550000e+01	123	1.560000e+01	124
1.570000e+01	122	1.580000e+01	116
1.590000e+01	121	16	121
1.610000e+01	118	1.620000e+01	121
1.630000e+01	119	1.640000e+01	125
1.650000e+01	120	1.660000e+01	120
1.670000e+01	117	1.680000e+01	124
1.690000e+01	125	17	126
1.710000e+01	119	1.720000e+01	128
1.730000e+01	120	1.740000e+01	127
1.750000e+01	119	1.760000e+01	121
1.770000e+01	116	1.780000e+01	123
1.790000e+01	123	18	123
1.810000e+01	119	1.820000e+01	127
1.830000e+01	118	1.840000e+01	128
1.850000e+01	118	1.860000e+01	115
1.870000e+01	115	1.880000e+01	125
1.890000e+01	122	19	120
1.910000e+01	121	1.920000e+01	122
1.930000e+01	125	1.940000e+01	121
1.950000e+01	119	1.960000e+01	120
1.970000e+01	125	1.980000e+01	127
1.990000e+01	121	20	120
