timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	6071	993	1.405719e-01	1.405719e-01	8.793726e-01	8.923481e-01
2.000000e-01	2	1157	969	NaN	NaN	NaN	NaN
3.000000e-01	3	8934	1159	1.148321e-01	1.148321e-01	9.028536e-01	8.923481e-01
4.000000e-01	4	1186	1086	NaN	NaN	NaN	NaN
5.000000e-01	5	7007	1087	1.342970e-01	1.342970e-01	8.807399e-01	8.923481e-01
6.000000e-01	6	1390	1096	NaN	NaN	NaN	NaN
7.000000e-01	7	8332	1039	1.108740e-01	1.108740e-01	9.051483e-01	8.923481e-01
8.000000e-01	8	1343	982	NaN	NaN	NaN	NaN
9.000000e-01	9	8964	1024	1.025230e-01	1.025230e-01	9.137316e-01	8.923481e-01
1	10	1044	943	NaN	NaN	NaN	NaN
1.100000e+00	11	7407	1028	1.218731e-01	1.218731e-01	8.894864e-01	8.923481e-01
1.200000e+00	12	1108	1048	NaN	NaN	NaN	NaN
1.300000e+00	13	7024	1030	1.278868e-01	1.278868e-01	8.835015e-01	8.923481e-01
1.400000e+00	14	1185	1062	NaN	NaN	NaN	NaN
1.500000e+00	15	7515	997	1.171288e-01	1.171288e-01	8.802482e-01	8.923481e-01
1.600000e+00	16	1073	1158	NaN	NaN	NaN	NaN
1.700000e+00	17	8152	957	1.050609e-01	1.050609e-01	8.963787e-01	8.923481e-01
1.800000e+00	18	1193	1053	NaN	NaN	NaN	NaN
1.900000e+00	19	7281	1013	1.221365e-01	1.221365e-01	8.920198e-01	8.923481e-01
2	20	1236	1004	NaN	NaN	NaN	NaN
