timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2	S_1>2	discr.S_1>2
1.000000e-01	1	4696	1679	2.633725e-01	2.633725e-01	7.856791e-01	7.902989e-01
2.000000e-01	2	1124	1739	NaN	NaN	NaN	NaN
3.000000e-01	3	4930	1373	2.178328e-01	2.178328e-01	7.938287e-01	7.902989e-01
4.000000e-01	4	1356	1637	NaN	NaN	NaN	NaN
5.000000e-01	5	5100	1547	2.327366e-01	2.327366e-01	7.708454e-01	7.902989e-01
6.000000e-01	6	1151	1976	NaN	NaN	NaN	NaN
7.000000e-01	7	4289	1457	2.535677e-01	2.535677e-01	7.834742e-01	7.902989e-01
8.000000e-01	8	1136	1588	NaN	NaN	NaN	NaN
9.000000e-01	9	4457	1403	2.394198e-01	2.394198e-01	7.861551e-01	7.902989e-01
1	10	1149	1594	NaN	NaN	NaN	NaN
1.100000e+00	11	5194	1422	2.149335e-01	2.149335e-01	8.145777e-01	7.902989e-01
1.200000e+00	12	1028	1506	NaN	NaN	NaN	NaN
1.300000e+00	13	5139	1282	1.996574e-01	1.996574e-01	7.752958e-01	7.902989e-01
1.400000e+00	14	1252	1861	NaN	NaN	NaN	NaN
1.500000e+00	15	5257	1504	2.224523e-01	2.224523e-01	8.213071e-01	7.902989e-01
1.600000e+00	16	1139	1471	NaN	NaN	NaN	NaN
1.700000e+00	17	4543	1267	2.180723e-01	2.180723e-01	7.850291e-01	7.902989e-01
1.800000e+00	18	1250	1591	NaN	NaN	NaN	NaN
1.900000e+00	19	4451	1365	2.346974e-01	2.346974e-01	7.867965e-01	7.902989e-01
2	20	1300	1576	NaN	NaN	NaN	NaN
