timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	6321	7.355300e+02	1.042340e-01	1.042340e-01
2.000000e-01	2	1374	1.136820e+03	4.527684e-01	4.527684e-01
3.000000e-01	3	7330	6.569000e+02	8.224718e-02	8.224718e-02
4.000000e-01	4	1239	1.162270e+03	4.840230e-01	4.840230e-01
5.000000e-01	5	5946	5.847800e+02	8.954214e-02	8.954214e-02
6.000000e-01	6	1185	1.186050e+03	5.002214e-01	5.002214e-01
7.000000e-01	7	7649	6.055700e+02	7.336179e-02	7.336179e-02
8.000000e-01	8	1170	1.190100e+03	5.042583e-01	5.042583e-01
9.000000e-01	9	6756	7.060800e+02	9.462241e-02	9.462241e-02
1	10	1323	1.183390e+03	4.721492e-01	4.721492e-01
1.100000e+00	11	6469	6.341700e+02	8.927986e-02	8.927986e-02
1.200000e+00	12	1109	1.100370e+03	4.980470e-01	4.980470e-01
1.300000e+00	13	5899	8.850700e+02	1.304630e-01	1.304630e-01
1.400000e+00	14	1065	1.170450e+03	5.235859e-01	5.235859e-01
1.500000e+00	15	6894	6.224200e+02	8.280804e-02	8.280804e-02
1.600000e+00	16	1233	1.132690e+03	4.787990e-01	4.787990e-01
1.700000e+00	17	6997	6.392100e+02	8.370776e-02	8.370776e-02
1.800000e+00	18	1148	1.206640e+03	5.124520e-01	5.124520e-01
1.900000e+00	19	7320	6.556000e+02	8.220071e-02	8.220071e-02
2	20	1163	1.240590e+03	5.161404e-01	5.161404e-01
