timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	6948	8.226400e+02	1.058652e-01	1.058652e-01
2.000000e-01	2	1142	8.980600e+02	4.402125e-01	4.402125e-01
3.000000e-01	3	7793	5.374900e+02	6.452081e-02	6.452081e-02
4.000000e-01	4	1077	8.856100e+02	4.512409e-01	4.512409e-01
5.000000e-01	5	7567	5.213100e+02	6.445228e-02	6.445228e-02
6.000000e-01	6	1253	9.142900e+02	4.218586e-01	4.218586e-01
7.000000e-01	7	8620	4.336000e+02	4.789255e-02	4.789255e-02
8.000000e-01	8	1190	1.004700e+03	4.577847e-01	4.577847e-01
9.000000e-01	9	7510	6.653000e+02	8.137928e-02	8.137928e-02
1	10	1258	1.092940e+03	4.648949e-01	4.648949e-01
1.100000e+00	11	7154	5.952200e+02	7.681031e-02	7.681031e-02
1.200000e+00	12	1082	8.922600e+02	4.519466e-01	4.519466e-01
1.300000e+00	13	7005	6.276500e+02	8.223225e-02	8.223225e-02
1.400000e+00	14	1304	1.055720e+03	4.473921e-01	4.473921e-01
1.500000e+00	15	6966	6.503800e+02	8.539227e-02	8.539227e-02
1.600000e+00	16	1258	9.279400e+02	4.245039e-01	4.245039e-01
1.700000e+00	17	7224	6.103200e+02	7.790338e-02	7.790338e-02
1.800000e+00	18	1258	9.889400e+02	4.401275e-01	4.401275e-01
1.900000e+00	19	8499	6.190700e+02	6.789485e-02	6.789485e-02
2	20	1070	1.035100e+03	4.917106e-01	4.917106e-01
