timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	11060	5.648000e+02	4.858578e-02	4.858578e-02
2.000000e-01	2	1072	8.959600e+02	4.552735e-01	4.552735e-01
3.000000e-01	3	10437	5.404100e+02	4.922928e-02	4.922928e-02
4.000000e-01	4	1218	1.069740e+03	4.675968e-01	4.675968e-01
5.000000e-01	5	9829	4.189700e+02	4.088322e-02	4.088322e-02
6.000000e-01	6	1187	9.259100e+02	4.382155e-01	4.382155e-01
7.000000e-01	7	9079	5.994700e+02	6.193851e-02	6.193851e-02
8.000000e-01	8	1277	9.746100e+02	4.328503e-01	4.328503e-01
9.000000e-01	9	10863	4.355900e+02	3.855260e-02	3.855260e-02
1	10	1105	1.046650e+03	4.864406e-01	4.864406e-01
1.100000e+00	11	11455	2.721500e+02	2.320683e-02	2.320683e-02
1.200000e+00	12	1136	9.974800e+02	4.675366e-01	4.675366e-01
1.300000e+00	13	10129	4.019700e+02	3.817027e-02	3.817027e-02
1.400000e+00	14	1015	9.679500e+02	4.881364e-01	4.881364e-01
1.500000e+00	15	10332	4.487600e+02	4.162601e-02	4.162601e-02
1.600000e+00	16	1293	1.022490e+03	4.415869e-01	4.415869e-01
1.700000e+00	17	13336	1.234800e+02	9.174203e-03	9.174203e-03
1.800000e+00	18	1133	1.074690e+03	4.867939e-01	4.867939e-01
1.900000e+00	19	10514	3.500200e+02	3.221828e-02	3.221828e-02
2	20	1207	1.005510e+03	4.544657e-01	4.544657e-01
