timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	3288	1.434840e+03	3.038087e-01	3.038087e-01
2.000000e-01	2	1413	6.164090e+03	8.135168e-01	8.135168e-01
3.000000e-01	3	2416	1.458880e+03	3.764968e-01	3.764968e-01
4.000000e-01	4	1329	6.128970e+03	8.218014e-01	8.218014e-01
5.000000e-01	5	2854	1.425220e+03	3.330560e-01	3.330560e-01
6.000000e-01	6	1146	5.606780e+03	8.302921e-01	8.302921e-01
7.000000e-01	7	2924	1.393320e+03	3.227280e-01	3.227280e-01
8.000000e-01	8	1204	5.849720e+03	8.293099e-01	8.293099e-01
9.000000e-01	9	3021	1.428530e+03	3.210519e-01	3.210519e-01
1	10	1155	4.503150e+03	7.958697e-01	7.958697e-01
1.100000e+00	11	2763	1.441590e+03	3.428610e-01	3.428610e-01
1.200000e+00	12	1274	6.217820e+03	8.299479e-01	8.299479e-01
1.300000e+00	13	3056	1.506080e+03	3.301301e-01	3.301301e-01
1.400000e+00	14	1241	5.793130e+03	8.235745e-01	8.235745e-01
1.500000e+00	15	2692	1.746560e+03	3.934970e-01	3.934970e-01
1.600000e+00	16	1255	6.428150e+03	8.366555e-01	8.366555e-01
1.700000e+00	17	3038	1.748340e+03	3.652770e-01	3.652770e-01
1.800000e+00	18	1114	5.534020e+03	8.324313e-01	8.324313e-01
1.900000e+00	19	3254	1.654220e+03	3.370305e-01	3.370305e-01
2	20	1181	5.894330e+03	8.330820e-01	8.330820e-01
