timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2610	1.472300e+03	3.606545e-01	3.606545e-01
2.000000e-01	2	1271	5.182030e+03	8.030383e-01	8.030383e-01
3.000000e-01	3	2523	1.541390e+03	3.792426e-01	3.792426e-01
4.000000e-01	4	1214	4.990020e+03	8.043204e-01	8.043204e-01
5.000000e-01	5	2830	1.634900e+03	3.661672e-01	3.661672e-01
6.000000e-01	6	1119	4.484670e+03	8.003094e-01	8.003094e-01
7.000000e-01	7	2603	1.361790e+03	3.434709e-01	3.434709e-01
8.000000e-01	8	1028	4.063040e+03	7.980766e-01	7.980766e-01
9.000000e-01	9	2590	1.559700e+03	3.758585e-01	3.758585e-01
1	10	1128	4.829040e+03	8.106442e-01	8.106442e-01
1.100000e+00	11	2530	1.594900e+03	3.866518e-01	3.866518e-01
1.200000e+00	12	1102	4.111860e+03	7.886403e-01	7.886403e-01
1.300000e+00	13	2585	1.524050e+03	3.709008e-01	3.709008e-01
1.400000e+00	14	1234	4.307620e+03	7.773214e-01	7.773214e-01
1.500000e+00	15	2552	1.508360e+03	3.714843e-01	3.714843e-01
1.600000e+00	16	1178	4.666540e+03	7.984444e-01	7.984444e-01
1.700000e+00	17	2297	1.580210e+03	4.075637e-01	4.075637e-01
1.800000e+00	18	1095	4.395350e+03	8.005592e-01	8.005592e-01
1.900000e+00	19	2408	1.805440e+03	4.284955e-01	4.284955e-01
2	20	1298	4.166140e+03	7.624512e-01	7.624512e-01
