timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	8430	5.489000e+02	6.113221e-02	6.113221e-02
2.000000e-01	2	1118	1.258740e+03	5.296078e-01	5.296078e-01
3.000000e-01	3	7383	7.131900e+02	8.808958e-02	8.808958e-02
4.000000e-01	4	1127	1.703110e+03	6.017823e-01	6.017823e-01
5.000000e-01	5	7840	7.162000e+02	8.370538e-02	8.370538e-02
6.000000e-01	6	1196	1.559280e+03	5.659243e-01	5.659243e-01
7.000000e-01	7	8269	6.051700e+02	6.819455e-02	6.819455e-02
8.000000e-01	8	1315	1.690950e+03	5.625343e-01	5.625343e-01
9.000000e-01	9	7097	8.802100e+02	1.103406e-01	1.103406e-01
1	10	1087	1.482910e+03	5.770280e-01	5.770280e-01
1.100000e+00	11	8011	7.902300e+02	8.978631e-02	8.978631e-02
1.200000e+00	12	1162	1.629660e+03	5.837602e-01	5.837602e-01
1.300000e+00	13	8058	5.529400e+02	6.421366e-02	6.421366e-02
1.400000e+00	14	1175	1.491750e+03	5.593888e-01	5.593888e-01
1.500000e+00	15	7678	6.555400e+02	7.866285e-02	7.866285e-02
1.600000e+00	16	1137	1.569410e+03	5.798863e-01	5.798863e-01
1.700000e+00	17	7453	6.512900e+02	8.036361e-02	8.036361e-02
1.800000e+00	18	970	1.477100e+03	6.036124e-01	6.036124e-01
1.900000e+00	19	8517	7.508100e+02	8.101267e-02	8.101267e-02
2	20	1106	1.785580e+03	6.175102e-01	6.175102e-01
