timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	6230	1.016900e+03	1.403221e-01	1.403221e-01
2.000000e-01	2	1077	1.646610e+03	6.045689e-01	6.045689e-01
3.000000e-01	3	5699	8.370700e+02	1.280693e-01	1.280693e-01
4.000000e-01	4	1142	1.627060e+03	5.875857e-01	5.875857e-01
5.000000e-01	5	6850	8.265000e+02	1.076663e-01	1.076663e-01
6.000000e-01	6	1182	1.849260e+03	6.100631e-01	6.100631e-01
7.000000e-01	7	5879	8.134700e+02	1.215500e-01	1.215500e-01
8.000000e-01	8	1063	1.658590e+03	6.094195e-01	6.094195e-01
9.000000e-01	9	6342	9.050600e+02	1.248865e-01	1.248865e-01
1	10	1228	1.868040e+03	6.033643e-01	6.033643e-01
1.100000e+00	11	5341	9.391300e+02	1.495399e-01	1.495399e-01
1.200000e+00	12	1236	1.862480e+03	6.010947e-01	6.010947e-01
1.300000e+00	13	6465	8.084500e+02	1.111508e-01	1.111508e-01
1.400000e+00	14	1013	1.980090e+03	6.615538e-01	6.615538e-01
1.500000e+00	15	6903	9.527900e+02	1.212851e-01	1.212851e-01
1.600000e+00	16	1188	1.870840e+03	6.116175e-01	6.116175e-01
1.700000e+00	17	6661	9.547300e+02	1.253629e-01	1.253629e-01
1.800000e+00	18	1025	1.959250e+03	6.565301e-01	6.565301e-01
1.900000e+00	19	6033	8.406900e+02	1.223055e-01	1.223055e-01
2	20	1106	1.813580e+03	6.211784e-01	6.211784e-01
