timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2127	1.950110e+03	4.783069e-01	4.783069e-01
2.000000e-01	2	1044	7.077920e+03	8.714590e-01	8.714590e-01
3.000000e-01	3	2539	1.771270e+03	4.109418e-01	4.109418e-01
4.000000e-01	4	1242	4.773060e+03	7.935183e-01	7.935183e-01
5.000000e-01	5	2668	1.794240e+03	4.020940e-01	4.020940e-01
6.000000e-01	6	1242	5.386060e+03	8.126149e-01	8.126149e-01
7.000000e-01	7	2723	1.987390e+03	4.219162e-01	4.219162e-01
8.000000e-01	8	1185	5.602050e+03	8.254028e-01	8.254028e-01
9.000000e-01	9	2577	1.607610e+03	3.841720e-01	3.841720e-01
1	10	1049	4.827570e+03	8.214945e-01	8.214945e-01
1.100000e+00	11	2504	2.031720e+03	4.479377e-01	4.479377e-01
1.200000e+00	12	1170	5.106100e+03	8.135785e-01	8.135785e-01
1.300000e+00	13	2582	1.836260e+03	4.156070e-01	4.156070e-01
1.400000e+00	14	1071	6.209030e+03	8.528852e-01	8.528852e-01
1.500000e+00	15	2625	1.546250e+03	3.706922e-01	3.706922e-01
1.600000e+00	16	1093	6.989490e+03	8.647694e-01	8.647694e-01
1.700000e+00	17	2614	1.599020e+03	3.795425e-01	3.795425e-01
1.800000e+00	18	1125	6.172250e+03	8.458323e-01	8.458323e-01
1.900000e+00	19	2667	1.950310e+03	4.223910e-01	4.223910e-01
2	20	1038	5.449340e+03	8.399961e-01	8.399961e-01
