timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	6065	6.734500e+02	9.994138e-02	9.994138e-02
2.000000e-01	2	24079	-7.545300e+02	-3.234929e-02	-3.234929e-02
3.000000e-01	3	5554	6.282200e+02	1.016172e-01	1.016172e-01
4.000000e-01	4	23834	-5.043800e+02	-2.161973e-02	-2.161973e-02
5.000000e-01	5	5537	6.664100e+02	1.074264e-01	1.074264e-01
6.000000e-01	6	23704	-4.912800e+02	-2.116426e-02	-2.116426e-02
7.000000e-01	7	5200	771	1.291241e-01	1.291241e-01
8.000000e-01	8	23403	-5.892100e+02	-2.582692e-02	-2.582692e-02
9.000000e-01	9	4831	7.498300e+02	1.343582e-01	1.343582e-01
1	10	23595	-6.656500e+02	-2.903048e-02	-2.903048e-02
1.100000e+00	11	6279	6.264700e+02	9.072083e-02	9.072083e-02
1.200000e+00	12	25238	-8.316600e+02	-3.407557e-02	-3.407557e-02
1.300000e+00	13	5612	6.341600e+02	1.015280e-01	1.015280e-01
1.400000e+00	14	22217	-4.481900e+02	-2.058863e-02	-2.058863e-02
1.500000e+00	15	4082	7.882600e+02	1.618517e-01	1.618517e-01
1.600000e+00	16	21468	-2.847600e+02	-1.344270e-02	-1.344270e-02
1.700000e+00	17	4555	7.931500e+02	1.483036e-01	1.483036e-01
1.800000e+00	18	22341	-5.598700e+02	-2.570436e-02	-2.570436e-02
1.900000e+00	19	4759	7.268700e+02	1.324986e-01	1.324986e-01
2	20	23374	-5.691800e+02	-2.495876e-02	-2.495876e-02
