timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2780	2.713400e+03	4.939382e-01	4.939382e-01
2.000000e-01	2	1133	5.752690e+03	8.354559e-01	8.354559e-01
3.000000e-01	3	2298	2.227140e+03	4.921704e-01	4.921704e-01
4.000000e-01	4	1279	4.994470e+03	7.961256e-01	7.961256e-01
5.000000e-01	5	2401	1.920930e+03	4.444612e-01	4.444612e-01
6.000000e-01	6	1316	5.098880e+03	7.948520e-01	7.948520e-01
7.000000e-01	7	2713	2.095090e+03	4.357427e-01	4.357427e-01
8.000000e-01	8	1170	5.148100e+03	8.148177e-01	8.148177e-01
9.000000e-01	9	2690	1.864700e+03	4.094013e-01	4.094013e-01
1	10	1285	5.163050e+03	8.007149e-01	8.007149e-01
1.100000e+00	11	2134	2.378620e+03	5.271040e-01	5.271040e-01
1.200000e+00	12	1188	5.389840e+03	8.193936e-01	8.193936e-01
1.300000e+00	13	2637	2.706410e+03	5.064949e-01	5.064949e-01
1.400000e+00	14	1193	5.554490e+03	8.231935e-01	8.231935e-01
1.500000e+00	15	2458	2.216940e+03	4.742179e-01	4.742179e-01
1.600000e+00	16	1204	6.488720e+03	8.434884e-01	8.434884e-01
1.700000e+00	17	2546	2.233780e+03	4.673395e-01	4.673395e-01
1.800000e+00	18	1329	5.403970e+03	8.026131e-01	8.026131e-01
1.900000e+00	19	2291	2.539630e+03	5.257347e-01	5.257347e-01
2	20	1225	4.547250e+03	7.877777e-01	7.877777e-01
