timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	3543	7.699900e+02	1.785281e-01	1.785281e-01
2.000000e-01	2	30015	-1.113050e+03	-3.851124e-02	-3.851124e-02
3.000000e-01	3	4287	7.189100e+02	1.436123e-01	1.436123e-01
4.000000e-01	4	31932	-1.244240e+03	-4.054516e-02	-4.054516e-02
5.000000e-01	5	4580	6.554000e+02	1.251862e-01	1.251862e-01
6.000000e-01	6	33969	-1.270830e+03	-3.886548e-02	-3.886548e-02
7.000000e-01	7	3719	8.766700e+02	1.907600e-01	1.907600e-01
8.000000e-01	8	30471	-1.071970e+03	-3.646277e-02	-3.646277e-02
9.000000e-01	9	3741	6.651300e+02	1.509556e-01	1.509556e-01
1	10	30801	-1.006070e+03	-3.376648e-02	-3.376648e-02
1.100000e+00	11	3545	7.768500e+02	1.797494e-01	1.797494e-01
1.200000e+00	12	33327	-1.159890e+03	-3.605826e-02	-3.605826e-02
1.300000e+00	13	4207	7.895100e+02	1.580123e-01	1.580123e-01
1.400000e+00	14	29560	-1.014200e+03	-3.552887e-02	-3.552887e-02
1.500000e+00	15	4045	7.818500e+02	1.619793e-01	1.619793e-01
1.600000e+00	16	31478	-1.159460e+03	-3.824261e-02	-3.824261e-02
1.700000e+00	17	4165	8.744500e+02	1.735209e-01	1.735209e-01
1.800000e+00	18	27950	-9.625000e+02	-3.566466e-02	-3.566466e-02
1.900000e+00	19	3928	7.410400e+02	1.587136e-01	1.587136e-01
2	20	31435	-1.147450e+03	-3.788520e-02	-3.788520e-02
