timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	5271	9.970300e+02	1.590659e-01	1.590659e-01
2.000000e-01	2	1255	4.648150e+03	7.874016e-01	7.874016e-01
3.000000e-01	3	5684	1.276120e+03	1.833474e-01	1.833474e-01
4.000000e-01	4	1267	4.241310e+03	7.699839e-01	7.699839e-01
5.000000e-01	5	5419	1.016670e+03	1.579742e-01	1.579742e-01
6.000000e-01	6	1177	3.984610e+03	7.719704e-01	7.719704e-01
7.000000e-01	7	4735	1.123550e+03	1.917795e-01	1.917795e-01
8.000000e-01	8	1055	4.201150e+03	7.992827e-01	7.992827e-01
9.000000e-01	9	5834	1.011620e+03	1.477762e-01	1.477762e-01
1	10	1191	4.184630e+03	7.784446e-01	7.784446e-01
1.100000e+00	11	4163	1.130590e+03	2.135772e-01	2.135772e-01
1.200000e+00	12	1132	5.081760e+03	8.178237e-01	8.178237e-01
1.300000e+00	13	5300	1388	2.075359e-01	2.075359e-01
1.400000e+00	14	1082	4.914260e+03	8.195542e-01	8.195542e-01
1.500000e+00	15	5289	9.727700e+02	1.553506e-01	1.553506e-01
1.600000e+00	16	1221	4.856530e+03	7.990960e-01	7.990960e-01
1.700000e+00	17	6185	8.330500e+02	1.187011e-01	1.187011e-01
1.800000e+00	18	1274	4.455820e+03	7.776544e-01	7.776544e-01
1.900000e+00	19	5998	1.077140e+03	1.522429e-01	1.522429e-01
2	20	1241	4.224130e+03	7.729240e-01	7.729240e-01
