timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	1794	1.222420e+03	4.052552e-01	4.052552e-01
2.000000e-01	2	1011	3.934230e+03	7.955606e-01	7.955606e-01
3.000000e-01	3	2386	1.361980e+03	3.633904e-01	3.633904e-01
4.000000e-01	4	1125	3.828250e+03	7.728764e-01	7.728764e-01
5.000000e-01	5	2179	1.254470e+03	3.653651e-01	3.653651e-01
6.000000e-01	6	1211	4.709230e+03	7.954471e-01	7.954471e-01
7.000000e-01	7	2395	1.371350e+03	3.641058e-01	3.641058e-01
8.000000e-01	8	1122	3.913460e+03	7.771802e-01	7.771802e-01
9.000000e-01	9	2245	1.167850e+03	3.421920e-01	3.421920e-01
1	10	1157	3.785010e+03	7.658847e-01	7.658847e-01
1.100000e+00	11	2394	1.367420e+03	3.635382e-01	3.635382e-01
1.200000e+00	12	1047	4.426710e+03	8.087221e-01	8.087221e-01
1.300000e+00	13	2296	1.274280e+03	3.569132e-01	3.569132e-01
1.400000e+00	14	1127	3.515110e+03	7.572225e-01	7.572225e-01
1.500000e+00	15	2177	1.485610e+03	4.056151e-01	4.056151e-01
1.600000e+00	16	1160	3.555800e+03	7.540184e-01	7.540184e-01
1.700000e+00	17	2733	1.282690e+03	3.194196e-01	3.194196e-01
1.800000e+00	18	1128	3.527040e+03	7.576820e-01	7.576820e-01
1.900000e+00	19	2522	1.359460e+03	3.502445e-01	3.502445e-01
2	20	1170	3.723100e+03	7.608878e-01	7.608878e-01
