timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	2550	1.405500e+03	3.553280e-01	3.553280e-01
2.000000e-01	2	1225	5.056250e+03	8.049751e-01	8.049751e-01
3.000000e-01	3	2370	1.277100e+03	3.501686e-01	3.501686e-01
4.000000e-01	4	1360	4.863800e+03	7.814840e-01	7.814840e-01
5.000000e-01	5	2344	1.380920e+03	3.707247e-01	3.707247e-01
6.000000e-01	6	1128	4.869040e+03	8.119072e-01	8.119072e-01
7.000000e-01	7	2242	1.443060e+03	3.915974e-01	3.915974e-01
8.000000e-01	8	1123	6.530390e+03	8.532676e-01	8.532676e-01
9.000000e-01	9	2339	1.177270e+03	3.348065e-01	3.348065e-01
1	10	1383	5.126190e+03	7.875312e-01	7.875312e-01
1.100000e+00	11	2385	1.339050e+03	3.595682e-01	3.595682e-01
1.200000e+00	12	1191	5.151630e+03	8.122230e-01	8.122230e-01
1.300000e+00	13	2077	1.305610e+03	3.859771e-01	3.859771e-01
1.400000e+00	14	1310	4.738300e+03	7.834102e-01	7.834102e-01
1.500000e+00	15	2711	1.572230e+03	3.670664e-01	3.670664e-01
1.600000e+00	16	1227	6.166110e+03	8.340347e-01	8.340347e-01
1.700000e+00	17	2586	1.574980e+03	3.785118e-01	3.785118e-01
1.800000e+00	18	1149	6.457570e+03	8.489464e-01	8.489464e-01
1.900000e+00	19	2681	1.701330e+03	3.882250e-01	3.882250e-01
2	20	1172	4.543960e+03	7.949601e-01	7.949601e-01
