timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	10312	5.511600e+02	5.073662e-02	5.073662e-02
2.000000e-01	2	1249	1.378570e+03	5.246559e-01	5.246559e-01
3.000000e-01	3	13161	4.967300e+02	3.636988e-02	3.636988e-02
4.000000e-01	4	1234	1.681620e+03	5.767624e-01	5.767624e-01
5.000000e-01	5	12000	691	5.444803e-02	5.444803e-02
6.000000e-01	6	1015	1.583950e+03	6.094577e-01	6.094577e-01
7.000000e-01	7	9976	6.016800e+02	5.688204e-02	5.688204e-02
8.000000e-01	8	1227	1.482110e+03	5.470837e-01	5.470837e-01
9.000000e-01	9	10063	5.455900e+02	5.142908e-02	5.142908e-02
1	10	1283	1.600190e+03	5.550068e-01	5.550068e-01
1.100000e+00	11	10409	8.603700e+02	7.634588e-02	7.634588e-02
1.200000e+00	12	1350	1.817500e+03	5.737964e-01	5.737964e-01
1.300000e+00	13	9856	7.380800e+02	6.966910e-02	6.966910e-02
1.400000e+00	14	1136	1.588480e+03	5.830397e-01	5.830397e-01
1.500000e+00	15	11153	6.172900e+02	5.244476e-02	5.244476e-02
1.600000e+00	16	1152	1.532360e+03	5.708474e-01	5.708474e-01
1.700000e+00	17	11830	6.669000e+02	5.336523e-02	5.336523e-02
1.800000e+00	18	1211	1.683230e+03	5.815813e-01	5.815813e-01
1.900000e+00	19	10710	7.583000e+02	6.612140e-02	6.612140e-02
2	20	1302	1.823860e+03	5.834746e-01	5.834746e-01
