timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	FRET_1>2	discr.FRET_1>2
1.000000e-01	1	9425	4.542500e+02	4.598021e-02	4.598021e-02
2.000000e-01	2	1046	1.687780e+03	6.173796e-01	6.173796e-01
3.000000e-01	3	8755	6.361500e+02	6.773931e-02	6.773931e-02
4.000000e-01	4	1174	1.805820e+03	6.060165e-01	6.060165e-01
5.000000e-01	5	8233	7.686900e+02	8.539396e-02	8.539396e-02
6.000000e-01	6	1175	1.548750e+03	5.686095e-01	5.686095e-01
7.000000e-01	7	8690	5.627000e+02	6.081468e-02	6.081468e-02
8.000000e-01	8	1300	1805	5.813205e-01	5.813205e-01
9.000000e-01	9	9249	8.655700e+02	8.557655e-02	8.557655e-02
1	10	1183	1.915190e+03	6.181642e-01	6.181642e-01
1.100000e+00	11	8385	7.100500e+02	7.806994e-02	7.806994e-02
1.200000e+00	12	1183	1.954190e+03	6.229109e-01	6.229109e-01
1.300000e+00	13	9789	6.947700e+02	6.627101e-02	6.627101e-02
1.400000e+00	14	1093	1.763490e+03	6.173626e-01	6.173626e-01
1.500000e+00	15	8161	7.717300e+02	8.639352e-02	8.639352e-02
1.600000e+00	16	1182	1.855260e+03	6.108334e-01	6.108334e-01
1.700000e+00	17	9777	5.856100e+02	5.651182e-02	5.651182e-02
1.800000e+00	18	1243	2.083990e+03	6.263890e-01	6.263890e-01
1.900000e+00	19	8841	6.761300e+02	7.104348e-02	7.104348e-02
2	20	1357	1.918010e+03	5.856501e-01	5.856501e-01
