coordinates:	30.4,32.8	158.4,32.8
timeat516nm	I_1at516nm	I_2at516nm
1.000000e-01	167	113
3.000000e-01	167	113
5.000000e-01	167	113
7.000000e-01	167	113
9.000000e-01	159	113
1.100000e+00	170	113
1.300000e+00	173	113
1.500000e+00	174	113
1.700000e+00	161	113
1.900000e+00	162	114
2.100000e+00	176	113
2.300000e+00	170	114
2.500000e+00	152	114
2.700000e+00	173	113
2.900000e+00	169	113
3.100000e+00	162	113
3.300000e+00	187	114
3.500000e+00	165	114
3.700000e+00	177	113
3.900000e+00	179	114
4.100000e+00	172	115
4.300000e+00	156	113
4.500000e+00	168	113
4.700000e+00	174	113
4.900000e+00	173	113
5.100000e+00	166	113
5.300000e+00	187	114
5.500000e+00	164	113
5.700000e+00	184	113
5.900000e+00	167	113
6.100000e+00	180	114
6.300000e+00	179	113
6.500000e+00	174	113
6.700000e+00	166	114
6.900000e+00	129	143
7.100000e+00	127	151
7.300000e+00	128	148
7.500000e+00	122	144
7.700000e+00	123	144
7.900000e+00	136	151
8.100000e+00	130	154
8.300000e+00	125	149
8.500000e+00	131	151
8.700000e+00	128	150
8.900000e+00	124	144
9.100000e+00	131	146
9.300000e+00	128	141
9.500000e+00	122	151
9.700000e+00	132	146
9.900000e+00	130	152
1.010000e+01	137	148
1.030000e+01	132	148
1.050000e+01	131	144
1.070000e+01	123	149
1.090000e+01	121	149
1.110000e+01	134	160
1.130000e+01	129	146
1.150000e+01	129	156
1.170000e+01	134	156
1.190000e+01	126	148
1.210000e+01	129	154
1.230000e+01	127	156
1.250000e+01	134	155
1.270000e+01	133	157
1.290000e+01	128	161
1.310000e+01	129	147
1.330000e+01	126	154
1.350000e+01	132	152
1.370000e+01	129	149
1.390000e+01	125	149
1.410000e+01	131	153
1.430000e+01	129	153
1.450000e+01	127	156
1.470000e+01	127	161
1.490000e+01	127	152
1.510000e+01	127	152
1.530000e+01	126	148
1.550000e+01	128	144
1.570000e+01	136	141
1.590000e+01	132	160
1.610000e+01	122	156
1.630000e+01	128	146
1.650000e+01	131	161
1.670000e+01	128	148
1.690000e+01	130	152
1.710000e+01	137	142
1.730000e+01	128	156
1.750000e+01	172	114
1.770000e+01	165	115
1.790000e+01	163	120
1.810000e+01	165	117
1.830000e+01	162	115
1.850000e+01	168	123
1.870000e+01	169	116
1.890000e+01	156	117
1.910000e+01	168	117
1.930000e+01	169	117
1.950000e+01	163	114
1.970000e+01	162	114
1.990000e+01	167	119
2.010000e+01	182	113
2.030000e+01	162	113
2.050000e+01	171	114
2.070000e+01	170	114
2.090000e+01	156	113
2.110000e+01	163	115
2.130000e+01	158	114
2.150000e+01	161	114
2.170000e+01	189	113
2.190000e+01	160	114
2.210000e+01	179	113
2.230000e+01	158	114
2.250000e+01	158	113
2.270000e+01	165	113
2.290000e+01	184	113
2.310000e+01	172	115
2.330000e+01	174	113
2.350000e+01	170	113
2.370000e+01	189	114
2.390000e+01	156	113
2.410000e+01	158	113
2.430000e+01	164	115
2.450000e+01	170	113
2.470000e+01	193	114
2.490000e+01	171	113
2.510000e+01	175	113
2.530000e+01	175	113
2.550000e+01	168	113
2.570000e+01	160	114
2.590000e+01	158	113
2.610000e+01	157	113
2.630000e+01	166	114
2.650000e+01	161	114
2.670000e+01	180	115
2.690000e+01	160	115
2.710000e+01	165	113
2.730000e+01	173	113
2.750000e+01	171	113
2.770000e+01	164	113
2.790000e+01	169	114
2.810000e+01	170	113
2.830000e+01	162	113
2.850000e+01	157	113
2.870000e+01	174	114
2.890000e+01	172	113
2.910000e+01	178	113
2.930000e+01	164	114
2.950000e+01	181	114
2.970000e+01	171	115
2.990000e+01	166	113
3.010000e+01	165	113
3.030000e+01	174	113
3.050000e+01	156	113
3.070000e+01	189	113
3.090000e+01	168	113
3.110000e+01	155	114
3.130000e+01	166	113
3.150000e+01	169	113
3.170000e+01	179	114
3.190000e+01	167	113
3.210000e+01	184	116
3.230000e+01	175	114
3.250000e+01	167	113
3.270000e+01	181	113
3.290000e+01	175	113
3.310000e+01	170	113
3.330000e+01	185	113
3.350000e+01	173	115
