timeat502nm	I_1at502nm	I_2at502nm
5.290000e+01	138	147
5.310000e+01	133	143
5.330000e+01	127	146
5.350000e+01	136	141
5.370000e+01	134	148
5.390000e+01	129	130
5.410000e+01	137	144
5.430000e+01	135	144
5.450000e+01	133	136
5.470000e+01	129	136
5.490000e+01	134	145
5.510000e+01	132	142
5.530000e+01	136	144
5.550000e+01	130	137
5.570000e+01	132	137
5.590000e+01	135	139
5.610000e+01	137	135
5.630000e+01	130	146
5.650000e+01	134	147
5.670000e+01	130	158
5.690000e+01	131	140
5.710000e+01	134	137
5.730000e+01	132	136
5.750000e+01	140	140
5.770000e+01	137	138
5.790000e+01	128	146
5.810000e+01	135	141
5.830000e+01	139	149
5.850000e+01	131	140
5.870000e+01	133	132
5.890000e+01	132	138
5.910000e+01	132	143
5.930000e+01	134	151
5.950000e+01	141	138
5.970000e+01	141	152
5.990000e+01	139	139
6.010000e+01	135	144
6.030000e+01	136	137
6.050000e+01	133	143
6.070000e+01	134	148
6.090000e+01	122	151
6.110000e+01	130	137
6.130000e+01	129	143
6.150000e+01	137	144
6.170000e+01	137	139
6.190000e+01	130	144
6.210000e+01	136	143
6.230000e+01	141	152
6.250000e+01	138	153
6.270000e+01	129	140
6.290000e+01	127	144
6.310000e+01	128	138
6.330000e+01	130	135
6.350000e+01	128	135
6.370000e+01	129	143
6.390000e+01	142	134
6.410000e+01	137	143
6.430000e+01	136	142
6.450000e+01	128	156
6.470000e+01	132	137
6.490000e+01	129	145
6.510000e+01	135	136
6.530000e+01	145	146
6.550000e+01	131	142
6.570000e+01	132	139
6.590000e+01	133	131
6.610000e+01	128	153
6.630000e+01	132	134
6.650000e+01	128	140
6.670000e+01	130	138
6.690000e+01	135	139
6.710000e+01	127	154
6.730000e+01	135	138
6.750000e+01	135	145
6.770000e+01	135	147
6.790000e+01	135	143
6.810000e+01	128	153
6.830000e+01	136	142
6.850000e+01	134	146
6.870000e+01	130	148
6.890000e+01	131	139
6.910000e+01	136	147
6.930000e+01	127	143
6.950000e+01	139	139
6.970000e+01	137	142
6.990000e+01	135	140
7.010000e+01	129	146
7.030000e+01	130	137
7.050000e+01	139	141
7.070000e+01	138	142
7.090000e+01	140	145
7.110000e+01	136	147
7.130000e+01	128	149
7.150000e+01	138	152
7.170000e+01	145	149
7.190000e+01	143	153
7.210000e+01	132	143
7.230000e+01	136	135
7.250000e+01	134	150
7.270000e+01	129	144
7.290000e+01	123	134
7.310000e+01	130	159
7.330000e+01	133	139
7.350000e+01	132	142
7.370000e+01	140	142
7.390000e+01	134	156
7.410000e+01	131	148
7.430000e+01	135	146
7.450000e+01	135	131
7.470000e+01	136	148
7.490000e+01	126	146
7.510000e+01	138	145
7.530000e+01	134	144
7.550000e+01	130	138
7.570000e+01	127	140
7.590000e+01	137	149
7.610000e+01	132	144
7.630000e+01	136	146
7.650000e+01	135	150
7.670000e+01	130	142
7.690000e+01	133	136
7.710000e+01	135	153
7.730000e+01	139	143
7.750000e+01	132	140
7.770000e+01	128	137
7.790000e+01	140	147
7.810000e+01	134	158
7.830000e+01	140	146
7.850000e+01	138	140
7.870000e+01	137	145
7.890000e+01	132	143
7.910000e+01	130	140
7.930000e+01	131	146
7.950000e+01	140	149
7.970000e+01	146	142
7.990000e+01	138	143
8.010000e+01	131	144
8.030000e+01	130	149
8.050000e+01	137	148
8.070000e+01	139	144
8.090000e+01	131	142
8.110000e+01	131	147
8.130000e+01	143	138
8.150000e+01	135	147
8.170000e+01	130	141
8.190000e+01	144	139
8.210000e+01	130	141
8.230000e+01	133	149
8.250000e+01	129	147
8.270000e+01	144	147
8.290000e+01	137	144
8.310000e+01	140	147
8.330000e+01	134	148
8.350000e+01	135	150
8.370000e+01	134	144
8.390000e+01	130	145
8.410000e+01	135	148
8.430000e+01	134	146
8.450000e+01	130	145
8.470000e+01	132	142
8.490000e+01	132	148
8.510000e+01	129	148
8.530000e+01	141	143
8.550000e+01	136	140
8.570000e+01	127	149
8.590000e+01	124	141
8.610000e+01	138	134
8.630000e+01	140	141
8.650000e+01	131	142
8.670000e+01	136	139
8.690000e+01	141	147
8.710000e+01	125	144
8.730000e+01	134	152
8.750000e+01	136	145
8.770000e+01	130	147
8.790000e+01	132	139
8.810000e+01	133	135
8.830000e+01	134	139
8.850000e+01	128	147
8.870000e+01	137	150
8.890000e+01	130	143
8.910000e+01	134	144
8.930000e+01	132	152
8.950000e+01	129	142
8.970000e+01	145	153
8.990000e+01	125	146
9.010000e+01	130	141
9.030000e+01	140	132
9.050000e+01	129	138
9.070000e+01	127	143
9.090000e+01	126	143
9.110000e+01	133	146
9.130000e+01	131	147
9.150000e+01	135	135
9.170000e+01	132	139
9.190000e+01	139	142
9.210000e+01	130	149
9.230000e+01	138	143
9.250000e+01	135	142
9.270000e+01	135	144
9.290000e+01	135	148
9.310000e+01	134	139
9.330000e+01	133	136
9.350000e+01	132	144
9.370000e+01	139	139
9.390000e+01	128	149
9.410000e+01	145	146
9.430000e+01	134	149
9.450000e+01	130	151
9.470000e+01	134	140
9.490000e+01	135	137
9.510000e+01	135	142
9.530000e+01	135	134
9.550000e+01	135	142
9.570000e+01	139	136
9.590000e+01	135	139
9.610000e+01	134	136
9.630000e+01	135	143
9.650000e+01	132	146
9.670000e+01	136	136
9.690000e+01	140	144
9.710000e+01	131	136
9.730000e+01	128	136
9.750000e+01	137	139
9.770000e+01	136	149
9.790000e+01	127	142
9.810000e+01	137	150
9.830000e+01	147	149
9.850000e+01	128	148
9.870000e+01	144	136
9.890000e+01	131	140
9.910000e+01	139	138
9.930000e+01	146	134
9.950000e+01	136	140
9.970000e+01	130	137
9.990000e+01	137	135
