timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	3625	1.466250e+03	1105	3.758377e-01	3.758377e-01	9.679065e-02	9.877687e-02	NaN	NaN	6.231639e-01	6.230959e-01
2.000000e-01	2	1072	2.516960e+03	1230	NaN	NaN	NaN	NaN	3.282661e-01	3.563752e-01	NaN	NaN
3.000000e-01	3	4106	1.245580e+03	1060	3.321470e-01	3.321470e-01	6.030876e-02	9.877687e-02	NaN	NaN	6.305875e-01	6.230959e-01
4.000000e-01	4	1085	2.291050e+03	1465	NaN	NaN	NaN	NaN	3.900374e-01	3.563752e-01	NaN	NaN
5.000000e-01	5	3495	1.204350e+03	1005	3.321844e-01	3.321844e-01	1.187304e-01	9.877687e-02	NaN	NaN	5.974236e-01	6.230959e-01
6.000000e-01	6	1230	2.662900e+03	1181	NaN	NaN	NaN	NaN	3.072400e-01	3.563752e-01	NaN	NaN
7.000000e-01	7	3666	1.188380e+03	1081	3.384774e-01	3.384774e-01	9.695966e-02	9.877687e-02	NaN	NaN	6.277106e-01	6.230959e-01
8.000000e-01	8	1354	2.230220e+03	1290	NaN	NaN	NaN	NaN	3.664544e-01	3.563752e-01	NaN	NaN
9.000000e-01	9	3934	1.094620e+03	1164	2.963644e-01	2.963644e-01	1.326507e-01	9.877687e-02	NaN	NaN	6.183790e-01	6.230959e-01
1	10	1262	2.524660e+03	1297	NaN	NaN	NaN	NaN	3.393813e-01	3.563752e-01	NaN	NaN
1.100000e+00	11	3423	1.276390e+03	1166	3.815763e-01	3.815763e-01	8.801467e-02	9.877687e-02	NaN	NaN	6.029829e-01	6.230959e-01
1.200000e+00	12	1230	2.333900e+03	1528	NaN	NaN	NaN	NaN	3.956602e-01	3.563752e-01	NaN	NaN
1.300000e+00	13	4302	1.172860e+03	1075	3.098696e-01	3.098696e-01	6.847945e-02	9.877687e-02	NaN	NaN	6.627870e-01	6.230959e-01
1.400000e+00	14	1208	2.023440e+03	1309	NaN	NaN	NaN	NaN	3.928053e-01	3.563752e-01	NaN	NaN
1.500000e+00	15	3284	1.229120e+03	1036	3.642580e-01	3.642580e-01	1.045677e-01	9.877687e-02	NaN	NaN	6.064029e-01	6.230959e-01
1.600000e+00	16	1132	2.352760e+03	1249	NaN	NaN	NaN	NaN	3.467749e-01	3.563752e-01	NaN	NaN
1.700000e+00	17	4036	1.101480e+03	1232	2.912659e-01	2.912659e-01	1.432489e-01	9.877687e-02	NaN	NaN	6.437648e-01	6.230959e-01
1.800000e+00	18	1091	2.340630e+03	1184	NaN	NaN	NaN	NaN	3.359218e-01	3.563752e-01	NaN	NaN
1.900000e+00	19	4019	1.299670e+03	1075	3.360957e-01	3.360957e-01	7.801791e-02	9.877687e-02	NaN	NaN	6.177572e-01	6.230959e-01
2	20	1298	2.527140e+03	1429	NaN	NaN	NaN	NaN	3.612107e-01	3.563752e-01	NaN	NaN
