timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	21656	3.444080e+03	1327	1.476379e-01	1.476379e-01	4.498308e-02	3.555709e-02	NaN	NaN	5.239397e-01	5.761855e-01
2.000000e-01	2	1256	2.204708e+04	1965	NaN	NaN	NaN	NaN	8.183381e-02	9.013904e-02	NaN	NaN
3.000000e-01	3	27170	2.911100e+03	1332	1.044853e-01	1.044853e-01	3.799196e-02	3.555709e-02	NaN	NaN	5.807136e-01	5.761855e-01
4.000000e-01	4	1302	2.082786e+04	1853	NaN	NaN	NaN	NaN	8.169884e-02	9.013904e-02	NaN	NaN
5.000000e-01	5	30201	2.637930e+03	1251	8.811926e-02	8.811926e-02	3.113320e-02	3.555709e-02	NaN	NaN	6.043778e-01	5.761855e-01
6.000000e-01	6	1299	2.017007e+04	2145	NaN	NaN	NaN	NaN	9.612338e-02	9.013904e-02	NaN	NaN
7.000000e-01	7	23519	2.887670e+03	1228	1.198460e-01	1.198460e-01	3.737735e-02	3.555709e-02	NaN	NaN	5.540938e-01	5.761855e-01
8.000000e-01	8	1372	2.005296e+04	2186	NaN	NaN	NaN	NaN	9.829596e-02	9.013904e-02	NaN	NaN
9.000000e-01	9	29180	2.241400e+03	1306	7.768113e-02	7.768113e-02	3.600135e-02	3.555709e-02	NaN	NaN	5.853388e-01	5.761855e-01
1	10	1193	2.114449e+04	2040	NaN	NaN	NaN	NaN	8.798986e-02	9.013904e-02	NaN	NaN
1.100000e+00	11	32966	3.492380e+03	1128	1.038005e-01	1.038005e-01	2.375486e-02	3.555709e-02	NaN	NaN	6.090437e-01	5.761855e-01
1.200000e+00	12	1123	2.206839e+04	2059	NaN	NaN	NaN	NaN	8.533870e-02	9.013904e-02	NaN	NaN
1.300000e+00	13	28195	2.856350e+03	1200	1.001301e-01	1.001301e-01	3.156698e-02	3.555709e-02	NaN	NaN	6.038241e-01	5.761855e-01
1.400000e+00	14	1236	1.926548e+04	1895	NaN	NaN	NaN	NaN	8.955373e-02	9.013904e-02	NaN	NaN
1.500000e+00	15	28911	1.966230e+03	1275	6.989868e-02	6.989868e-02	3.564165e-02	3.555709e-02	NaN	NaN	6.066745e-01	5.761855e-01
1.600000e+00	16	1239	1.886427e+04	1981	NaN	NaN	NaN	NaN	9.503355e-02	9.013904e-02	NaN	NaN
1.700000e+00	17	18973	3.036890e+03	1102	1.512700e-01	1.512700e-01	3.838327e-02	3.555709e-02	NaN	NaN	5.102678e-01	5.761855e-01
1.800000e+00	18	1332	1.992076e+04	2261	NaN	NaN	NaN	NaN	1.019306e-01	9.013904e-02	NaN	NaN
1.900000e+00	19	28197	2.540210e+03	1368	8.950652e-02	8.950652e-02	3.873721e-02	3.555709e-02	NaN	NaN	5.835813e-01	5.761855e-01
2	20	1187	2.099391e+04	1915	NaN	NaN	NaN	NaN	8.359193e-02	9.013904e-02	NaN	NaN
