timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	6948	1.075640e+03	1033	2.064125e-01	2.064125e-01	4.158400e-02	2.910137e-02	NaN	NaN	7.645508e-01	7.940259e-01
2.000000e-01	2	1142	1.660060e+03	1129	NaN	NaN	NaN	NaN	4.047959e-01	4.304018e-01	NaN	NaN
3.000000e-01	3	7793	1.241490e+03	1086	2.075964e-01	2.075964e-01	3.538318e-02	2.910137e-02	NaN	NaN	7.908425e-01	7.940259e-01
4.000000e-01	4	1077	1.627610e+03	1049	NaN	NaN	NaN	NaN	3.919137e-01	4.304018e-01	NaN	NaN
5.000000e-01	5	7567	9.703100e+02	1047	1.726259e-01	1.726259e-01	5.477580e-02	2.910137e-02	NaN	NaN	7.893128e-01	7.940259e-01
6.000000e-01	6	1253	1.572290e+03	986	NaN	NaN	NaN	NaN	3.854137e-01	4.304018e-01	NaN	NaN
7.000000e-01	7	8620	1.228600e+03	1040	2.021994e-01	2.021994e-01	9.638751e-03	2.910137e-02	NaN	NaN	8.226939e-01	7.940259e-01
8.000000e-01	8	1190	1.319700e+03	1027	NaN	NaN	NaN	NaN	4.376358e-01	4.304018e-01	NaN	NaN
9.000000e-01	9	7510	1.052300e+03	1243	2.014056e-01	2.014056e-01	5.072224e-02	2.910137e-02	NaN	NaN	8.003516e-01	7.940259e-01
1	10	1258	1.358940e+03	1087	NaN	NaN	NaN	NaN	4.444099e-01	4.304018e-01	NaN	NaN
1.100000e+00	11	7154	1.176220e+03	1144	2.343442e-01	2.343442e-01	1.792765e-02	2.910137e-02	NaN	NaN	7.882388e-01	7.940259e-01
1.200000e+00	12	1082	1.367260e+03	1178	NaN	NaN	NaN	NaN	4.628211e-01	4.304018e-01	NaN	NaN
1.300000e+00	13	7005	1.148650e+03	1165	2.257289e-01	2.257289e-01	3.730273e-02	2.910137e-02	NaN	NaN	7.855639e-01	7.940259e-01
1.400000e+00	14	1304	1.430720e+03	1113	NaN	NaN	NaN	NaN	4.375482e-01	4.304018e-01	NaN	NaN
1.500000e+00	15	6966	1.160380e+03	1001	2.398943e-01	2.398943e-01	-5.359374e-03	2.910137e-02	NaN	NaN	7.999232e-01	7.940259e-01
1.600000e+00	16	1258	1.204940e+03	1078	NaN	NaN	NaN	NaN	4.721981e-01	4.304018e-01	NaN	NaN
1.700000e+00	17	7224	1.188320e+03	1076	2.216653e-01	2.216653e-01	2.785189e-02	2.910137e-02	NaN	NaN	7.855701e-01	7.940259e-01
1.800000e+00	18	1258	1.495940e+03	1094	NaN	NaN	NaN	NaN	4.224036e-01	4.304018e-01	NaN	NaN
1.900000e+00	19	8499	1.123070e+03	1084	1.922719e-01	1.922719e-01	2.118682e-02	2.910137e-02	NaN	NaN	8.132117e-01	7.940259e-01
2	20	1070	1.365100e+03	1094	NaN	NaN	NaN	NaN	4.448782e-01	4.304018e-01	NaN	NaN
