timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	6160	1.459800e+03	1204	2.751867e-01	2.751867e-01	5.012445e-02	3.373079e-02	NaN	NaN	7.550169e-01	7.549720e-01
2.000000e-01	2	1213	1.787090e+03	1076	NaN	NaN	NaN	NaN	3.758177e-01	3.758188e-01	NaN	NaN
3.000000e-01	3	7067	1.476310e+03	1119	2.506826e-01	2.506826e-01	3.166050e-02	3.373079e-02	NaN	NaN	7.659285e-01	7.549720e-01
4.000000e-01	4	1045	1.843850e+03	1109	NaN	NaN	NaN	NaN	3.755694e-01	3.758188e-01	NaN	NaN
5.000000e-01	5	5678	1.326540e+03	1144	2.568910e-01	2.568910e-01	8.207184e-02	3.373079e-02	NaN	NaN	7.249991e-01	7.549720e-01
6.000000e-01	6	1088	2.088840e+03	1002	NaN	NaN	NaN	NaN	3.241837e-01	3.758188e-01	NaN	NaN
7.000000e-01	7	6285	1.436050e+03	1016	2.579079e-01	2.579079e-01	4.086090e-02	3.373079e-02	NaN	NaN	7.460085e-01	7.549720e-01
8.000000e-01	8	1076	1.955680e+03	1019	NaN	NaN	NaN	NaN	3.425579e-01	3.758188e-01	NaN	NaN
9.000000e-01	9	7259	1.628870e+03	1035	2.596341e-01	2.596341e-01	1.603018e-02	3.373079e-02	NaN	NaN	7.747418e-01	7.549720e-01
1	10	1270	1.846100e+03	1039	NaN	NaN	NaN	NaN	3.601262e-01	3.758188e-01	NaN	NaN
1.100000e+00	11	6129	1.650970e+03	1036	3.026238e-01	3.026238e-01	4.436730e-03	3.373079e-02	NaN	NaN	7.556783e-01	7.549720e-01
1.200000e+00	12	1081	1.769330e+03	1081	NaN	NaN	NaN	NaN	3.792543e-01	3.758188e-01	NaN	NaN
1.300000e+00	13	6067	1.462310e+03	1006	2.882524e-01	2.882524e-01	1.845993e-03	3.373079e-02	NaN	NaN	7.363942e-01	7.549720e-01
1.400000e+00	14	1109	1.818370e+03	1237	NaN	NaN	NaN	NaN	4.048609e-01	3.758188e-01	NaN	NaN
1.500000e+00	15	6699	1.429070e+03	1318	2.546118e-01	2.546118e-01	6.409875e-02	3.373079e-02	NaN	NaN	7.650888e-01	7.549720e-01
1.600000e+00	16	1210	1.811300e+03	1089	NaN	NaN	NaN	NaN	3.754784e-01	3.758188e-01	NaN	NaN
1.700000e+00	17	5389	1.575770e+03	1022	3.159897e-01	3.159897e-01	1.968885e-02	3.373079e-02	NaN	NaN	7.405573e-01	7.549720e-01
1.800000e+00	18	1228	1.771040e+03	1027	NaN	NaN	NaN	NaN	3.670426e-01	3.758188e-01	NaN	NaN
1.900000e+00	19	6388	1.238840e+03	1201	2.618459e-01	2.618459e-01	2.648973e-02	3.373079e-02	NaN	NaN	7.853063e-01	7.549720e-01
2	20	1351	1.319430e+03	1094	NaN	NaN	NaN	NaN	4.532968e-01	3.758188e-01	NaN	NaN
