timeat274nm	frameat274nm	I_1at274nm(counts)	I_2at274nm(counts)	I_3at274nm(counts)	FRET_1>2	discr.FRET_1>2	FRET_1>3	discr.FRET_1>3	FRET_2>3	discr.FRET_2>3	S_1>2	discr.S_1>2
1.000000e-01	1	2708	1.181440e+03	1115	3.586065e-01	3.586065e-01	2.241538e-01	2.276704e-01	NaN	NaN	4.585815e-01	4.357048e-01
2.000000e-01	2	1051	4.610430e+03	1298	NaN	NaN	NaN	NaN	2.196861e-01	1.935662e-01	NaN	NaN
3.000000e-01	3	2367	1.457310e+03	1107	4.251612e-01	4.251612e-01	2.558086e-01	2.276704e-01	NaN	NaN	4.330196e-01	4.357048e-01
4.000000e-01	4	1216	5.374880e+03	1082	NaN	NaN	NaN	NaN	1.675732e-01	1.935662e-01	NaN	NaN
5.000000e-01	5	2357	1.218010e+03	1068	3.964973e-01	3.964973e-01	2.383203e-01	2.276704e-01	NaN	NaN	4.602923e-01	4.357048e-01
6.000000e-01	6	1156	4.282080e+03	1162	NaN	NaN	NaN	NaN	2.134429e-01	1.935662e-01	NaN	NaN
7.000000e-01	7	2704	1.259720e+03	1040	3.686692e-01	3.686692e-01	2.104427e-01	2.276704e-01	NaN	NaN	4.257014e-01	4.357048e-01
8.000000e-01	8	1138	5.385340e+03	1365	NaN	NaN	NaN	NaN	2.022120e-01	1.935662e-01	NaN	NaN
9.000000e-01	9	2418	1.341740e+03	1108	4.081773e-01	4.081773e-01	2.443884e-01	2.276704e-01	NaN	NaN	4.248418e-01	4.357048e-01
1	10	1171	5.302030e+03	1288	NaN	NaN	NaN	NaN	1.954468e-01	1.935662e-01	NaN	NaN
1.100000e+00	11	2910	1.606300e+03	983	4.042868e-01	4.042868e-01	1.743272e-01	2.276704e-01	NaN	NaN	4.481326e-01	4.357048e-01
1.200000e+00	12	1253	5.508290e+03	1264	NaN	NaN	NaN	NaN	1.866429e-01	1.935662e-01	NaN	NaN
1.300000e+00	13	2468	1.347240e+03	1102	4.024916e-01	4.024916e-01	2.417246e-01	2.276704e-01	NaN	NaN	4.274378e-01	4.357048e-01
1.400000e+00	14	1375	5.337750e+03	1249	NaN	NaN	NaN	NaN	1.896231e-01	1.935662e-01	NaN	NaN
1.500000e+00	15	2511	1.227230e+03	952	3.729891e-01	3.729891e-01	2.144571e-01	2.276704e-01	NaN	NaN	3.990717e-01	4.357048e-01
1.600000e+00	16	1034	5.802620e+03	1260	NaN	NaN	NaN	NaN	1.784040e-01	1.935662e-01	NaN	NaN
1.700000e+00	17	2556	1.565080e+03	1095	4.310151e-01	4.310151e-01	2.207007e-01	2.276704e-01	NaN	NaN	4.622742e-01	4.357048e-01
1.800000e+00	18	1208	4.904440e+03	1163	NaN	NaN	NaN	NaN	1.916789e-01	1.935662e-01	NaN	NaN
1.900000e+00	19	2356	1.456080e+03	1139	4.330740e-01	4.330740e-01	2.523802e-01	2.276704e-01	NaN	NaN	4.176953e-01	4.357048e-01
2	20	1125	5.584250e+03	1318	NaN	NaN	NaN	NaN	1.909522e-01	1.935662e-01	NaN	NaN
